td,oom_mw,offered_mw
2022-01-01,596.354166666667,840
2022-01-02,741.666666666667,840
2022-01-03,721.25,840
2022-01-04,730.416666666667,840
2022-01-05,738.333333333333,840
2022-01-06,708.75,840
2022-01-07,697.5,840
2022-01-08,704.166666666667,840
2022-01-09,674.166666666667,840
2022-01-10,570.659722222222,840
2022-01-11,493.645833333333,840
2022-01-12,647.8125,840
2022-01-13,697.5,840
2022-01-14,687.5,840
2022-01-15,682.361111111111,840
2022-01-16,683.402777777778,840
2022-01-17,627.708333333333,840
2022-01-18,729.166666666667,840
2022-01-19,738.333333333333,840
2022-01-20,698.75,840
2022-01-21,684.444444444445,840
2022-01-22,718.75,840
2022-01-23,678.75,840
2022-01-24,627.013888888889,840
2022-01-25,575,840
2022-01-26,613.958333333333,840
2022-01-27,610.277777777778,840
2022-01-28,621.510416666667,840
2022-01-29,686.041666666667,840
2022-01-30,655.833333333333,840
2022-01-31,543.159722222222,840
