SETTLEMENTDATE,d_t,n_obs
2021-12-31T14:05:00Z,109.184869,105148
2022-01-01T14:05:00Z,109.694062,105148
2022-01-02T14:05:00Z,109.966228,105148
2022-01-03T14:05:00Z,109.966228,105148
2022-01-04T14:05:00Z,109.966228,105148
2022-01-05T14:05:00Z,109.981573,105148
2022-01-06T14:05:00Z,109.981573,105148
2022-01-07T14:05:00Z,110,105148
2022-01-08T14:05:00Z,110.075079,105148
2022-01-09T14:05:00Z,110.18559,105148
2022-01-10T14:05:00Z,110.803366,105148
2022-01-11T14:05:00Z,111.824895,105148
2022-01-12T14:05:00Z,112.236156,105148
2022-01-13T14:05:00Z,112.556194,105148
2022-01-14T14:05:00Z,112.989654,105148
2022-01-15T14:05:00Z,113.419099,105148
2022-01-16T14:05:00Z,113.44,105148
2022-01-17T14:05:00Z,113.711664,105148
2022-01-18T14:05:00Z,113.711664,105148
2022-01-19T14:05:00Z,113.711664,105148
2022-01-20T14:05:00Z,113.709944,105148
2022-01-21T14:05:00Z,113.709944,105148
2022-01-22T14:05:00Z,113.688251,105148
2022-01-23T14:05:00Z,113.639044,105148
2022-01-24T14:05:00Z,113.792389,105148
2022-01-25T14:05:00Z,114.692729,105148
2022-01-26T14:05:00Z,115.352596,105148
2022-01-27T14:05:00Z,115.843242,105148
2022-01-28T14:05:00Z,116.026569,105148
2022-01-29T14:05:00Z,116.00201,105148
2022-01-30T14:05:00Z,116.44,105148
2022-01-31T14:05:00Z,116.962758,105148
2022-02-01T14:05:00Z,116.992745,105202
2022-02-02T14:05:00Z,116.992745,105202
2022-02-03T14:05:00Z,116.99,105202
2022-02-04T14:05:00Z,116.983552,105202
2022-02-05T14:05:00Z,116.983552,105202
2022-02-06T14:05:00Z,116.983552,105202
2022-02-07T14:05:00Z,117,105202
2022-02-08T14:05:00Z,117,105202
2022-02-09T14:05:00Z,117,105202
2022-02-10T14:05:00Z,117,105202
2022-02-11T14:05:00Z,117,105202
2022-02-12T14:05:00Z,117,105202
2022-02-13T14:05:00Z,117,105202
2022-02-14T14:05:00Z,117,105202
2022-02-15T14:05:00Z,117.209721,105202
2022-02-16T14:05:00Z,117.44,105202
2022-02-17T14:05:00Z,117.44,105202
2022-02-18T14:05:00Z,117.44,105202
2022-02-19T14:05:00Z,117.44,105202
2022-02-20T14:05:00Z,117.44,105202
2022-02-21T14:05:00Z,117.44,105202
2022-02-22T14:05:00Z,117.44,105202
2022-02-23T14:05:00Z,117.44,105202
2022-02-24T14:05:00Z,117.44,105202
2022-02-25T14:05:00Z,117.44,105202
2022-02-26T14:05:00Z,117.44,105202
2022-02-27T14:05:00Z,117.44,105202
2022-02-28T14:05:00Z,117.44,105202
2022-03-01T14:05:00Z,117.44,105202
2022-03-02T14:05:00Z,117.499542,105202
2022-03-03T14:05:00Z,117.99,105202
2022-03-04T14:05:00Z,117.999948,105202
2022-03-05T14:05:00Z,117.99993,105202
2022-03-06T14:05:00Z,117.99993,105202
2022-03-07T14:05:00Z,117.999968,105202
2022-03-08T14:05:00Z,117.99997,105202
2022-03-09T14:05:00Z,118,105202
2022-03-10T14:05:00Z,118,105202
2022-03-11T14:05:00Z,118,105202
2022-03-12T14:05:00Z,117.99993,105202
2022-03-13T14:05:00Z,117.99988,105202
2022-03-14T14:05:00Z,117.999968,105202
2022-03-15T14:05:00Z,118,105202
2022-03-16T14:05:00Z,118,105202
2022-03-17T14:05:00Z,118,105202
2022-03-18T14:05:00Z,118,105202
2022-03-19T14:05:00Z,118,105202
2022-03-20T14:05:00Z,118,105202
2022-03-21T14:05:00Z,118,105202
2022-03-22T14:05:00Z,118,105202
2022-03-23T14:05:00Z,118,105202
2022-03-24T14:05:00Z,118.00002,105202
2022-03-25T14:05:00Z,118.00002,105202
2022-03-26T14:05:00Z,118.00002,105202
2022-03-27T14:05:00Z,118.00006,105202
2022-03-28T14:05:00Z,118.227414,105202
2022-03-29T14:05:00Z,118.757443,105202
2022-03-30T14:05:00Z,118.851741,105202
2022-03-31T14:05:00Z,118.894394,105202
2022-04-01T14:05:00Z,119,105202
2022-04-02T14:05:00Z,119,105202
2022-04-03T14:05:00Z,119.44,105202
2022-04-04T14:05:00Z,120.581336,105202
2022-04-05T14:05:00Z,122.329434,105202
2022-04-06T14:05:00Z,123.964285,105202
2022-04-07T14:05:00Z,124.421538,105202
2022-04-08T14:05:00Z,125.727345,105202
2022-04-09T14:05:00Z,126.17155,105202
2022-04-10T14:05:00Z,126.994434,105202
2022-04-11T14:05:00Z,128.573308,105202
2022-04-12T14:05:00Z,129.793635,105202
2022-04-13T14:05:00Z,130.639766,105202
2022-04-14T14:05:00Z,131.922717,105202
2022-04-15T14:05:00Z,133.216244,105202
2022-04-16T14:05:00Z,134.44,105202
2022-04-17T14:05:00Z,135.021866,105202
2022-04-18T14:05:00Z,136.894406,105202
2022-04-19T14:05:00Z,137.9,105202
2022-04-20T14:05:00Z,139.28,105202
2022-04-21T14:05:00Z,139.28,105202
2022-04-22T14:05:00Z,139.563624,105202
2022-04-23T14:05:00Z,139.876088,105202
2022-04-24T14:05:00Z,140.433797,105202
2022-04-25T14:05:00Z,141.043096,105202
2022-04-26T14:05:00Z,142.317507,105202
2022-04-27T14:05:00Z,144.580218,105202
2022-04-28T14:05:00Z,145.860536,105202
2022-04-29T14:05:00Z,146.765396,105202
2022-04-30T14:05:00Z,147.700005,105202
2022-05-01T14:05:00Z,148.99,105202
2022-05-02T14:05:00Z,148.99,105202
2022-05-03T14:05:00Z,148.99,105202
2022-05-04T14:05:00Z,149.155253,105202
2022-05-05T14:05:00Z,149.99,105202
2022-05-06T14:05:00Z,150.050627,105202
2022-05-07T14:05:00Z,151.943014,105202
2022-05-08T14:05:00Z,155.074693,105202
2022-05-09T14:05:00Z,159.042756,105202
2022-05-10T14:05:00Z,162.687983,105202
2022-05-11T14:05:00Z,167.533558,105202
2022-05-12T14:05:00Z,172.890054,105202
2022-05-13T14:05:00Z,175.9789,105202
2022-05-14T14:05:00Z,179.373321000001,105202
2022-05-15T14:05:00Z,180.964409,105202
2022-05-16T14:05:00Z,183.95545,105202
2022-05-17T14:05:00Z,187.300074,105202
2022-05-18T14:05:00Z,190.676107,105202
2022-05-19T14:05:00Z,195.5,105202
2022-05-20T14:05:00Z,198.577901,105202
2022-05-21T14:05:00Z,200.578367,105202
2022-05-22T14:05:00Z,200.99014,105202
2022-05-23T14:05:00Z,205.781365,105202
2022-05-24T14:05:00Z,210.169499,105202
2022-05-25T14:05:00Z,214.000625,105174
2022-05-26T14:05:00Z,219.118523,105174
2022-05-27T14:05:00Z,224.906792,105174
2022-05-28T14:05:00Z,230.05182,105174
2022-05-29T14:05:00Z,232.726501,105174
2022-05-30T14:05:00Z,236.256479,105174
2022-05-31T14:05:00Z,238.217296,105174
2022-06-01T14:05:00Z,241.378691,105174
2022-06-02T14:05:00Z,245,105174
2022-06-03T14:05:00Z,246.463359,105174
2022-06-04T14:05:00Z,247,105174
2022-06-05T14:05:00Z,247,105174
2022-06-06T14:05:00Z,247.996881,105174
2022-06-07T14:05:00Z,248,105174
2022-06-08T14:05:00Z,249,105174
2022-06-09T14:05:00Z,250.71381,105174
2022-06-10T14:05:00Z,252.55454,105174
2022-06-11T14:05:00Z,254.58344,105174
2022-06-12T14:05:00Z,256.96103,105174
2022-06-13T14:05:00Z,260.22205,105291
2022-06-14T14:05:00Z,262.268106,105495
2022-06-15T14:05:00Z,264.930294,105783
2022-06-16T14:05:00Z,267.76117,106071
2022-06-17T14:05:00Z,269.326156,106359
2022-06-18T14:05:00Z,269.968138,106647
2022-06-19T14:05:00Z,270.028106,106935
2022-06-20T14:05:00Z,271.590894,107223
2022-06-21T14:05:00Z,274.57724,107511
2022-06-22T14:05:00Z,277.004938,107799
2022-06-23T14:05:00Z,277.98,107846
2022-06-24T14:05:00Z,278.947785,107846
2022-06-25T14:05:00Z,280.92925,107846
2022-06-26T14:05:00Z,281.42,107846
2022-06-27T14:05:00Z,283.721295,107846
2022-06-28T14:05:00Z,285.65318,107846
2022-06-29T14:05:00Z,287.688985,107846
2022-06-30T14:05:00Z,290.193005,107846
2022-07-01T14:05:00Z,292.89015,107846
2022-07-02T14:05:00Z,296.079725,107846
2022-07-03T14:05:00Z,297.36858,107846
2022-07-04T14:05:00Z,298.07,107846
2022-07-05T14:05:00Z,298.44,107944
2022-07-06T14:05:00Z,299.21,107944
2022-07-07T14:05:00Z,300,107944
2022-07-08T14:05:00Z,300,107944
2022-07-09T14:05:00Z,300,107944
2022-07-10T14:05:00Z,300,107944
2022-07-11T14:05:00Z,300,107944
2022-07-12T14:05:00Z,300,107944
2022-07-13T14:05:00Z,300.413178,107944
2022-07-14T14:05:00Z,304.55412,107944
2022-07-15T14:05:00Z,309.347697,107944
2022-07-16T14:05:00Z,310.12401,107944
2022-07-17T14:05:00Z,311.145085,107944
2022-07-18T14:05:00Z,316.390135,107944
2022-07-19T14:05:00Z,320.383291,107944
2022-07-20T14:05:00Z,323.390747,107944
2022-07-21T14:05:00Z,325.718667,107944
2022-07-22T14:05:00Z,327.374098,107944
2022-07-23T14:05:00Z,329.328517,107944
2022-07-24T14:05:00Z,330.164596,107944
2022-07-25T14:05:00Z,331.511919,107944
2022-07-26T14:05:00Z,333.45688,107944
2022-07-27T14:05:00Z,335.757111,107944
2022-07-28T14:05:00Z,338.452683,107944
2022-07-29T14:05:00Z,340.699757,107944
2022-07-30T14:05:00Z,340.699757,107944
2022-07-31T14:05:00Z,340.699757,107944
2022-08-01T14:05:00Z,340.521514,107944
2022-08-02T14:05:00Z,340.561401,107944
2022-08-03T14:05:00Z,340.7,107944
2022-08-04T14:05:00Z,340.802626,107944
2022-08-05T14:05:00Z,340.825021,107944
2022-08-06T14:05:00Z,340.887641,107944
2022-08-07T14:05:00Z,341.500105,107944
2022-08-08T14:05:00Z,342.84663,107944
2022-08-09T14:05:00Z,343.146884,107944
2022-08-10T14:05:00Z,343.26544,107944
2022-08-11T14:05:00Z,343.26544,107944
2022-08-12T14:05:00Z,343.26544,107944
2022-08-13T14:05:00Z,343.26544,107944
2022-08-14T14:05:00Z,343.26544,107944
2022-08-15T14:05:00Z,343.26544,107944
2022-08-16T14:05:00Z,343.616362,107944
2022-08-17T14:05:00Z,343.661447,107944
2022-08-18T14:05:00Z,343.69192,107944
2022-08-19T14:05:00Z,343.69192,107944
2022-08-20T14:05:00Z,344.44,107944
2022-08-21T14:05:00Z,344.44,107944
2022-08-22T14:05:00Z,344.44,107944
2022-08-23T14:05:00Z,344.44,107944
2022-08-24T14:05:00Z,344.44,107944
2022-08-25T14:05:00Z,346.20551,107944
2022-08-26T14:05:00Z,347.4,107944
2022-08-27T14:05:00Z,347.4,107944
2022-08-28T14:05:00Z,347.4,107944
2022-08-29T14:05:00Z,347.435628,107944
2022-08-30T14:05:00Z,347.44,107944
2022-08-31T14:05:00Z,347.44,107944
2022-09-01T14:05:00Z,347.44,107944
2022-09-02T14:05:00Z,347.44,107944
2022-09-03T14:05:00Z,347.44,107944
2022-09-04T14:05:00Z,347.44,107944
2022-09-05T14:05:00Z,347.44,107944
2022-09-06T14:05:00Z,347.44,107944
2022-09-07T14:05:00Z,347.762352,107944
2022-09-08T14:05:00Z,347.980879,107944
2022-09-09T14:05:00Z,347.980879,107944
2022-09-10T14:05:00Z,348,107944
2022-09-11T14:05:00Z,348,107944
2022-09-12T14:05:00Z,348,107944
2022-09-13T14:05:00Z,348,107944
2022-09-14T14:05:00Z,348,107944
2022-09-15T14:05:00Z,348,107944
2022-09-16T14:05:00Z,348,107944
2022-09-17T14:05:00Z,348,107944
2022-09-18T14:05:00Z,348,107944
2022-09-19T14:05:00Z,348,107944
2022-09-20T14:05:00Z,348,107944
2022-09-21T14:05:00Z,348,107944
2022-09-22T14:05:00Z,348,107944
2022-09-23T14:05:00Z,348,107944
2022-09-24T14:05:00Z,348,107944
2022-09-25T14:05:00Z,348,107944
2022-09-26T14:05:00Z,348,107944
2022-09-27T14:05:00Z,348,107944
2022-09-28T14:05:00Z,348,107944
2022-09-29T14:05:00Z,348,107944
2022-09-30T14:05:00Z,348,107944
2022-10-01T14:05:00Z,348,107944
2022-10-02T14:05:00Z,348,107944
2022-10-03T14:05:00Z,348,107944
2022-10-04T14:05:00Z,348,107944
2022-10-05T14:05:00Z,348,107944
2022-10-06T14:05:00Z,348,107944
2022-10-07T14:05:00Z,348,107944
2022-10-08T14:05:00Z,348,107944
2022-10-09T14:05:00Z,348,107944
2022-10-10T14:05:00Z,348,107944
2022-10-11T14:05:00Z,348,107944
2022-10-12T14:05:00Z,348,107944
2022-10-13T14:05:00Z,348,107944
2022-10-14T14:05:00Z,348,107944
2022-10-15T14:05:00Z,348,107944
2022-10-16T14:05:00Z,348,107944
2022-10-17T14:05:00Z,348,107944
2022-10-18T14:05:00Z,348,107944
2022-10-19T14:05:00Z,348,107944
2022-10-20T14:05:00Z,348,107944
2022-10-21T14:05:00Z,348,107944
2022-10-22T14:05:00Z,348,107944
2022-10-23T14:05:00Z,348,107944
2022-10-24T14:05:00Z,348,107944
2022-10-25T14:05:00Z,348,107944
2022-10-26T14:05:00Z,348,107944
2022-10-27T14:05:00Z,348,107944
2022-10-28T14:05:00Z,348,107944
2022-10-29T14:05:00Z,348,107944
2022-10-30T14:05:00Z,348,107944
2022-10-31T14:05:00Z,348,107944
2022-11-01T14:05:00Z,348,107944
2022-11-02T14:05:00Z,348,107944
2022-11-03T14:05:00Z,348,107944
2022-11-04T14:05:00Z,348,107944
2022-11-05T14:05:00Z,348,107944
2022-11-06T14:05:00Z,348,107944
2022-11-07T14:05:00Z,348,107944
2022-11-08T14:05:00Z,348,107944
2022-11-09T14:05:00Z,348,107944
2022-11-10T14:05:00Z,348,107944
2022-11-11T14:05:00Z,348,107944
2022-11-12T14:05:00Z,348,107944
2022-11-13T14:05:00Z,348,107944
2022-11-14T14:05:00Z,348,107944
2022-11-15T14:05:00Z,348,108040
2022-11-16T14:05:00Z,348,108040
2022-11-17T14:05:00Z,348,108151
2022-11-18T14:05:00Z,348,108338
2022-11-19T14:05:00Z,348,108565
2022-11-20T14:05:00Z,348,108565
2022-11-21T14:05:00Z,348,108565
2022-11-22T14:05:00Z,348,108565
2022-11-23T14:05:00Z,348,108565
2022-11-24T14:05:00Z,348,108565
2022-11-25T14:05:00Z,348,108565
2022-11-26T14:05:00Z,348,108565
2022-11-27T14:05:00Z,348,108565
2022-11-28T14:05:00Z,348,108565
2022-11-29T14:05:00Z,348,108565
2022-11-30T14:05:00Z,348,108565
2022-12-01T14:05:00Z,348,108565
2022-12-02T14:05:00Z,348,108565
2022-12-03T14:05:00Z,348,108565
2022-12-04T14:05:00Z,348,108565
2022-12-05T14:05:00Z,348,108565
2022-12-06T14:05:00Z,348,108565
2022-12-07T14:05:00Z,348,108565
2022-12-08T14:05:00Z,348,108565
2022-12-09T14:05:00Z,348,108565
2022-12-10T14:05:00Z,348,108565
2022-12-11T14:05:00Z,348,108565
2022-12-12T14:05:00Z,348,108565
2022-12-13T14:05:00Z,348,108565
2022-12-14T14:05:00Z,348,108565
2022-12-15T14:05:00Z,348,108565
2022-12-16T14:05:00Z,348,108565
2022-12-17T14:05:00Z,348,108565
2022-12-18T14:05:00Z,348,108565
2022-12-19T14:05:00Z,348,108565
2022-12-20T14:05:00Z,348,108565
2022-12-21T14:05:00Z,348,108565
2022-12-22T14:05:00Z,348,108565
2022-12-23T14:05:00Z,348,108565
2022-12-24T14:05:00Z,348,108565
2022-12-25T14:05:00Z,348,108565
2022-12-26T14:05:00Z,348,108565
2022-12-27T14:05:00Z,348,108565
2022-12-28T14:05:00Z,348,108565
2022-12-29T14:05:00Z,348,108565
2022-12-30T14:05:00Z,348,108565
2022-12-31T14:05:00Z,348,108565
2023-01-01T14:05:00Z,348,108565
2023-01-02T14:05:00Z,348,108565
2023-01-03T14:05:00Z,348,108565
2023-01-04T14:05:00Z,348,108565
2023-01-05T14:05:00Z,348,108565
2023-01-06T14:05:00Z,348,108565
2023-01-07T14:05:00Z,348,108565
2023-01-08T14:05:00Z,348,108565
2023-01-09T14:05:00Z,348,108565
2023-01-10T14:05:00Z,348,108565
2023-01-11T14:05:00Z,348,108565
2023-01-12T14:05:00Z,348,108565
2023-01-13T14:05:00Z,348,108565
2023-01-14T14:05:00Z,348,108565
2023-01-15T14:05:00Z,348,108565
2023-01-16T14:05:00Z,348,108565
2023-01-17T14:05:00Z,348,108565
2023-01-18T14:05:00Z,348,108565
2023-01-19T14:05:00Z,348,108565
2023-01-20T14:05:00Z,348,108565
2023-01-21T14:05:00Z,348,108565
2023-01-22T14:05:00Z,348,108565
2023-01-23T14:05:00Z,348,108565
2023-01-24T14:05:00Z,348,108565
2023-01-25T14:05:00Z,348,108565
2023-01-26T14:05:00Z,348,108565
2023-01-27T14:05:00Z,348,108565
2023-01-28T14:05:00Z,348,108565
2023-01-29T14:05:00Z,348,108565
2023-01-30T14:05:00Z,348,108565
2023-01-31T14:05:00Z,348,108565
2023-02-01T14:05:00Z,348,108511
2023-02-02T14:05:00Z,348,108511
2023-02-03T14:05:00Z,348,108541
2023-02-04T14:05:00Z,348,108541
2023-02-05T14:05:00Z,348,108541
2023-02-06T14:05:00Z,348,108541
2023-02-07T14:05:00Z,348,108541
2023-02-08T14:05:00Z,348,108541
2023-02-09T14:05:00Z,348,108541
2023-02-10T14:05:00Z,348,108541
2023-02-11T14:05:00Z,348,108541
2023-02-12T14:05:00Z,348,108541
2023-02-13T14:05:00Z,348,108541
2023-02-14T14:05:00Z,348,108541
2023-02-15T14:05:00Z,348,108541
2023-02-16T14:05:00Z,348.01,108541
2023-02-17T14:05:00Z,348.01,108541
2023-02-18T14:05:00Z,348.01,108541
2023-02-19T14:05:00Z,348.01,108541
2023-02-20T14:05:00Z,348.01,108541
2023-02-21T14:05:00Z,348.01,108541
2023-02-22T14:05:00Z,348.05321,108541
2023-02-23T14:05:00Z,348.38848,108541
2023-02-24T14:05:00Z,348.39508,108541
2023-02-25T14:05:00Z,348.51129,108541
2023-02-26T14:05:00Z,348.51129,108541
2023-02-27T14:05:00Z,348.51129,108541
2023-02-28T14:05:00Z,348.52269,108541
2023-03-01T14:05:00Z,348.52269,108541
2023-03-02T14:05:00Z,348.52269,108541
2023-03-03T14:05:00Z,348.26135,108541
2023-03-04T14:05:00Z,348.24333,108541
2023-03-05T14:05:00Z,348.24333,108541
2023-03-06T14:05:00Z,348.30491,108541
2023-03-07T14:05:00Z,348.30491,108541
2023-03-08T14:05:00Z,348.30491,108541
2023-03-09T14:05:00Z,348.30491,108541
2023-03-10T14:05:00Z,348.30491,108541
2023-03-11T14:05:00Z,348.30491,108541
2023-03-12T14:05:00Z,348.30491,108541
2023-03-13T14:05:00Z,348.30491,108541
2023-03-14T14:05:00Z,348.29909,108541
2023-03-15T14:05:00Z,348.26491,108541
2023-03-16T14:05:00Z,348.29501,108541
2023-03-17T14:05:00Z,348.57,108541
2023-03-18T14:05:00Z,348.58879,108541
