report_year,report_month,report_event,direction_start,direction_end,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_file
2021,1,2021-01-01T07:00:00Z,2021-01-01T07:00:00Z,2021-01-09T04:29:59Z,38137.846982,2691817.61533198,20206.9754539116,207751,4400,2883761.63987807,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,1,2021-01-11T07:45:00Z,2021-01-11T07:45:00Z,2021-01-21T19:15:00Z,37723.9086120134,2618830.54692602,120508.457051058,232321.21,4400,2735043.29987496,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,1,2021-01-25T06:53:00Z,2021-01-25T06:53:00Z,2021-02-03T23:14:59Z,28536.2324695285,1962599.3484077,61266.8345225498,292720.2,3750,2197802.71388515,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,2,2021-02-04T00:30:00Z,2021-02-04T00:30:00Z,2021-02-09T00:30:00Z,21296.659034,1447128.30869416,-81890.2677305349,323972,1250,1854240.57642469,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,2,2021-02-11T08:00:00Z,2021-02-11T08:00:00Z,2021-02-20T05:59:59Z,15866.9580093684,1063238.02528759,24961.7970505591,294921,2500,1335697.22823703,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,2,2021-02-20T07:29:59Z,2021-02-20T07:29:59Z,2021-02-25T08:30:00Z,17162.84381,1134914.9879782,97915.4464904418,313330,2500.42694223916,1352829.96843,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,2,2021-02-25T13:29:59Z,2021-02-25T13:29:59Z,2021-03-07T07:00:00Z,29478.5615881646,1934534.76524223,-209866.575362524,741823,2600,2888824.34060475,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,3,2021-03-07T07:29:59Z,2021-03-07T07:29:59Z,2021-03-16T07:45:00Z,23605.183877,1541214.43726436,-1078588.51262825,777821,3640,3401263.94989261,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,3,2021-03-17T08:00:00Z,2021-03-17T08:00:00Z,2021-03-27T07:29:59Z,28165.709865,1850181.6239347,281785.545736829,592493,4160,2165049.07819787,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,3,2021-03-27T07:39:59Z,2021-03-27T07:39:59Z,2021-04-01T05:59:59Z,7729.522028,509124.6340224,206587.790348636,217193,1100,520829.843673764,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,4,2021-04-01T08:00:00Z,2021-04-01T08:00:00Z,2021-04-09T07:00:00Z,19470.4499755702,1283923.51387734,354720.25449764,684683,3300,1617186.2593797,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,4,2021-04-09T07:00:00Z,2021-04-09T07:00:00Z,2021-04-17T06:30:00Z,25287.0271978184,1659499.51599593,-222084.574936134,832672.25747473,5500,2719756.34840679,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021,4,2021-04-17T04:00:00Z,2021-04-17T04:00:00Z,2021-04-20T05:59:59Z,2011.03946,132558.42256169,77291.1758768596,98944.4390658737,1100,155311.685750704,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
