report_event,duid,participant,region,issue_time,effective_time,cancellation_time,directed_resource_type,reason,direction_instruction,market_notice,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_format,source_file
,,,,,,,,,,,,,,,,,new,2024082620241001 System security energy directions report.xlsx
2021-01-01T17:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-01T17:00:00Z,2021-01-02T09:00:00Z,2021-01-02T18:59:59Z,,System strength,Remain,MN 81802,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-01T17:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-01T17:29:59Z,2021-01-02T09:00:00Z,2021-01-02T18:00:00Z,,System strength,Remain,MN 81802,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-01T17:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-02T14:29:59Z,2021-01-03T06:59:59Z,2021-01-09T14:29:59Z,,System strength,Remain,MN 81802,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-01T17:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-02T14:29:59Z,2021-01-02T20:29:59Z,2021-01-09T11:29:59Z,,System strength,Remain,MN 81802,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-01T17:00:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-01-03T17:00:00Z,2021-01-04T09:00:00Z,2021-01-07T12:00:00Z,,System strength,Remain,MN 81802,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-11T17:45:00Z,2021-01-12T00:59:59Z,2021-01-12T14:00:00Z,,System strength,Remain,MN 82053,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-12T17:00:00Z,2021-01-13T08:29:59Z,2021-01-13T11:15:00Z,,System strength,Remain,MN 82101,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-12T17:00:00Z,2021-01-13T09:59:59Z,2021-01-17T20:00:00Z,,System strength,Remain,MN 82101,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-13T17:00:00Z,2021-01-14T08:29:59Z,2021-01-16T23:29:59Z,,System strength,Remain,MN 82101,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,TORRB4,AGL SA Generation Pty Limited,SA1,2021-01-13T17:00:00Z,2021-01-14T09:30:00Z,2021-01-17T18:30:00Z,,System strength,Remain,MN 82101,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-16T15:00:00Z,2021-01-17T07:30:00Z,2021-01-17T18:30:00Z,,System strength,Remain,MN 82101,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-17T16:30:00Z,2021-01-18T09:00:00Z,2021-01-18T17:00:00Z,,System strength,Remain,MN 82202,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-17T16:44:59Z,2021-01-18T09:30:00Z,2021-01-20T12:30:00Z,,System strength,Remain,MN 82202,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,TORRB4,AGL SA Generation Pty Limited,SA1,2021-01-19T14:00:00Z,2021-01-20T03:30:00Z,2021-01-20T14:29:59Z,,System strength,Synchronise,MN 82202,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-20T17:10:00Z,2021-01-21T09:00:00Z,2021-01-21T15:00:00Z,,System strength,Remain,MN 82249,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,MINTARO,Synergen Power Pty Limited,SA1,2021-01-22T03:55:00Z,2021-01-22T03:59:59Z,2021-01-22T05:15:00Z,,System strength,Synchronise,A possible intervention notice was not published as there was not adequate time following the trip of Pelican Point GT.,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,DRYCGT1,Synergen Power Pty Limited,SA1,2021-01-22T04:30:00Z,2021-01-22T04:30:00Z,2021-01-22T05:15:00Z,,System strength,Remain,A possible intervention notice was not published as there was not adequate time following the trip of Pelican Point GT.,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,DRYCGT2,Synergen Power Pty Limited,SA1,2021-01-22T04:30:00Z,2021-01-22T04:30:00Z,2021-01-22T05:15:00Z,,System strength,Remain,A possible intervention notice was not published as there was not adequate time following the trip of Pelican Point GT.,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-11T17:45:00Z,DRYCGT3,Synergen Power Pty Limited,SA1,2021-01-22T04:30:00Z,2021-01-22T04:30:00Z,2021-01-22T05:15:00Z,,System strength,Remain,A possible intervention notice was not published as there was not adequate time following the trip of Pelican Point GT.,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-25T16:53:00Z,2021-01-26T01:30:00Z,2021-01-26T11:29:59Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-01-25T16:53:00Z,2021-01-26T00:59:59Z,2021-01-27T17:00:00Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-25T16:56:00Z,2021-01-26T09:30:00Z,2021-01-26T18:00:00Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-01-26T15:30:00Z,2021-01-27T00:00:00Z,2021-01-28T11:00:00Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-26T15:40:00Z,2021-01-27T01:30:00Z,2021-01-27T15:30:00Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-27T18:59:59Z,2021-01-27T23:00:00Z,2021-01-28T06:14:59Z,,System strength,Remain,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,MINTARO,Synergen Power Pty Limited,SA1,2021-01-28T08:50:00Z,2021-01-28T08:50:00Z,2021-01-28T10:30:00Z,,System strength,Synchronise,MN 82370,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-28T17:29:59Z,2021-01-29T11:00:00Z,2021-01-29T17:00:00Z,,System strength,Remain,MN 82446,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,DRYCGT2,Synergen Power Pty Limited,SA1,2021-01-28T23:19:59Z,2021-01-29T06:30:00Z,2021-01-29T12:30:00Z,,System strength,Make available,MN 82446,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-01-29T09:30:00Z,2021-01-29T12:00:00Z,2021-02-01T03:59:59Z,,System strength,Remain,MN 82446,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-29T17:00:00Z,2021-01-30T07:30:00Z,2021-01-31T15:00:00Z,,System strength,Remain,MN 82446,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-01-31T17:00:00Z,2021-02-01T09:59:59Z,2021-02-03T15:00:00Z,,System strength,Remain,MN 82487,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-01-31T17:00:00Z,2021-02-01T08:29:59Z,2021-02-03T03:59:59Z,,System strength,Remain,MN 82487,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-02T17:00:00Z,2021-02-03T03:59:59Z,2021-02-03T15:59:59Z,,System strength,Remain,MN 82487,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-03T17:00:00Z,2021-02-04T02:29:59Z,2021-02-04T09:14:59Z,,System strength,Remain,MN 82565,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-01-25T16:53:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-02-03T17:00:00Z,2021-02-05T00:00:00Z,2021-02-04T07:44:59Z,,System strength,Remain,MN 82565,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-04T10:30:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-04T10:30:00Z,2021-02-05T00:00:00Z,2021-02-09T03:59:59Z,,System strength,Remain,MN 82578,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-04T10:30:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-04T14:29:59Z,2021-02-05T00:59:59Z,2021-02-06T18:59:59Z,,System strength,Remain,MN 82578,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-04T10:30:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-02-04T14:29:59Z,2021-02-04T22:30:00Z,2021-02-06T20:00:00Z,,System strength,Remain,MN 82578,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-04T10:30:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-06T17:00:00Z,2021-02-07T08:29:59Z,2021-02-09T10:30:00Z,,System strength,Remain,MN 82578,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-11T18:00:00Z,2021-02-12T16:30:00Z,2021-02-12T19:30:00Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-12T08:45:00Z,2021-02-12T09:59:59Z,2021-02-12T10:30:00Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-12T08:45:00Z,2021-02-12T10:30:00Z,2021-02-12T16:30:00Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-12T12:45:00Z,2021-02-12T15:59:59Z,2021-02-15T12:00:00Z,,System strength,Synchronise,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-12T17:00:00Z,2021-02-13T08:29:59Z,2021-02-13T19:30:00Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-13T17:00:00Z,2021-02-14T08:00:00Z,2021-02-15T17:29:59Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-02-13T17:00:00Z,2021-02-14T08:00:00Z,2021-02-15T10:30:00Z,,System strength,Remain,MN 82825,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,TORRA3,AGL SA Generation Pty Limited,SA1,2021-02-17T21:00:00Z,2021-02-18T21:59:59Z,2021-02-19T10:30:00Z,,System strength,Synchronise,MN 82878,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-17T21:00:00Z,2021-02-19T00:30:00Z,2021-02-19T10:30:00Z,,System strength,Remain,MN 82878,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-11T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-19T17:29:59Z,2021-02-20T08:29:59Z,2021-02-20T15:59:59Z,,System strength,Remain,MN 82894,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-20T17:29:59Z,2021-02-21T09:00:00Z,2021-02-21T20:00:00Z,,System strength,Remain,MN 82913,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-02-20T17:29:59Z,2021-02-21T09:59:59Z,2021-02-24T03:59:59Z,,System strength,Remain,MN 82913,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-21T15:00:00Z,2021-02-22T08:00:00Z,2021-02-24T18:00:00Z,,System strength,Remain,MN 82913,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-02-22T15:59:59Z,2021-02-23T00:00:00Z,2021-02-25T03:59:59Z,,System strength,Remain,MN 82913,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-24T14:00:00Z,2021-02-25T09:30:00Z,2021-02-25T18:30:00Z,,System strength,Synchronise,MN 83007,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-20T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-02-24T14:00:00Z,2021-02-25T05:00:00Z,2021-02-25T18:00:00Z,,System strength,Remain,MN 83007,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-25T23:29:59Z,2021-02-26T11:00:00Z,2021-02-27T17:00:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-26T14:45:00Z,2021-02-27T09:30:00Z,2021-02-27T15:59:59Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-02-27T06:00:00Z,2021-02-27T09:30:00Z,2021-02-28T17:29:59Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-27T17:29:59Z,2021-02-28T09:00:00Z,2021-02-28T16:30:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-27T17:29:59Z,2021-03-01T01:30:00Z,2021-02-28T13:30:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB4,AGL SA Generation Pty Limited,SA1,2021-02-27T18:40:00Z,2021-02-28T09:59:59Z,2021-03-07T17:00:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-02-28T17:00:00Z,2021-03-01T09:59:59Z,2021-03-02T14:35:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-02-28T17:00:00Z,2021-03-01T12:00:00Z,2021-03-01T18:00:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-02-28T19:44:59Z,2021-03-01T09:59:59Z,2021-03-02T14:29:59Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
