duid,rev_HR,eng_HR,HR_lo,HR_hi,rev_VOM,eng_VOM,r2,mean_p,n_days
TORRB1,0.12,9.94,-0.4,0.65,104.5,2.5,0.001,106.6,333
TORRB2,0.97,9.94,0.45,1.48,93.6,2.5,0.041,110.4,318
TORRB3,1.06,9.94,0.56,1.56,92.1,2.5,0.054,110.5,310
TORRB4,1,9.94,0.5,1.49,93.4,2.5,0.046,110.6,320
PPCCGT,-1.61,7.35,-1.76,-1.45,99.8,4.1,0.355,73.6,750
OSB-AG,-0.08,8.16,-0.34,0.17,81.4,4.1,0,80,1064
MINTARO,-0.63,10,-0.8,-0.46,136.6,12,0.061,126,813
BARKIPS1,0.54,7.9,0.26,0.82,99.3,8.51,0.013,107.8,1089
DRYCGT1,-0.61,10.97,-0.81,-0.41,143.2,8.1,0.032,133.7,1087
DRYCGT2,-0.12,10.97,-0.21,-0.03,127.6,8.1,0.006,125.8,1087
DRYCGT3,-0.61,10.97,-0.81,-0.41,143.1,8.1,0.032,133.7,1086
QPS5,3.61,8,3.18,4.05,52.4,8.1,0.204,108.8,1038
