duid,HR_from_p25,r2_p25,q150_slope,mean_q150,n,eng_HR
TORRB1,-184.38,0.432,0.0084,0.255,36,9.94
TORRB2,-115.05,0.222,-0.0022,0.276,36,9.94
TORRB3,-117.01,0.123,-0.0025,0.281,36,9.94
TORRB4,-76.97,0.063,-0.0011,0.258,36,9.94
PPCCGT,35.4,0.005,-0.0066,0.334,36,7.35
OSB-AG,7.43,0.027,-0.0078,0.748,36,8.16
MINTARO,-10.42,0.002,-0.0016,0.03,36,10
BARKIPS1,-261.27,0.24,0.0035,0.16,36,7.9
DRYCGT1,-130.6,0.029,0.001,0.015,36,10.97
DRYCGT2,-133.85,0.289,0.0013,0.009,36,10.97
DRYCGT3,-183.23,0.057,0.0024,0.036,36,10.97
QPS5,-158.37,0.44,0.0031,0.043,36,8
