duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
TORRB1,Gas-steam (Torrens B),202201,10.17,43.4210526315789,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB2,Gas-steam (Torrens B),202201,10.17,43.4210526315789,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB3,Gas-steam (Torrens B),202201,10.17,43.4210526315789,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB4,Gas-steam (Torrens B),202201,10.17,43.4210526315789,gas,9.94,10.71,2.5,103.5898,111.4207
PPCCGT,CCGT (Pelican Pt),202201,10.17,43.4210526315789,gas,7.35,7.35,4.1,78.8495,78.8495
OSB-AG,Cogen (Osborne),202201,10.17,43.4210526315789,gas,8.16,8.16,4.1,87.0872,87.0872
MINTARO,OCGT (Mintaro),202201,10.17,43.4210526315789,gas,10,12.72,12,113.7,141.3624
BARKIPS1,Recip. (Barker Inlet),202201,10.17,43.4210526315789,gas,7.9,7.9,8.51,88.853,88.853
DRYCGT1,OCGT (Dry Creek),202201,10.17,43.4210526315789,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT2,OCGT (Dry Creek),202201,10.17,43.4210526315789,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT3,OCGT (Dry Creek),202201,10.17,43.4210526315789,gas,10.97,13.69,8.1,119.6649,147.3273
QPS5,OCGT (Quarantine),202201,10.17,43.4210526315789,gas,8,10.71,8.1,89.46,117.0207
TORRB1,Gas-steam (Torrens B),202202,10.17,44.7368421052632,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB2,Gas-steam (Torrens B),202202,10.17,44.7368421052632,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB3,Gas-steam (Torrens B),202202,10.17,44.7368421052632,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB4,Gas-steam (Torrens B),202202,10.17,44.7368421052632,gas,9.94,10.71,2.5,103.5898,111.4207
PPCCGT,CCGT (Pelican Pt),202202,10.17,44.7368421052632,gas,7.35,7.35,4.1,78.8495,78.8495
OSB-AG,Cogen (Osborne),202202,10.17,44.7368421052632,gas,8.16,8.16,4.1,87.0872,87.0872
MINTARO,OCGT (Mintaro),202202,10.17,44.7368421052632,gas,10,12.72,12,113.7,141.3624
BARKIPS1,Recip. (Barker Inlet),202202,10.17,44.7368421052632,gas,7.9,7.9,8.51,88.853,88.853
DRYCGT1,OCGT (Dry Creek),202202,10.17,44.7368421052632,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT2,OCGT (Dry Creek),202202,10.17,44.7368421052632,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT3,OCGT (Dry Creek),202202,10.17,44.7368421052632,gas,10.97,13.69,8.1,119.6649,147.3273
QPS5,OCGT (Quarantine),202202,10.17,44.7368421052632,gas,8,10.71,8.1,89.46,117.0207
TORRB1,Gas-steam (Torrens B),202203,10.17,46.0526315789474,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB2,Gas-steam (Torrens B),202203,10.17,46.0526315789474,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB3,Gas-steam (Torrens B),202203,10.17,46.0526315789474,gas,9.94,10.71,2.5,103.5898,111.4207
TORRB4,Gas-steam (Torrens B),202203,10.17,46.0526315789474,gas,9.94,10.71,2.5,103.5898,111.4207
PPCCGT,CCGT (Pelican Pt),202203,10.17,46.0526315789474,gas,7.35,7.35,4.1,78.8495,78.8495
OSB-AG,Cogen (Osborne),202203,10.17,46.0526315789474,gas,8.16,8.16,4.1,87.0872,87.0872
MINTARO,OCGT (Mintaro),202203,10.17,46.0526315789474,gas,10,12.72,12,113.7,141.3624
BARKIPS1,Recip. (Barker Inlet),202203,10.17,46.0526315789474,gas,7.9,7.9,8.51,88.853,88.853
DRYCGT1,OCGT (Dry Creek),202203,10.17,46.0526315789474,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT2,OCGT (Dry Creek),202203,10.17,46.0526315789474,gas,10.97,13.69,8.1,119.6649,147.3273
DRYCGT3,OCGT (Dry Creek),202203,10.17,46.0526315789474,gas,10.97,13.69,8.1,119.6649,147.3273
QPS5,OCGT (Quarantine),202203,10.17,46.0526315789474,gas,8,10.71,8.1,89.46,117.0207
TORRB1,Gas-steam (Torrens B),202204,29.85,46.0526315789474,gas,9.94,10.71,2.5,299.209,322.1935
TORRB2,Gas-steam (Torrens B),202204,29.85,46.0526315789474,gas,9.94,10.71,2.5,299.209,322.1935
TORRB3,Gas-steam (Torrens B),202204,29.85,46.0526315789474,gas,9.94,10.71,2.5,299.209,322.1935
TORRB4,Gas-steam (Torrens B),202204,29.85,46.0526315789474,gas,9.94,10.71,2.5,299.209,322.1935
PPCCGT,CCGT (Pelican Pt),202204,29.85,46.0526315789474,gas,7.35,7.35,4.1,223.4975,223.4975
