eid,station,reason2,yr,n_int,hit_issue,hit_any,frac_piv,hit_any_ex
445,torrens_island_b,security_generic,2022,97,0,0,0,0
446,torrens_island_b,security_generic,2022,265,0,1,0.513207547169811,0
447,torrens_island_b,security_generic,2022,198,1,1,0.944444444444444,0
448,torrens_island_b,security_generic,2022,1848,1,1,0.880411255411256,1
449,torrens_island_b,security_generic,2022,666,1,1,0.855855855855856,1
450,torrens_island_b,security_generic,2022,114,1,1,0.991228070175439,0
451,torrens_island_b,security_generic,2022,90,0,0,0,0
452,torrens_island_b,security_generic,2022,772,1,1,0.424870466321244,0
453,osborne_gt_st,security_generic,2022,77,0,0,0,0
454,torrens_island_b,security_generic,2022,101,0,1,0.0891089108910891,0
455,torrens_island_b,security_generic,2022,198,1,1,0.409090909090909,0
456,torrens_island_b,security_generic,2022,108,0,1,0.0185185185185185,0
457,torrens_island_b,security_generic,2022,778,1,1,0.908740359897172,0
458,torrens_island_b,security_generic,2022,666,1,1,0.900900900900901,0
459,torrens_island_b,security_generic,2022,144,1,1,0.284722222222222,0
460,torrens_island_b,security_generic,2022,159,1,1,0.257861635220126,0
461,torrens_island_b,security_generic,2022,150,1,1,0.953333333333333,0
462,torrens_island_b,security_generic,2022,450,1,1,0.717777777777778,0
463,torrens_island_b,security_generic,2022,180,1,1,0.411111111111111,0
464,torrens_island_b,security_generic,2022,195,1,1,0.692307692307692,0
465,torrens_island_b,security_generic,2022,133,1,1,0.0451127819548872,1
466,torrens_island_b,security_generic,2022,90,1,1,0.4,0
467,torrens_island_b,security_generic,2022,151,1,1,0.158940397350993,1
468,torrens_island_b,security_generic,2022,384,1,1,0.9921875,0
469,torrens_island_b,security_generic,2022,121,0,1,0.942148760330578,0
470,torrens_island_b,security_generic,2022,479,1,1,0.974947807933194,0
471,torrens_island_b,security_generic,2022,113,0,1,0.991150442477876,0
472,torrens_island_b,security_generic,2022,102,1,1,1,0
473,torrens_island_b,security_generic,2022,843,1,1,0.838671411625148,0
474,torrens_island_b,security_generic,2022,96,1,1,0.96875,0
475,torrens_island_b,security_generic,2022,169,1,1,0.378698224852071,0
476,torrens_island_b,security_generic,2022,59,0,0,0,0
477,torrens_island_b,security_generic,2022,59,0,0,0,0
478,torrens_island_b,security_generic,2022,90,0,0,0,0
479,torrens_island_b,security_generic,2022,72,0,0,0,0
480,torrens_island_b,security_generic,2022,126,1,1,0.896825396825397,0
481,torrens_island_b,security_generic,2022,119,0,1,0.890756302521008,0
482,dry_creek,security_generic,2022,5,0,0,0,0
483,dry_creek,security_generic,2022,5,0,0,0,0
484,torrens_island_b,security_generic,2022,103,1,1,0.0388349514563107,0
485,torrens_island_b,security_generic,2022,252,1,1,0.575396825396825,0
486,torrens_island_b,security_generic,2022,115,0,0,0,0
487,torrens_island_b,security_generic,2022,70,0,0,0,0
488,torrens_island_b,security_generic,2022,16,0,0,0,0
489,torrens_island_b,security_generic,2022,70,0,0,0,0
490,torrens_island_b,security_generic,2022,114,1,1,0.0263157894736842,0
491,torrens_island_b,security_generic,2022,95,0,0,0,0
492,torrens_island_b,security_generic,2022,90,0,0,0,0
493,torrens_island_b,security_generic,2022,90,0,0,0,0
494,torrens_island_b,security_generic,2022,90,0,1,0.244444444444444,0
495,torrens_island_b,security_generic,2022,90,0,1,0.1,0
496,torrens_island_b,security_generic,2022,187,1,1,0.363636363636364,0
497,torrens_island_b,security_generic,2022,96,0,0,0,0
498,torrens_island_b,security_generic,2022,83,0,0,0,0
499,torrens_island_b,security_generic,2022,495,1,1,0.781818181818182,1
500,torrens_island_b,security_generic,2022,461,1,1,0.811279826464208,1
501,dry_creek,security_generic,2022,9,0,0,0,0
502,dry_creek,security_generic,2022,9,0,0,0,0
503,torrens_island_b,security_generic,2022,162,1,1,0.283950617283951,0
504,torrens_island_b,security_generic,2022,1267,1,1,0.947908445146014,0
505,torrens_island_b,security_generic,2022,486,1,1,0.919753086419753,0
506,torrens_island_b,security_generic,2022,963,1,1,0.828660436137072,0
507,torrens_island_b,security_generic,2022,95,0,0,0,0
508,torrens_island_b,security_generic,2022,85,0,0,0,0
509,torrens_island_b,security_generic,2022,81,0,0,0,0
510,torrens_island_b,security_generic,2022,155,0,1,0.109677419354839,0
511,torrens_island_b,security_generic,2022,113,0,1,0.150442477876106,0
512,torrens_island_b,security_generic,2022,108,0,0,0,0
513,torrens_island_b,security_generic,2022,7,0,0,0,0
514,torrens_island_b,security_generic,2022,45,0,1,0.222222222222222,0
515,dry_creek,security_generic,2022,32,0,0,0,0
516,dry_creek,security_generic,2022,32,0,0,0,0
517,torrens_island_b,security_generic,2022,77,0,0,0,0
518,torrens_island_b,security_generic,2022,59,0,0,0,0
519,torrens_island_b,security_generic,2022,174,1,1,0.431034482758621,0
520,torrens_island_b,security_generic,2022,106,0,0,0,0
521,torrens_island_b,security_generic,2022,109,0,0,0,0
522,torrens_island_b,security_generic,2022,79,0,0,0,0
523,torrens_island_b,security_generic,2022,114,0,1,0.192982456140351,0
524,torrens_island_b,security_generic,2022,95,0,1,0.0947368421052632,0
527,torrens_island_b,security_generic,2022,96,0,0,0,0
528,torrens_island_b,security_generic,2022,189,1,1,0.349206349206349,0
529,torrens_island_b,security_generic,2022,72,0,0,0,0
530,torrens_island_b,security_generic,2022,96,0,0,0,0
531,torrens_island_b,security_generic,2022,92,0,1,0.315217391304348,0
532,torrens_island_b,security_generic,2022,661,1,1,0.978819969742814,1
533,torrens_island_b,security_generic,2022,913,1,1,0.889375684556408,0
534,torrens_island_b,security_generic,2022,378,1,1,0.674603174603175,0
535,dry_creek,security_generic,2022,18,0,0,0,0
536,dry_creek,security_generic,2022,18,0,0,0,0
537,torrens_island_b,security_generic,2022,59,0,0,0,0
538,torrens_island_b,security_generic,2022,155,1,1,0.232258064516129,0
539,torrens_island_b,security_generic,2022,162,1,1,0.265432098765432,0
540,torrens_island_b,security_generic,2022,150,1,1,0.24,0
541,torrens_island_b,security_generic,2022,162,1,1,0.265432098765432,0
542,torrens_island_b,security_generic,2022,2,0,0,0,0
543,dry_creek,security_generic,2022,18,0,0,0,0
544,dry_creek,security_generic,2022,18,0,0,0,0
545,torrens_island_b,security_generic,2022,45,0,0,0,0
546,torrens_island_b,security_generic,2022,149,1,1,0.201342281879195,0
547,torrens_island_b,security_generic,2022,65,0,0,0,0
548,torrens_island_b,security_generic,2022,126,1,1,0.0873015873015873,0
549,torrens_island_b,security_generic,2022,72,0,1,0.0555555555555556,0
550,torrens_island_b,security_generic,2022,211,1,1,0.431279620853081,0
551,torrens_island_b,security_generic,2022,204,1,1,0.411764705882353,0
552,osborne_gt_st,security_generic,2022,65,0,0,0,0
553,osborne_gt_st,security_generic,2022,133,0,1,0.0676691729323308,0
554,torrens_island_b,security_generic,2022,65,0,1,0.0461538461538462,0
555,osborne_gt_st,security_generic,2022,18,0,0,0,0
556,torrens_island_b,security_generic,2022,65,0,1,0.384615384615385,0
557,torrens_island_b,security_generic,2022,47,0,0,0,0
558,torrens_island_b,security_generic,2022,149,1,1,0.355704697986577,0
559,torrens_island_b,security_generic,2022,108,1,1,0.0555555555555556,0
560,torrens_island_b,security_generic,2022,78,1,1,1,0
561,torrens_island_b,security_generic,2022,353,1,1,0.526912181303116,0
562,dry_creek,security_generic,2022,5,0,0,0,0
563,dry_creek,security_generic,2022,5,0,0,0,0
564,dry_creek,security_generic,2022,2,0,0,0,0
565,dry_creek,security_generic,2022,43,0,0,0,0
566,dry_creek,security_generic,2022,41,0,0,0,0
567,quarantine_5,security_generic,2022,20,0,0,0,0
568,dry_creek,security_generic,2022,25,0,0,0,0
569,dry_creek,security_generic,2022,25,0,0,0,0
570,torrens_island_b,security_generic,2022,47,1,1,1,0
