DUID,cut,q,norm,ratio,lo,hi,price,plo,phi,n_mth
BARKIPS1,ALL,0.05,MAXAVAIL,100.57711473776,3.40321182666313,151.458180087404,12917.32,455.305,16600,35
DRYCGT1,ALL,0.05,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.05,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.05,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.05,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.05,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
QPS5,ALL,0.05,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.05,MAXAVAIL,0.1,0.1,111.696560552477,-999.55,-999.8,15490.7,30
TORRB3,ALL,0.05,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,16318.94,34
TORRB4,ALL,0.05,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,15490.7,34
BARKIPS1,ALL,0.1,MAXAVAIL,100.57711473776,3.40321182666313,155.666197249198,12917.32,455.305,16600,35
DRYCGT1,ALL,0.1,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.1,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.1,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.1,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.1,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
QPS5,ALL,0.1,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.1,MAXAVAIL,0.1,0.1,111.696560552477,-999.55,-999.8,15490.7,30
TORRB3,ALL,0.1,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,16318.94,34
TORRB4,ALL,0.1,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,15490.7,34
BARKIPS1,ALL,0.15,MAXAVAIL,100.57711473776,3.40321182666313,155.666197249198,12917.32,455.305,16600,35
DRYCGT1,ALL,0.15,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,ALL,0.15,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,ALL,0.15,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,ALL,0.15,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,ALL,0.15,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
QPS5,ALL,0.15,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,ALL,0.15,MAXAVAIL,0.1,0.1,111.696560552477,-999.55,-999.8,15490.7,30
TORRB3,ALL,0.15,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,16318.94,34
TORRB4,ALL,0.15,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,15490.7,34
BARKIPS1,ALL,0.2,MAXAVAIL,100.57711473776,3.40321182666313,155.666197249198,12917.32,455.305,16600,35
