DUID,regime,withheld_ma,withheld_reg,markup50,steepness,avail_frac,months
BARKIPS1,DN,1,1,89.1393880572646,1.09972966528661,0.919047619047619,8
BARKIPS1,UN,1,1,140.673197518728,1,0.919047619047619,35
DRYCGT1,DN,1,1,32.7270872222127,1,0.989583333333333,2
DRYCGT1,DP,1,1,26.3713130910536,1,0.9375,1
DRYCGT1,UN,1,1,109.592954993486,1,0.958333333333333,35
DRYCGT1,UP,1,1,31.4958454247693,1,0.875,7
DRYCGT2,DN,1,1,39.0828613533718,1,0.957446808510638,3
DRYCGT2,UN,1,1,109.592954993486,1,0.914893617021277,35
DRYCGT2,UP,1,1,88.6819497367496,1,0.893617021276596,7
DRYCGT3,DN,1,1,39.0828613533718,1,0.974489795918367,4
DRYCGT3,DP,1,1,26.3185141154225,1,0.969387755102041,1
DRYCGT3,UN,1,1,109.076421031813,1,0.979591836734694,35
DRYCGT3,UP,1,1,35.257823893946,1,0.918367346938776,6
MINTARO,DN,1,1,121.010371959943,1,0.97752808988764,21
MINTARO,DP,1,1,121.010371959943,1,0.337078651685393,19
MINTARO,UN,1,1,121.010371959943,1,0.966292134831461,22
MINTARO,UP,1,1,121.010371959943,1,0.337078651685393,21
OSB-AG,DN,0.21875,0.244791666666667,-9.35934493009742,86.49,0.932291666666667,7
OSB-AG,UN,0,0.229166666666667,-9.22085015611045,104.99,0.953125,33
OSB-AG,UP,0,0.0520833333333333,-8.71559633027523,80.93,0.96875,13
PPCCGT,DN,0.289207993798567,0.666,-9.91036614724002,160.17,0.474,10
PPCCGT,DP,0.307886823400765,0.663,-9.87869333337192,128.425,0.481,4
PPCCGT,UN,0.279069434561055,0.33,-10.1884059449369,173.16,0.919,34
PPCCGT,UP,0.281160342925049,0.608,-10.1884059449369,173.16,0.495,34
QPS5,DN,1,1,128.43823260023,1,0.96875,20
QPS5,DP,0,0.421875,-6.29447774518556,1,0.578125,7
QPS5,UN,1,1,145.024055947807,1,0.9609375,34
QPS5,UP,1,1,129.355118121587,1,0.9296875,18
TORRB2,DN,0.789473684210526,0.8,121.358051966162,12997.7,1,27
TORRB2,DP,1,1,127.537594670049,1,0.2,27
TORRB2,UN,0.7,0.7,3.18117015837537,560.735,1,30
TORRB2,UP,1,1,127.537594670049,1,0.2,30
TORRB3,DN,0.8,0.8,121.358051966162,179.88,1,31
TORRB3,DP,1,1,127.537594670049,1,0.2,31
TORRB3,UN,0.7,0.7,83.4540200667317,6737.675,1,34
TORRB3,UP,1,1,124.447823318106,1,0.2,34
TORRB4,DN,0.8,0.8,118.309041808419,560.6,1,31
TORRB4,DP,1,1,127.537594670049,1,0.2,29
TORRB4,UN,0.7,0.7,84.1959538220423,14006.62,1,34
TORRB4,UP,1,1,127.537594670049,1,0.2,33
