DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
BARKIPS1,UN,0.05,MAXAVAIL,100.57711473776,3.40321182666313,151.458180087404,12917.32,455.305,16600,35
DRYCGT1,UN,0.05,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.05,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.05,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.05,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.05,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
PPCCGT,UP,0.05,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.05,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.05,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-999.4,30
TORRB2,UP,0.05,MAXAVAIL,109.649275424084,12.6903374397161,138.976821131214,15490.7,3024.8475,16595.02,30
TORRB3,UN,0.05,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.775,-999.4,34
TORRB3,UP,0.05,MAXAVAIL,82.7120863114212,0.1,135.073479231579,15490.7,-999.7,16318.94,34
TORRB3,DN,0.05,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,15490.7,31
TORRB3,DP,0.05,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.05,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-999.4,34
TORRB4,UP,0.05,MAXAVAIL,121.358051966162,0.1,140.277935097759,15490.7,-999.4,16595.02,33
TORRB4,DP,0.05,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.05,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.7,-999.4,31
BARKIPS1,UN,0.1,MAXAVAIL,100.57711473776,3.40321182666313,155.666197249198,12917.32,455.305,16600,35
DRYCGT1,UN,0.1,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.1,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.1,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.1,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.1,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
PPCCGT,UP,0.1,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.1,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.1,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-999.4,30
TORRB2,UP,0.1,MAXAVAIL,109.649275424084,12.6903374397161,138.976821131214,15490.7,3024.8475,16595.02,30
TORRB3,UN,0.1,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.775,-999.4,34
TORRB3,UP,0.1,MAXAVAIL,82.7120863114212,0.1,135.073479231579,15490.7,-999.7,16318.94,34
TORRB3,DN,0.1,MAXAVAIL,0.1,0.1,127.537594670049,-999.4,-999.7,15490.7,31
TORRB3,DP,0.1,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.1,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-999.4,34
TORRB4,UP,0.1,MAXAVAIL,121.358051966162,0.1,140.277935097759,15490.7,-999.4,16595.02,33
TORRB4,DP,0.1,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
