episode_id,scope,n_pre,base_mx,last_mx,base_above,last_above,runup_withhold,runup_abovesrmc,duid,instruction,s,depth_onset,d_t,ym
2,whole,12,193,0,1,1,193,0,BARKIPS1,Synchronise,2022-06-15T22:10:00Z,4,0,202206
2,onset,12,193,0,1,1,193,0,BARKIPS1,Synchronise,2022-06-15T22:10:00Z,4,0,202206
3,whole,9,193,202.759259259259,1,0.852557319223986,-9.75925925925927,-0.147442680776014,BARKIPS1,Synchronise,2022-06-17T01:05:00Z,6,0,202206
3,onset,9,193,193,1,1,0,0,BARKIPS1,Synchronise,2022-06-17T01:05:00Z,6,0,202206
4,whole,5,193,193,1,1,0,0,BARKIPS1,Synchronise,2022-07-29T22:50:00Z,2,0,202207
4,onset,5,193,193,1,1,0,0,BARKIPS1,Synchronise,2022-07-29T22:50:00Z,2,0,202207
5,whole,18,193,210,1,1,-17,0,BARKIPS1,Synchronise,2022-07-30T13:29:59Z,2,0,202207
5,onset,18,193,210,1,1,-17,0,BARKIPS1,Synchronise,2022-07-30T13:29:59Z,2,0,202207
6,whole,5,193,176,1,0.523809523809524,17,-0.476190476190476,BARKIPS1,Synchronise,2022-09-16T05:40:00Z,2,0,202209
6,onset,5,193,176,1,0.166666666666667,17,-0.833333333333333,BARKIPS1,Synchronise,2022-09-16T05:40:00Z,2,0,202209
7,whole,6,210,210,1,1,0,0,BARKIPS1,Synchronise,2022-12-03T21:20:00Z,2.41666666666667,0,202212
7,onset,6,210,210,1,1,0,0,BARKIPS1,Synchronise,2022-12-03T21:20:00Z,2.41666666666667,0,202212
8,whole,7,210,210,1,0.981859410430839,0,-0.018140589569161,BARKIPS1,Synchronise,2023-01-23T23:10:00Z,1,0,202301
8,onset,7,210,210,1,1,0,0,BARKIPS1,Synchronise,2023-01-23T23:10:00Z,1,0,202301
9,whole,6,193,210,1,1,-17,0,BARKIPS1,Synchronise,2023-02-10T21:50:00Z,2,0,202302
9,onset,6,193,210,1,1,-17,0,BARKIPS1,Synchronise,2023-02-10T21:50:00Z,2,0,202302
10,whole,6,210,210,1,1,0,0,BARKIPS1,Synchronise,2023-03-07T08:59:59Z,1.33333333333333,0,202303
10,onset,6,210,210,1,1,0,0,BARKIPS1,Synchronise,2023-03-07T08:59:59Z,1.33333333333333,0,202303
11,whole,9,193,176,1,1,17,0,BARKIPS1,Synchronise,2023-03-16T06:54:59Z,2,0,202303
11,onset,9,193,176,1,1,17,0,BARKIPS1,Synchronise,2023-03-16T06:54:59Z,2,0,202303
12,whole,10,193,193,1,0.904761904761905,0,-0.0952380952380952,BARKIPS1,Synchronise,2023-04-18T02:00:00Z,2,0,202304
12,onset,10,193,193,1,0.942857142857143,0,-0.0571428571428572,BARKIPS1,Synchronise,2023-04-18T02:00:00Z,2,0,202304
13,whole,9,210,210,1,1,0,0,BARKIPS1,Synchronise,2023-04-26T02:20:00Z,1,0,202304
13,onset,9,210,210,1,1,0,0,BARKIPS1,Synchronise,2023-04-26T02:20:00Z,1,0,202304
14,whole,13,210,210,1,1,0,0,BARKIPS1,Remain,2023-06-07T05:59:59Z,2.25,0,202306
14,onset,13,210,210,1,1,0,0,BARKIPS1,Remain,2023-06-07T05:59:59Z,2.25,0,202306
15,whole,5,193,190.970149253731,1,1,2.02985074626866,0,BARKIPS1,Synchronise,2023-09-18T00:20:00Z,2,1,202309
15,onset,5,193,181.666666666667,1,1,11.3333333333333,0,BARKIPS1,Synchronise,2023-09-18T00:20:00Z,2,1,202309
16,whole,4,87.4838709677419,176,1,1,-88.5161290322581,0,BARKIPS1,Synchronise,2023-12-10T18:56:00Z,2,1,202312
16,onset,4,18,176,1,1,-158,0,BARKIPS1,Synchronise,2023-12-10T18:56:00Z,2,1,202312
17,whole,5,210,175,1,1,35,0,BARKIPS1,Synchronise,2023-12-27T03:09:59Z,2,1,202312
17,onset,5,210,175,1,1,35,0,BARKIPS1,Synchronise,2023-12-27T03:09:59Z,2,1,202312
18,whole,4,210,192.608695652174,1,1,17.3913043478261,0,BARKIPS1,Synchronise,2023-12-28T21:50:00Z,2,1,202312
18,onset,4,210,190,1,1,20,0,BARKIPS1,Synchronise,2023-12-28T21:50:00Z,2,1,202312
19,whole,4,119.272727272727,193,1,1,-73.7272727272727,0,BARKIPS1,Synchronise,2024-01-12T15:20:00Z,2,1,202401
19,onset,4,106.666666666667,193,1,1,-86.3333333333333,0,BARKIPS1,Synchronise,2024-01-12T15:20:00Z,2,1,202401
20,whole,10,176,176,1,1,0,0,BARKIPS1,Synchronise,2024-04-05T23:00:00Z,1,1,202404
20,onset,10,176,176,1,1,0,0,BARKIPS1,Synchronise,2024-04-05T23:00:00Z,1,1,202404
21,whole,6,193,175,1,1,18,0,BARKIPS1,Synchronise,2024-05-28T14:30:00Z,1,1,202405
21,onset,6,193,175,1,1,18,0,BARKIPS1,Synchronise,2024-05-28T14:30:00Z,1,1,202405
22,whole,6,140,155,1,1,-15,0,BARKIPS1,Synchronise,2024-08-29T02:59:59Z,2,1,202408
22,onset,6,140,155,1,1,-15,0,BARKIPS1,Synchronise,2024-08-29T02:59:59Z,2,1,202408
23,whole,8,157,174,1,1,-17,0,BARKIPS1,Synchronise,2024-09-20T05:24:59Z,2,1,202409
23,onset,8,157,174,1,1,-17,0,BARKIPS1,Synchronise,2024-09-20T05:24:59Z,2,1,202409
24,whole,15,176,176,1,0.619047619047619,0,-0.380952380952381,BARKIPS1,Synchronise,2024-11-06T07:00:00Z,2,1,202411
24,onset,15,176,176,1,0.619047619047619,0,-0.380952380952381,BARKIPS1,Synchronise,2024-11-06T07:00:00Z,2,1,202411
26,whole,6,37,45,1,1,-8,0,DRYCGT1,Synchronise,2022-02-10T07:10:00Z,2.2,0,202202
26,onset,6,37,45,1,1,-8,0,DRYCGT1,Synchronise,2022-02-10T07:10:00Z,2.2,0,202202
27,whole,6,44.5853658536585,46.4390243902439,1,1,-1.85365853658536,0,DRYCGT1,Synchronise,2022-05-20T01:35:00Z,2,0,202205
27,onset,6,44,46,1,1,-2,0,DRYCGT1,Synchronise,2022-05-20T01:35:00Z,2,0,202205
28,whole,5,45.8539325842697,44.8651685393258,1,1,0.988764044943821,0,DRYCGT1,Synchronise,2023-06-06T14:14:59Z,2,0,202306
28,onset,5,47,45,1,1,2,0,DRYCGT1,Synchronise,2023-06-06T14:14:59Z,2,0,202306
