DUID,dbin,q,ratio,price,n,norm
BARKIPS1,<=-24h,0.05,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.05,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.05,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.05,84.4294442873249,14006.395,42,registered
DRYCGT1,<=-24h,0.05,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.05,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.05,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.05,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.05,39.0828613533718,13114.43,22,registered
MINTARO,<=-24h,0.05,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.05,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.05,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.05,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.05,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.05,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.05,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.05,0.1,-999.55,18,registered
PPCCGT,<=-24h,0.05,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.05,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.05,2.08420413122722,514.59,49,registered
QPS5,-6..-3h,0.05,139.68272852018,15300.05,16,registered
QPS5,-12..-6h,0.05,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.05,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.05,0.1,-999.399999999999,152,registered
TORRB2,<=-24h,0.05,0.1,-999.799999999998,62,registered
TORRB2,-12..-6h,0.05,0.1,-999.800000000002,18,registered
TORRB2,-1..0h,0.05,0.1,-999.699999999999,21,registered
TORRB2,-6..-3h,0.05,0.1,-999.7,20,registered
TORRB2,-3..-1h,0.05,0.1,-999.699999999999,16,registered
TORRB3,<=-24h,0.05,0.1,-999.400000000001,88,registered
TORRB3,0..+3h (post),0.05,0.1,-999.399999999998,177,registered
TORRB3,-12..-6h,0.05,0.1,-999.7,23,registered
TORRB3,-6..-3h,0.05,0.1,-999.699999999999,15,registered
TORRB4,0..+3h (post),0.05,0.1,-999.400000000001,165,registered
TORRB4,<=-24h,0.05,0.1,-999.400000000001,39,registered
TORRB4,-12..-6h,0.05,0.1,-999.799999999999,19,registered
TORRB4,-1..0h,0.05,0.1,-999.699999999999,21,registered
TORRB4,-6..-3h,0.05,0.1,-999.400000000001,15,registered
BARKIPS1,<=-24h,0.1,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.1,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.1,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.1,99.721312213991,15493.8,42,registered
DRYCGT1,<=-24h,0.1,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.1,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.1,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.1,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.1,39.0828613533718,13114.43,22,registered
MINTARO,<=-24h,0.1,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.1,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.1,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.1,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.1,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.1,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.1,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.1,0.1,-999.199999999999,18,registered
PPCCGT,<=-24h,0.1,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.1,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.1,2.08420413122722,514.59,49,registered
QPS5,-6..-3h,0.1,139.68272852018,15300.05,16,registered
QPS5,-12..-6h,0.1,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.1,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.1,109.679590465821,15495.35,152,registered
TORRB2,<=-24h,0.1,0.1,-999.799999999998,62,registered
TORRB2,-12..-6h,0.1,0.1,-999.800000000002,18,registered
TORRB2,-1..0h,0.1,50.4613497588642,15098.49,21,registered
TORRB2,-6..-3h,0.1,0.1,-999.7,20,registered
TORRB2,-3..-1h,0.1,0.1,-999.699999999999,16,registered
TORRB3,<=-24h,0.1,0.1,-999.400000000001,88,registered
TORRB3,0..+3h (post),0.1,100.98950903975,15490.7,177,registered
TORRB3,-12..-6h,0.1,0.1,-999.7,23,registered
TORRB3,-6..-3h,0.1,0.1,-999.699999999999,15,registered
TORRB4,0..+3h (post),0.1,118.309041808418,15490.7,165,registered
TORRB4,<=-24h,0.1,0.1,-999.400000000001,39,registered
TORRB4,-12..-6h,0.1,0.1,-999.799999999999,19,registered
TORRB4,-1..0h,0.1,0.1,-999.399999999997,21,registered
TORRB4,-6..-3h,0.1,0.1,-999.400000000001,15,registered
BARKIPS1,<=-24h,0.15,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.15,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.15,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.15,99.721312213991,15493.8,42,registered
DRYCGT1,<=-24h,0.15,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.15,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.15,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.15,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.15,39.0828613533718,13114.43,22,registered
MINTARO,<=-24h,0.15,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.15,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.15,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.15,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.15,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.15,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.15,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.15,0.1,-999.199999999999,18,registered
PPCCGT,<=-24h,0.15,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.15,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.15,2.08420413122722,514.59,49,registered
QPS5,-6..-3h,0.15,139.68272852018,15300.05,16,registered
QPS5,-12..-6h,0.15,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.15,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.15,121.358051966162,16047.51,152,registered
TORRB2,<=-24h,0.15,0.1,-999.799999999998,62,registered
TORRB2,-12..-6h,0.15,0.1,-999.800000000002,18,registered
TORRB2,-1..0h,0.15,118.34454517197,15500,21,registered
TORRB2,-6..-3h,0.15,0.1,-999.7,20,registered
TORRB2,-3..-1h,0.15,0.1,-999.699999999999,16,registered
TORRB3,<=-24h,0.15,0.1,-999.400000000001,88,registered
TORRB3,0..+3h (post),0.15,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.15,0.1,-999.7,23,registered
TORRB3,-6..-3h,0.15,0.1,-999.699999999999,15,registered
TORRB4,0..+3h (post),0.15,121.43091051247,15500,165,registered
TORRB4,<=-24h,0.15,0.1,-999.400000000001,39,registered
TORRB4,-12..-6h,0.15,0.1,-999.700000000001,19,registered
TORRB4,-1..0h,0.15,51.8032545812459,15500,21,registered
TORRB4,-6..-3h,0.15,0.1,-999.400000000001,15,registered
BARKIPS1,<=-24h,0.2,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.2,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.2,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.2,110.107027143171,15493.8,42,registered
DRYCGT1,<=-24h,0.2,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.2,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.2,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.2,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.2,39.0828613533718,13114.43,22,registered
MINTARO,<=-24h,0.2,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.2,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.2,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.2,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.2,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.2,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.2,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.2,0.1,-999.199999999999,18,registered
PPCCGT,<=-24h,0.2,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.2,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.2,2.08420413122722,514.59,49,registered
QPS5,-6..-3h,0.2,139.68272852018,15300.05,16,registered
QPS5,-12..-6h,0.2,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.2,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.2,121.358051966162,16047.51,152,registered
TORRB2,<=-24h,0.2,0.1,-999.799999999997,62,registered
TORRB2,-12..-6h,0.2,0.1,-999.800000000001,18,registered
TORRB2,-1..0h,0.2,118.34454517197,15500,21,registered
TORRB2,-6..-3h,0.2,0.1,-999.7,20,registered
TORRB2,-3..-1h,0.2,0.1,-999.699999999999,16,registered
TORRB3,<=-24h,0.2,0.1,-999.400000000001,88,registered
TORRB3,0..+3h (post),0.2,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.2,0.1,-999.7,23,registered
TORRB3,-6..-3h,0.2,0.1,-999.699999999998,15,registered
TORRB4,0..+3h (post),0.2,121.43091051247,15500,165,registered
TORRB4,<=-24h,0.2,0.1,-999.4,39,registered
TORRB4,-12..-6h,0.2,0.1,-999.700000000001,19,registered
TORRB4,-1..0h,0.2,82.7617433574356,15500,21,registered
TORRB4,-6..-3h,0.2,0.1,-999.4,15,registered
BARKIPS1,<=-24h,0.25,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.25,61.7843855520311,15095.47,33,registered
BARKIPS1,-12..-6h,0.25,99.721312213991,15493.8,17,registered
BARKIPS1,0..+3h (post),0.25,119.636939548583,15493.8,42,registered
DRYCGT1,<=-24h,0.25,39.0828613533718,13114.43,18,registered
DRYCGT2,<=-24h,0.25,39.0828613533718,13114.43,42,registered
DRYCGT2,0..+3h (post),0.25,39.0828613533718,13114.43,16,registered
DRYCGT3,<=-24h,0.25,39.0828613533718,13114.43,56,registered
DRYCGT3,0..+3h (post),0.25,39.0828613533718,13114.43,22,registered
MINTARO,<=-24h,0.25,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.25,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.25,125.901634241245,16178.36,244,registered
MINTARO,-12..-6h,0.25,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.25,92.6688034188036,15179.15,46,registered
MINTARO,-1..0h,0.25,130.15575221239,16178.36,26,registered
MINTARO,-3..-1h,0.25,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.25,0.1,-999.199999999999,18,registered
PPCCGT,<=-24h,0.25,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.25,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.25,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.25,140.599614041536,15300.05,16,registered
QPS5,-12..-6h,0.25,118.110622201637,15300.05,15,registered
QPS5,-24..-12h,0.25,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.25,121.43091051247,16595.02,152,registered
TORRB2,<=-24h,0.25,51.132302170055,12921.21,62,registered
TORRB2,-12..-6h,0.25,1.10222644692707,138.01,18,registered
TORRB2,-1..0h,0.25,121.358051966162,16600,21,registered
TORRB2,-6..-3h,0.25,1.83762271647808,298.88,20,registered
TORRB2,-3..-1h,0.25,29.662346147968,8025.78999999999,16,registered
TORRB3,<=-24h,0.25,50.4613497588642,15098.49,88,registered
TORRB3,0..+3h (post),0.25,121.43091051247,15500,177,registered
TORRB3,-12..-6h,0.25,0.1,-999.399999999998,23,registered
TORRB3,-6..-3h,0.25,0.983828146610356,138,15,registered
TORRB4,0..+3h (post),0.25,127.563107291507,15500,165,registered
TORRB4,<=-24h,0.25,56.5844275295456,15490.7,39,registered
TORRB4,-12..-6h,0.25,82.7617433574355,15490.7,19,registered
TORRB4,-1..0h,0.25,82.7617433574356,15500,21,registered
TORRB4,-6..-3h,0.25,82.7617433574356,15500,15,registered
BARKIPS1,<=-24h,0.3,140.673197518728,15493.8,101,registered
BARKIPS1,-24..-12h,0.3,61.7843855520311,15095.47,33,registered
