yyyymm,dt,period,gas_gj,fuel_cost,rent
202201,108.69232603678,2022-01-01,10.17,111.319,-2.62667396321999
202202,113.250240427863,2022-02-01,10.17,111.319,1.93124042786302
202203,116.443768786328,2022-03-01,10.17,111.319,5.12476878632801
202204,136.643649586609,2022-04-01,29.85,321.895,-185.251350413391
202205,217.140372920315,2022-05-01,29.85,321.895,-104.754627079685
202206,164.375166508689,2022-06-01,29.85,321.895,-157.519833491311
202207,348.734209583276,2022-07-01,27.29,294.503,54.2312095832761
202208,349.646575417222,2022-08-01,27.29,294.503,55.143575417222
202209,348.575117550074,2022-09-01,27.29,294.503,54.072117550074
202210,348.508415328714,2022-10-01,18.59,201.413,147.095415328714
202211,348.914177300313,2022-11-01,18.59,201.413,147.501177300313
202212,349,2022-12-01,18.59,201.413,147.587
202301,348.808346629675,2023-01-01,12.59,137.213,211.595346629675
202302,349,2023-02-01,12.59,137.213,211.787
202303,349.000564929967,2023-03-01,12.59,137.213,211.787564929967
202304,349,2023-04-01,15.18,164.926,184.074
202305,347.314793259071,2023-05-01,15.18,164.926,182.388793259071
202306,315.929947305715,2023-06-01,15.18,164.926,151.003947305715
202307,261.337855280947,2023-07-01,10.8,118.06,143.277855280947
202308,229.292673939339,2023-08-01,10.8,118.06,111.232673939339
202309,220.141029500923,2023-09-01,10.8,118.06,102.081029500923
202310,195.250880575692,2023-10-01,11.23,122.661,72.589880575692
202311,178.494488115703,2023-11-01,11.23,122.661,55.833488115703
202312,179.920166680046,2023-12-01,11.23,122.661,57.259166680046
202401,179.035525960133,2024-01-01,11.65,127.155,51.880525960133
202402,160.203710929002,2024-02-01,11.65,127.155,33.048710929002
202403,178.006788288625,2024-03-01,11.65,127.155,50.851788288625
202404,177.803946942519,2024-04-01,13.86,150.802,27.001946942519
202405,176.079713273707,2024-05-01,13.86,150.802,25.277713273707
202406,185.08728681414,2024-06-01,13.86,150.802,34.28528681414
202407,213.491180386437,2024-07-01,12.78,139.246,74.245180386437
202408,222.355431363184,2024-08-01,12.78,139.246,83.109431363184
202409,220.199562608055,2024-09-01,12.78,139.246,80.953562608055
202410,221.766092477216,2024-10-01,13.55,147.485,74.281092477216
202411,223.407438133884,2024-11-01,13.55,147.485,75.922438133884
202412,224.978117536285,2024-12-01,13.55,147.485,77.493117536285
