scope,instruction,dmid,Capacity offered (MW),Share above $300/MWh (pts),n
onset,Remain,-21,-1.55038759689923,-0.348508377778626,129
onset,Remain,-15,-20.1775568181818,0.0093811372266382,352
onset,Remain,-10.5,-2.88633398564905,5.80224731635425,511
onset,Remain,-7.5,15.6345381526104,7.21145048172988,83
onset,Remain,-4.5,-3.43410852713178,2.85548809205585,43
onset,Remain,-1.5,-1.28009259259259,1.96853690590221,36
onset,Synchronise,-21,-2.32286212914485,-0.392670157068063,191
onset,Synchronise,-15,-4.62197802197802,-0.114686900401186,455
onset,Synchronise,-10.5,-0.100168350168348,2.59699981997037,792
onset,Synchronise,-7.5,6.40220700152207,1.71051677900993,219
onset,Synchronise,-4.5,0.00409836065573771,3.83617394927634,122
onset,Synchronise,-1.5,10.6712962962963,2.35332616843033,72
whole,Remain,-21,7.50416801753746,-0.541064467421982,145
whole,Remain,-15,-13.8358332557738,0.284666643881127,413
whole,Remain,-10.5,-7.02102199479049,4.48730210253856,532
whole,Remain,-7.5,-9.52229872744816,7.1172188226325,110
whole,Remain,-4.5,-28.0931765699218,5.33296787022862,65
whole,Remain,-1.5,-2.91398809337256,5.62219348295349,52
whole,Synchronise,-21,-2.90409466832162,-0.12353049867073,251
whole,Synchronise,-15,-5.7942727898033,-0.824286367508976,555
whole,Synchronise,-10.5,-3.27376137139446,1.47705410867699,825
whole,Synchronise,-7.5,2.1935517218358,1.68069447878009,251
whole,Synchronise,-4.5,-1.53156033248378,3.77820132114386,142
whole,Synchronise,-1.5,3.31816006125915,0.282106255808563,86
