DUID,price,med,q1,q3
BARKIPS1,0,0,0,48
BARKIPS1,50,0,0,48
BARKIPS1,100,0,0,48
BARKIPS1,150,0,0,64
BARKIPS1,200,0,0,80
BARKIPS1,250,0,0,96
BARKIPS1,300,0,0,96
BARKIPS1,400,0,0,150
BARKIPS1,500,0,0,150
BARKIPS1,1000,0,0,158
BARKIPS1,5000,0,0,158
BARKIPS1,16000,175,0,193
OSB-AG,0,145,145,148
OSB-AG,50,145,145,148
OSB-AG,100,147,145,176
OSB-AG,150,173,145,188
OSB-AG,200,179,145,189
OSB-AG,250,181,146,190
OSB-AG,300,185,148,191
OSB-AG,400,186,149,191
OSB-AG,500,186,150,191
OSB-AG,1000,186,164,191
OSB-AG,5000,186,166,191
OSB-AG,16000,187,178,191
PPCCGT,0,328,171,354
PPCCGT,50,328,171,354
PPCCGT,100,341,174,362
PPCCGT,150,350,179,386
PPCCGT,200,356,222,443
PPCCGT,250,359,236,469
PPCCGT,300,364,243,486
PPCCGT,400,437,243,489
PPCCGT,500,443,243,490
PPCCGT,1000,452,244,490
PPCCGT,5000,455,244,491
PPCCGT,16000,463,245,493
TORRB2,0,60,40,60
TORRB2,50,60,40,60
TORRB2,100,60,40,60
TORRB2,150,60,40,60
TORRB2,200,60,40,110
TORRB2,250,60,40,150
TORRB2,300,60,40,150
TORRB2,400,90,40,190
TORRB2,500,110,40,190
TORRB2,1000,140,60,190
TORRB2,5000,140,60,190
TORRB2,16000,190,60,200
TORRB3,0,60,40,60
TORRB3,50,60,40,60
TORRB3,100,60,40,60
TORRB3,150,60,40,60
TORRB3,200,60,40,115
TORRB3,250,60,40,165
TORRB3,300,60,40,165
TORRB3,400,85,40,180
TORRB3,500,100,40,195
TORRB3,1000,115,50,200
TORRB3,5000,115,50,200
TORRB3,16000,195,60,200
TORRB4,0,60,40,60
TORRB4,50,60,40,60
TORRB4,100,60,40,60
TORRB4,150,60,40,60
TORRB4,200,60,40,110
TORRB4,250,65,40,175
TORRB4,300,65,40,175
TORRB4,400,90,40,195
TORRB4,500,90,40,200
TORRB4,1000,105,60,200
TORRB4,5000,105,60,200
TORRB4,16000,200,85,200
