duid,threshold,label,n_opp,withheld_pct,asusual_pct
OSB-AG,80,sweep,18,0,100
OSB-AG,90,trough_default,18,0,100
OSB-AG,100,sweep,18,0,100
OSB-AG,120,sweep,18,0,100
OSB-AG,150,sweep,18,100,0
OSB-AG,170,sweep,18,100,0
PPCCGT,80,sweep,267,13.5,86.5
PPCCGT,100,sweep,267,13.5,86.5
PPCCGT,120,sweep,267,13.5,86.5
PPCCGT,150,sweep,267,13.5,86.5
PPCCGT,170,sweep,267,13.5,86.5
PPCCGT,180,trough_default,267,31.8,68.2
TORRB2,80,sweep,4083,94,6
TORRB2,100,sweep,4083,94,6
TORRB2,120,sweep,4083,94.9,5.1
TORRB2,150,sweep,4083,95.2,4.8
TORRB2,170,sweep,4083,96.7,3.3
TORRB2,170,trough_default,4083,96.7,3.3
TORRB3,80,sweep,4083,98.1,1.9
TORRB3,100,sweep,4083,98.1,1.9
TORRB3,120,sweep,4083,98.5,1.5
TORRB3,131,trough_default,4083,98.7,1.3
TORRB3,150,sweep,4083,98.7,1.3
TORRB3,170,sweep,4083,98.7,1.3
TORRB4,80,sweep,4083,94.5,5.5
TORRB4,100,sweep,4083,94.8,5.2
TORRB4,120,sweep,4083,95.4,4.6
TORRB4,150,sweep,4083,96.3,3.7
TORRB4,170,sweep,4083,97.2,2.8
TORRB4,171,trough_default,4083,97.2,2.8
