duid,threshold,label,group,n,withheld_pct
OSB-AG,80,sweep,comparison,1021,32.5
OSB-AG,80,sweep,opportunity,18,0
OSB-AG,90,trough_default,comparison,1021,32.5
OSB-AG,90,trough_default,opportunity,18,0
OSB-AG,100,sweep,comparison,1021,32.5
OSB-AG,100,sweep,opportunity,18,0
OSB-AG,120,sweep,comparison,1021,32.5
OSB-AG,120,sweep,opportunity,18,0
OSB-AG,150,sweep,comparison,1021,97.4
OSB-AG,150,sweep,opportunity,18,100
OSB-AG,170,sweep,comparison,1021,97.4
OSB-AG,170,sweep,opportunity,18,100
PPCCGT,80,sweep,comparison,5248,45.7
PPCCGT,80,sweep,opportunity,267,13.5
PPCCGT,100,sweep,comparison,5248,45.7
PPCCGT,100,sweep,opportunity,267,13.5
PPCCGT,120,sweep,comparison,5248,46
PPCCGT,120,sweep,opportunity,267,13.5
PPCCGT,150,sweep,comparison,5248,47.3
PPCCGT,150,sweep,opportunity,267,13.5
PPCCGT,170,sweep,comparison,5248,48.3
PPCCGT,170,sweep,opportunity,267,13.5
PPCCGT,180,trough_default,comparison,5248,51.3
PPCCGT,180,trough_default,opportunity,267,31.8
TORRB2,80,sweep,comparison,57170,90
TORRB2,80,sweep,opportunity,4083,94
TORRB2,100,sweep,comparison,57170,91.2
TORRB2,100,sweep,opportunity,4083,94
TORRB2,120,sweep,comparison,57170,92.4
TORRB2,120,sweep,opportunity,4083,94.9
TORRB2,150,sweep,comparison,57170,93.6
TORRB2,150,sweep,opportunity,4083,95.2
TORRB2,170,sweep,comparison,57170,94.2
TORRB2,170,trough_default,comparison,57170,94.2
TORRB2,170,sweep,opportunity,4083,96.7
TORRB2,170,trough_default,opportunity,4083,96.7
TORRB3,80,sweep,comparison,57170,87.1
TORRB3,80,sweep,opportunity,4083,98.1
TORRB3,100,sweep,comparison,57170,88.1
TORRB3,100,sweep,opportunity,4083,98.1
TORRB3,120,sweep,comparison,57170,89.6
TORRB3,120,sweep,opportunity,4083,98.5
TORRB3,131,trough_default,comparison,57170,90.3
TORRB3,131,trough_default,opportunity,4083,98.7
TORRB3,150,sweep,comparison,57170,90.9
TORRB3,150,sweep,opportunity,4083,98.7
TORRB3,170,sweep,comparison,57170,91.9
TORRB3,170,sweep,opportunity,4083,98.7
TORRB4,80,sweep,comparison,57170,88
TORRB4,80,sweep,opportunity,4083,94.5
TORRB4,100,sweep,comparison,57170,89.9
TORRB4,100,sweep,opportunity,4083,94.8
TORRB4,120,sweep,comparison,57170,91.3
TORRB4,120,sweep,opportunity,4083,95.4
TORRB4,150,sweep,comparison,57170,92.7
TORRB4,150,sweep,opportunity,4083,96.3
TORRB4,170,sweep,comparison,57170,93.6
TORRB4,170,sweep,opportunity,4083,97.2
TORRB4,171,trough_default,comparison,57170,93.7
TORRB4,171,trough_default,opportunity,4083,97.2
