term,estimate,std.error,statistic,p.value,scope,dt_variant,outcome,nobs
dt,0.000169281207417043,0.000154446428790463,1.09605128938725,0.286755156401802,pooled,dt,withheld_LPM,177854
oppTRUE,-0.0285083601495452,0.050298489030457,-0.566783629072488,0.577496229225712,pooled,dt,withheld_LPM,177854
srmc,-0.000522403919856037,0.000239323022388142,-2.18284022424214,0.0418004794933402,pooled,dt,withheld_LPM,177854
dt:oppTRUE,0.000242081203401231,0.000156074156463838,1.55106526849831,0.137383585223574,pooled,dt,withheld_LPM,177854
dt,-0.0523438677178027,0.0353688773306351,-1.47994145328623,0.155279910971955,pooled,dt,cheap300_continuous,177854
oppTRUE,24.2542336131777,12.6400482461749,1.91884027187296,0.0701540763065933,pooled,dt,cheap300_continuous,177854
srmc,0.197325219454439,0.0460380722728517,4.28613123253643,0.000398782162379673,pooled,dt,cheap300_continuous,177854
dt:oppTRUE,-0.123954651128294,0.0357541572648587,-3.46685981744909,0.00258234043119634,pooled,dt,cheap300_continuous,177854
dt_robust,-5.83691792120463e-05,0.000177572448508528,-0.328706281308292,0.745794634344118,pooled,dt_robust,withheld_LPM,189274
oppTRUE,-0.0160793737249257,0.0417074089241117,-0.38552799465876,0.703916225218874,pooled,dt_robust,withheld_LPM,189274
srmc,-0.00019671045639389,0.00022997897269861,-0.85534105177381,0.402493282411733,pooled,dt_robust,withheld_LPM,189274
dt_robust:oppTRUE,0.000194068418039748,0.000130446969386817,1.48771887113968,0.152422715002588,pooled,dt_robust,withheld_LPM,189274
dt_robust,0.00163811664637232,0.038448677343851,0.0426052795450529,0.966438673533434,pooled,dt_robust,cheap300_continuous,189274
oppTRUE,10.5181383615128,12.0761084421426,0.870987405579024,0.39409600872392,pooled,dt_robust,cheap300_continuous,189274
srmc,0.119553372294693,0.0468159451488453,2.55368917394679,0.0189259214255388,pooled,dt_robust,cheap300_continuous,189274
dt_robust:oppTRUE,-0.0796723672839977,0.0360081820073675,-2.21261843399082,0.0387189876703838,pooled,dt_robust,cheap300_continuous,189274
dt,-0.000102215534442358,0.000242058433322913,-0.422276278662018,0.677824370667135,TORRB2,dt,withheld_LPM,57677
oppTRUE,-0.0346843641159589,0.0843240496134001,-0.411322324710164,0.685692154036718,TORRB2,dt,withheld_LPM,57677
srmc,0.000107597432292007,0.000228764880398401,0.470340692612532,0.643760399557757,TORRB2,dt,withheld_LPM,57677
dt:oppTRUE,0.000206359028100531,0.000266863979121878,0.773274193016084,0.449396609731508,TORRB2,dt,withheld_LPM,57677
dt,0.00619026147444946,0.0603985671179414,0.102490204152718,0.919500753729215,TORRB2,dt,cheap300_continuous,57677
