combination,regime,non_sync_mw,syn_cons,torrens_island_b,pelican_point_gt,osborne_gt_st,quarantine_5,dry_creek,mintaro,bips,snapper_point,secure_for_island
SA_1,system_normal,2500,4,2,0,0,0,0,0,0,0,
SA_2,system_normal,2500,4,1,1,0,0,0,0,0,0,
SA_3,system_normal,2500,4,1,0,1,0,0,0,0,0,
SA_4,system_normal,2500,4,1,0,0,1,0,0,0,0,
SA_5,system_normal,2500,4,0,1,0,0,0,1,0,0,
SA_6,system_normal,2500,4,0,1,1,0,0,0,0,0,
SA_7,system_normal,2500,4,1,0,0,0,2,0,0,0,
SA_8,system_normal,2500,4,1,0,0,0,0,0,8,0,
SA_9,system_normal,2500,4,1,0,0,0,0,1,0,0,
SA_10,system_normal,2500,4,0,1,0,1,0,0,0,0,
SA_11,system_normal,2500,4,0,1,0,0,2,0,0,0,
SA_13,system_normal,2500,4,0,1,0,0,0,0,4,0,
SA_14,system_normal,2500,4,0,0,1,1,0,0,0,0,
SA_15,system_normal,2500,4,0,0,1,0,2,0,0,0,
SA_16,system_normal,2500,4,0,0,1,0,0,1,0,0,
SA_17,system_normal,2500,4,0,0,1,0,0,0,4,0,
SA_18,system_normal,2500,4,0,0,0,1,0,0,8,0,
SA_19,system_normal,2500,4,0,0,0,1,2,0,4,0,
SA_20,system_normal,2500,4,0,0,0,1,0,1,4,0,
SA_21,system_normal,2500,4,0,0,0,1,2,1,0,0,
SA_22,system_normal,2500,4,0,2,0,0,0,0,0,0,
SA_23,system_normal,2500,4,0,1,0,0,0,0,4,5,
SA_24,system_normal,2500,4,0,0,0,1,0,0,4,5,
SA_25,system_normal,2500,4,0,0,0,1,2,0,0,5,
SA_26,system_normal,2500,4,0,0,0,0,2,0,4,5,
SA_27,system_normal,2500,4,0,0,0,0,0,1,8,5,
SA_30,system_normal,1900,2,1,1,0,0,0,0,0,0,
SA_31,system_normal,2000,2,2,0,0,0,0,0,0,0,
SA_32,system_normal,1900,2,0,1,1,0,0,0,0,0,
SA_33,system_normal,1900,2,0,1,0,1,0,0,0,0,
SA_34,system_normal,1900,2,0,1,0,0,0,1,0,0,
SA_35,system_normal,2000,2,1,0,1,0,0,0,0,0,
SA_36,system_normal,2000,2,0,0,1,1,0,1,0,0,
SA_37,system_normal,1900,2,0,1,0,0,3,0,0,0,
SA_38,system_normal,2000,2,1,0,0,1,0,1,0,0,
SA_39,system_normal,1900,2,1,0,0,0,2,1,0,0,
SA_40,system_normal,2000,2,0,0,0,1,3,1,8,0,
SA_45,system_normal,1900,2,1,0,0,1,2,0,0,0,
SA_46,system_normal,1900,2,1,0,0,1,0,0,4,0,
SA_47,system_normal,1900,2,0,0,1,0,0,0,12,0,
SA_48,system_normal,1900,2,0,0,1,0,3,0,4,0,
SA_49,system_normal,1900,2,0,0,1,0,0,1,8,0,
SA_50,system_normal,1900,2,0,0,1,1,2,0,0,0,
SA_51,system_normal,1900,2,0,0,1,1,0,0,4,0,
SA_52,system_normal,1900,2,0,0,0,1,0,1,12,0,
SA_53,system_normal,1900,2,0,0,0,0,2,1,12,0,
SA_70,system_normal,1300,0,2,1,0,0,0,0,0,0,
SA_71,system_normal,1700,0,2,0,1,0,3,0,0,0,
SA_72,system_normal,1700,0,2,0,1,1,0,0,0,0,
SA_73,system_normal,1450,0,0,1,1,1,0,0,0,0,
SA_74,system_normal,1450,0,0,1,1,0,3,0,0,0,
SA_75,system_normal,1700,0,1,2,0,0,0,0,0,0,
SA_76,system_normal,1350,0,1,0,1,1,3,0,0,0,
SA_77,system_normal,1300,0,2,0,0,1,0,1,0,0,
SA_78,system_normal,1300,0,2,0,0,0,3,1,0,0,
SA_79,system_normal,1600,0,1,1,0,1,3,0,0,0,
SA_80,system_normal,1350,0,0,1,1,0,0,1,0,0,
SA_81,system_normal,1350,0,0,1,0,1,0,1,0,0,
SA_82,system_normal,1350,0,0,1,0,0,3,1,0,0,
SA_83,system_normal,1450,0,0,1,0,1,3,0,0,0,
SA_84,system_normal,1450,0,0,2,1,0,0,0,0,0,
SA_85,system_normal,1400,0,0,2,0,0,0,1,0,0,
SA_86,system_normal,1450,0,0,2,0,1,0,0,0,0,
SA_87,system_normal,1450,0,0,2,0,0,3,0,0,0,
SA_88,system_normal,1450,0,1,0,1,1,0,1,0,0,
SA_89,system_normal,1450,0,1,0,1,0,3,1,0,0,
SA_90,system_normal,1300,0,1,1,0,0,0,0,4,0,
SA_91,system_normal,1400,0,2,0,0,1,3,0,6,0,
SA_92,system_normal,1400,0,1,0,1,0,0,1,8,0,
SA_93,system_normal,1600,0,0,0,0,1,3,1,8,0,
SA_94,system_normal,1300,0,2,0,0,0,0,1,10,0,
SA_95,system_normal,1300,0,2,0,1,0,0,1,0,0,
SA_96,system_normal,1550,0,3,0,1,0,0,1,0,0,
SA_97,system_normal,1700,0,3,0,1,0,0,0,4,0,
SA_98,system_normal,1300,0,3,0,1,0,0,0,0,0,
SA_99,system_normal,1750,0,4,0,1,0,0,0,0,0,
SA_100,system_normal,1700,0,4,0,0,1,0,0,0,0,
SA_101,system_normal,1700,0,4,0,0,0,3,0,0,0,
SA_102,system_normal,1650,0,4,0,0,0,0,1,0,0,
SA_ISLE_30,risk_island_or_island,1900,2,1,0,1,0,2,1,0,,TRUE
SA_ISLE_31,risk_island_or_island,1900,2,1,1,0,0,0,0,0,,TRUE
SA_ISLE_32,risk_island_or_island,1900,2,0,1,1,0,0,0,0,,TRUE
SA_ISLE_33,risk_island_or_island,1900,2,0,1,0,1,0,0,0,,TRUE
SA_ISLE_34,risk_island_or_island,1900,2,0,1,0,0,0,1,0,,TRUE
SA_ISLE_35,risk_island_or_island,1900,2,2,0,1,0,0,0,0,,TRUE
SA_ISLE_36,risk_island_or_island,1900,2,2,0,0,1,0,1,0,,TRUE
SA_ISLE_37,risk_island_or_island,1900,2,3,0,0,0,0,0,0,,TRUE
SA_ISLE_41,risk_island_or_island,1800,2,2,0,0,0,0,0,8,,TRUE
SA_ISLE_42,risk_island_or_island,1800,2,2,0,0,0,2,0,0,,TRUE
SA_ISLE_43,risk_island_or_island,1800,2,1,0,1,0,0,0,8,,TRUE
SA_ISLE_44,risk_island_or_island,1800,2,1,0,1,0,2,0,0,,TRUE
SA_ISLE_45,risk_island_or_island,1500,2,1,0,0,1,2,0,0,,TRUE
SA_ISLE_46,risk_island_or_island,1500,2,1,0,0,1,0,0,8,,TRUE
SA_ISLE_47,risk_island_or_island,1500,2,1,0,1,1,0,0,0,,TRUE
SA_ISLE_48,risk_island_or_island,1550,2,1,0,0,0,0,1,8,,TRUE
SA_ISLE_50,risk_island_or_island,1550,2,1,0,0,0,2,1,0,,TRUE
SA_ISLE_51,risk_island_or_island,1550,2,1,0,0,1,0,1,0,,TRUE
SA_ISLE_60,risk_island_or_island,1300,0,2,1,1,0,0,0,0,,TRUE
SA_ISLE_61,risk_island_or_island,1300,0,2,2,0,0,0,0,0,,TRUE
SA_ISLE_62,risk_island_or_island,1300,0,1,2,1,0,0,0,0,,FALSE
SA_ISLE_63,risk_island_or_island,1300,0,2,1,0,1,0,0,0,,TRUE
SA_ISLE_64,risk_island_or_island,1300,0,2,0,1,1,0,0,0,,TRUE
SA_ISLE_65,risk_island_or_island,1300,0,2,1,0,0,0,1,0,,TRUE
SA_ISLE_66,risk_island_or_island,1300,0,2,0,1,0,0,1,0,,TRUE
SA_ISLE_67,risk_island_or_island,1300,0,2,1,0,0,2,0,0,,TRUE
SA_ISLE_68,risk_island_or_island,1300,0,2,0,1,0,2,0,0,,TRUE
SA_ISLE_69,risk_island_or_island,1300,0,1,2,0,1,0,0,0,,TRUE
SA_ISLE_70,risk_island_or_island,1300,0,1,0,1,1,0,1,0,,TRUE
SA_ISLE_71,risk_island_or_island,1300,0,2,0,0,1,0,1,0,,TRUE
SA_ISLE_72,risk_island_or_island,1300,0,1,0,1,1,2,0,0,,TRUE
SA_ISLE_73,risk_island_or_island,1300,0,2,0,0,1,2,0,0,,TRUE
SA_ISLE_74,risk_island_or_island,1300,0,1,1,0,1,0,1,0,,TRUE
SA_ISLE_75,risk_island_or_island,1300,0,0,2,0,1,2,0,0,,TRUE
SA_ISLE_76,risk_island_or_island,1300,0,0,2,0,1,0,1,0,,TRUE
SA_ISLE_77,risk_island_or_island,1300,0,0,2,1,1,0,0,0,,TRUE
SA_ISLE_78,risk_island_or_island,1300,0,0,1,1,1,0,1,0,,TRUE
SA_ISLE_79,risk_island_or_island,1300,0,3,0,1,0,0,0,0,,TRUE
SA_ISLE_80,risk_island_or_island,1300,0,3,1,0,0,0,0,0,,TRUE
SA_ISLE_81,risk_island_or_island,1300,0,3,0,0,1,0,0,0,,TRUE
SA_ISLE_82,risk_island_or_island,1300,0,3,0,0,0,0,1,0,,TRUE
SA_ISLE_83,risk_island_or_island,1300,0,3,0,0,0,2,0,0,,TRUE
SA_ISLE_84,risk_island_or_island,1300,0,4,0,0,0,0,0,0,,TRUE
