DUID,yyyymm,n,agreement_pct,gas_gj
OSB-AG,202201,8928,100,10.17
PPCCGT,202201,8928,95.7,10.17
TORRB2,202201,8928,99.6,10.17
TORRB3,202201,8928,94.6,10.17
TORRB4,202201,8928,96.4,10.17
OSB-AG,202202,8064,100,10.17
PPCCGT,202202,8064,98.9,10.17
TORRB2,202202,8064,96.6,10.17
TORRB3,202202,8064,93.2,10.17
TORRB4,202202,8064,98.2,10.17
OSB-AG,202203,8928,100,10.17
PPCCGT,202203,8928,97.2,10.17
TORRB2,202203,8928,100,10.17
TORRB3,202203,8928,99.7,10.17
TORRB4,202203,8928,98.7,10.17
OSB-AG,202204,8640,100,29.85
PPCCGT,202204,8640,100,29.85
TORRB2,202204,8640,91.8,29.85
TORRB3,202204,8640,94.1,29.85
TORRB4,202204,8640,94.3,29.85
OSB-AG,202205,8928,100,29.85
PPCCGT,202205,8928,98.4,29.85
TORRB2,202205,8928,82.2,29.85
TORRB3,202205,8928,100,29.85
TORRB4,202205,8928,85,29.85
OSB-AG,202206,8640,100,29.85
PPCCGT,202206,8640,94.2,29.85
TORRB2,202206,8640,56.6,29.85
TORRB3,202206,8640,58.9,29.85
TORRB4,202206,8640,93.4,29.85
OSB-AG,202207,8928,100,27.29
PPCCGT,202207,8928,88.3,27.29
TORRB2,202207,8928,59.3,27.29
TORRB3,202207,8928,55.1,27.29
TORRB4,202207,8928,81.6,27.29
OSB-AG,202208,8928,100,27.29
PPCCGT,202208,8928,100,27.29
TORRB2,202208,8928,100,27.29
TORRB3,202208,8928,96.8,27.29
TORRB4,202208,8928,94.9,27.29
OSB-AG,202209,8640,100,27.29
PPCCGT,202209,8640,100,27.29
TORRB2,202209,8640,100,27.29
TORRB3,202209,8640,99.3,27.29
TORRB4,202209,8640,96.4,27.29
OSB-AG,202210,8928,100,18.59
PPCCGT,202210,8928,94.2,18.59
TORRB2,202210,8928,97.2,18.59
TORRB3,202210,8928,96.6,18.59
TORRB4,202210,8928,99,18.59
OSB-AG,202211,8640,100,18.59
PPCCGT,202211,8640,93.5,18.59
TORRB2,202211,8640,97.1,18.59
TORRB3,202211,8640,98.4,18.59
TORRB4,202211,8640,98.9,18.59
OSB-AG,202212,8928,100,18.59
PPCCGT,202212,8928,98.8,18.59
TORRB2,202212,8928,92.4,18.59
TORRB3,202212,8928,98.5,18.59
TORRB4,202212,8928,97.9,18.59
OSB-AG,202301,8928,100,12.59
PPCCGT,202301,8928,99.3,12.59
TORRB2,202301,8928,100,12.59
TORRB3,202301,8928,100,12.59
TORRB4,202301,8928,100,12.59
OSB-AG,202302,8064,100,12.59
PPCCGT,202302,8064,98,12.59
TORRB2,202302,8064,100,12.59
TORRB3,202302,8064,100,12.59
TORRB4,202302,8064,100,12.59
OSB-AG,202303,8928,100,12.59
PPCCGT,202303,8928,99.6,12.59
TORRB2,202303,8928,100,12.59
TORRB3,202303,8928,100,12.59
TORRB4,202303,8928,100,12.59
OSB-AG,202304,8640,100,15.18
PPCCGT,202304,8640,100,15.18
TORRB2,202304,8640,100,15.18
TORRB3,202304,8640,100,15.18
TORRB4,202304,8640,100,15.18
OSB-AG,202305,8928,100,15.18
PPCCGT,202305,8928,97.2,15.18
TORRB2,202305,8928,100,15.18
TORRB3,202305,8928,100,15.18
TORRB4,202305,8928,100,15.18
OSB-AG,202306,8640,100,15.18
PPCCGT,202306,8640,98.2,15.18
TORRB2,202306,8640,100,15.18
TORRB3,202306,8640,100,15.18
TORRB4,202306,8640,100,15.18
OSB-AG,202307,8928,100,10.8
PPCCGT,202307,8928,90.5,10.8
TORRB2,202307,8928,99.7,10.8
TORRB3,202307,8928,99.7,10.8
TORRB4,202307,8928,98.1,10.8
OSB-AG,202308,8928,100,10.8
PPCCGT,202308,8928,87.7,10.8
TORRB2,202308,8928,100,10.8
TORRB3,202308,8928,99.3,10.8
TORRB4,202308,8928,99.4,10.8
OSB-AG,202309,8640,100,10.8
PPCCGT,202309,8640,93.3,10.8
TORRB2,202309,8640,100,10.8
TORRB3,202309,8640,98.5,10.8
TORRB4,202309,8640,99.6,10.8
OSB-AG,202310,8928,100,11.23
PPCCGT,202310,8928,96.5,11.23
TORRB2,202310,8928,100,11.23
TORRB3,202310,8928,100,11.23
TORRB4,202310,8928,99.8,11.23
OSB-AG,202311,8640,100,11.23
PPCCGT,202311,8640,92.5,11.23
TORRB2,202311,8640,100,11.23
TORRB3,202311,8640,99.7,11.23
TORRB4,202311,8640,97.5,11.23
OSB-AG,202312,8928,100,11.23
PPCCGT,202312,8928,94.7,11.23
TORRB2,202312,8928,99.6,11.23
TORRB3,202312,8928,100,11.23
TORRB4,202312,8928,100,11.23
OSB-AG,202401,8928,100,11.65
PPCCGT,202401,8928,99.1,11.65
TORRB2,202401,8928,100,11.65
TORRB3,202401,8928,100,11.65
TORRB4,202401,8928,100,11.65
OSB-AG,202402,8352,100,11.65
PPCCGT,202402,8352,99.1,11.65
TORRB2,202402,8352,100,11.65
TORRB3,202402,8352,100,11.65
TORRB4,202402,8352,100,11.65
OSB-AG,202403,8928,100,11.65
PPCCGT,202403,8928,99.8,11.65
TORRB2,202403,8928,100,11.65
TORRB3,202403,8928,100,11.65
TORRB4,202403,8928,100,11.65
OSB-AG,202404,8640,100,13.86
PPCCGT,202404,8640,93.4,13.86
TORRB2,202404,8640,100,13.86
TORRB3,202404,8640,100,13.86
TORRB4,202404,8640,100,13.86
OSB-AG,202405,8928,100,13.86
PPCCGT,202405,8928,97.5,13.86
TORRB2,202405,8928,100,13.86
TORRB3,202405,8928,100,13.86
TORRB4,202405,8928,100,13.86
OSB-AG,202406,8640,100,13.86
PPCCGT,202406,8640,88.8,13.86
TORRB2,202406,8640,100,13.86
TORRB3,202406,8640,100,13.86
TORRB4,202406,8640,100,13.86
OSB-AG,202407,8928,100,12.78
PPCCGT,202407,8928,88.9,12.78
TORRB2,202407,8928,100,12.78
TORRB3,202407,8928,100,12.78
TORRB4,202407,8928,100,12.78
OSB-AG,202408,8928,100,12.78
PPCCGT,202408,8928,96.8,12.78
TORRB2,202408,8928,100,12.78
TORRB3,202408,8928,100,12.78
TORRB4,202408,8928,100,12.78
OSB-AG,202409,8640,100,12.78
PPCCGT,202409,8640,99.8,12.78
TORRB2,202409,8640,100,12.78
TORRB3,202409,8640,100,12.78
TORRB4,202409,8640,100,12.78
OSB-AG,202410,8928,100,13.55
PPCCGT,202410,8928,96.3,13.55
TORRB2,202410,8928,100,13.55
TORRB3,202410,8928,100,13.55
TORRB4,202410,8928,100,13.55
OSB-AG,202411,8640,100,13.55
PPCCGT,202411,8640,94,13.55
TORRB2,202411,8640,100,13.55
TORRB3,202411,8640,100,13.55
TORRB4,202411,8640,100,13.55
OSB-AG,202412,8928,100,13.55
PPCCGT,202412,8928,98.7,13.55
TORRB2,202412,8928,100,13.55
TORRB3,202412,8928,100,13.55
TORRB4,202412,8928,100,13.55
