month,raw,inforce,merged,no_ladder,no_srmc
202201,386496,44640,44640,0,0
202202,343008,40320,40320,0,0
202203,342720,44640,44640,0,0
202204,317952,43200,43200,0,0
202205,422208,44640,44640,0,0
202206,427968,43200,43200,0,0
202207,452736,44640,44640,0,0
202208,381888,44640,44640,0,0
202209,349056,43200,43200,0,0
202210,368352,44640,44640,0,0
202211,395712,43200,43200,0,0
202212,299520,44640,44640,0,0
202301,311040,44640,44640,0,0
202302,313920,40320,40320,0,0
202303,326016,44640,44640,0,0
202304,363456,43200,43200,0,0
202305,343584,44640,44640,0,0
202306,407520,43200,43200,0,0
202307,355680,44640,44640,0,0
202308,375840,44640,44640,0,0
202309,265248,43200,43200,0,0
202310,303840,44640,44640,0,0
202311,321408,43200,43200,0,0
202312,306720,44640,44640,0,0
202401,315648,44640,44640,0,0
202402,323424,41760,41760,0,0
202403,413568,44640,44640,0,0
202404,388512,43200,43200,0,0
202405,413280,44640,44640,0,0
202406,482976,43200,43200,0,0
202407,572544,44640,44640,0,0
202408,421344,44640,44640,0,0
202409,274176,43200,43200,0,0
202410,347040,44640,44640,0,0
202411,459360,43200,43200,0,0
202412,383616,44640,44640,0,0
