month,station,max_abs_diff,n
202201,torrens_island_b,0,8928
202202,torrens_island_b,0,8064
202203,torrens_island_b,0,8928
202204,torrens_island_b,0,8640
202205,torrens_island_b,0,8928
202206,torrens_island_b,0,8640
202207,torrens_island_b,0,8928
202208,torrens_island_b,0,8928
202209,torrens_island_b,0,8640
202210,torrens_island_b,0,8928
202211,torrens_island_b,0,8640
202212,torrens_island_b,0,8928
202301,torrens_island_b,0,8928
202302,torrens_island_b,0,8064
202303,torrens_island_b,0,8928
202304,torrens_island_b,0,8640
202305,torrens_island_b,0,8928
202306,torrens_island_b,0,8640
202307,torrens_island_b,0,8928
202308,torrens_island_b,0,8928
202309,torrens_island_b,0,8640
202310,torrens_island_b,0,8928
202311,torrens_island_b,0,8640
202312,torrens_island_b,0,8928
202401,torrens_island_b,0,8928
202402,torrens_island_b,0,8352
202403,torrens_island_b,0,8928
202404,torrens_island_b,0,8640
202405,torrens_island_b,0,8928
202406,torrens_island_b,0,8640
202407,torrens_island_b,0,8928
202408,torrens_island_b,0,8928
202409,torrens_island_b,0,8640
202410,torrens_island_b,0,8928
202411,torrens_island_b,0,8640
202412,torrens_island_b,0,8928
