term,estimate,std.error,statistic,p.value,model,outcome,nobs
essentialTRUE,-0.00446133096682218,0.0227543584038402,-0.196064898321601,0.845693324641326,M1,a_fixed300,1261576
srmc,0.00553714144480563,0.00217106533432886,2.55042598546087,0.0152909967019961,M1,a_fixed300,1261576
TOTALDEMAND,0.000123709437686637,1.88063287176749e-05,6.57807483554037,1.34780242849469e-07,M1,a_fixed300,1261576
nonsync_mw,-0.00018220986727711,9.08248909372609e-06,-20.061666509787,8.88146162824391e-21,M1,a_fixed300,1261576
RRP,-8.22730791231382e-07,2.8490660903595e-06,-0.28877209764115,0.774459262825556,M1,a_fixed300,1261576
essentialTRUE,-0.00445364520125579,0.0228139039036172,-0.195216268994175,0.84635251712132,M2,a_fixed300,1261576
srmc,0.00553983569851623,0.00217039240981873,2.55245810548099,0.0152163018492648,M2,a_fixed300,1261576
TOTALDEMAND,0.000125675359506613,2.15559691772861e-05,5.83018830992944,1.29256031710219e-06,M2,a_fixed300,1261576
nonsync_mw,-0.000183019955856331,9.16121531212164e-06,-19.9776939653595,1.01685569294407e-20,M2,a_fixed300,1261576
RRP,-7.31930682143632e-07,2.91119326252244e-06,-0.251419475156878,0.802960170706659,M2,a_fixed300,1261576
slope_kernel,-0.0003024084333688,0.00067360605586086,-0.448939600138133,0.656242733658916,M2,a_fixed300,1261576
essentialTRUE,-0.0041847437800367,0.0228414498558067,-0.183208325498342,0.8556917725726,M3,a_fixed300,1261576
srmc,0.00556180401922283,0.00217218169510674,2.5604690582523,0.0149250952233553,M3,a_fixed300,1261576
TOTALDEMAND,0.000125394939989095,2.15045392545254e-05,5.83109168278073,1.28901986433961e-06,M3,a_fixed300,1261576
nonsync_mw,-0.000182129136765571,9.08123953685459e-06,-20.0555371352592,8.96948569743225e-21,M3,a_fixed300,1261576
RRP,-4.97513608841062e-07,2.89744192834981e-06,-0.171707879275569,0.864656151648143,M3,a_fixed300,1261576
slope_kernel,-4.67586824364451e-06,0.00067638516750523,-0.0069130259921147,0.994523501015262,M3,a_fixed300,1261576
saturatedTRUE,-0.0321378901120453,0.00606692587858035,-5.29722807814582,6.52273667056417e-06,M3,a_fixed300,1261576
essentialTRUE,-0.0483300973186088,0.0380667389714353,-1.26961485602628,0.212598929415595,M1,b_2xSRMC,1261576
srmc,0.0059945599061049,0.0020310288793999,2.95148925104211,0.00561224005908909,M1,b_2xSRMC,1261576
TOTALDEMAND,0.00012099820119244,1.80855417724432e-05,6.69032770568169,9.6248659408908e-08,M1,b_2xSRMC,1261576
nonsync_mw,-0.00018715936364511,1.05598836158933e-05,-17.723619923559,4.64977422655331e-19,M1,b_2xSRMC,1261576
RRP,1.71823515863285e-07,3.11777782442307e-06,0.0551108916476692,0.956363516167398,M1,b_2xSRMC,1261576
essentialTRUE,-0.0483161889168609,0.0379301239498325,-1.27382101310202,0.211121174875561,M2,b_2xSRMC,1261576
srmc,0.00599943551188473,0.00203009867933448,2.95524329578477,0.00555805281390352,M2,b_2xSRMC,1261576
TOTALDEMAND,0.000124555794803777,2.05990363390229e-05,6.04668066766883,6.70222236194639e-07,M2,b_2xSRMC,1261576
nonsync_mw,-0.000188625325274291,1.0783363566993e-05,-17.4922531455453,7.03798476771207e-19,M2,b_2xSRMC,1261576
RRP,3.36138233120614e-07,3.18200257310894e-06,0.105637322848609,0.916473233398648,M2,b_2xSRMC,1261576
slope_kernel,-0.000547247759110133,0.000666140741771072,-0.82151972517874,0.416911434521786,M2,b_2xSRMC,1261576
essentialTRUE,-0.0480156585431128,0.0377025624333569,-1.27353833384628,0.211220245428916,M3,b_2xSRMC,1261576
srmc,0.00602398780916393,0.00203193813631196,2.96465118770678,0.00542441094610536,M3,b_2xSRMC,1261576
TOTALDEMAND,0.000124242391542374,2.0536248037235e-05,6.04990703837944,6.63701063108913e-07,M3,b_2xSRMC,1261576
nonsync_mw,-0.000187629725499941,1.06751956646491e-05,-17.5762329229501,6.0518406806821e-19,M3,b_2xSRMC,1261576
RRP,5.98128111542149e-07,3.16719628661043e-06,0.188850976515344,0.85130045051354,M3,b_2xSRMC,1261576
slope_kernel,-0.000214495040034115,0.000660340959869454,-0.324824678566841,0.747247399635006,M3,b_2xSRMC,1261576
saturatedTRUE,-0.0359180404590746,0.00671913199178165,-5.34563698153376,5.6316323986045e-06,M3,b_2xSRMC,1261576
