outcome,model,weights,estimate,wcb_se,wcb_t,wcb_p,R,df
a_fixed300,M1,rademacher,-0.00446133095840371,0.0229116901727154,-0.194718544322694,0.846739188521484,999,35
a_fixed300,M1,webb,-0.00446133095840371,0.0241084920329195,-0.185052260934109,0.854256232914122,999,35
a_fixed300,M2,rademacher,-0.00445364519284217,0.0229672743470596,-0.193912657006788,0.847365346338644,999,35
a_fixed300,M2,webb,-0.00445364519284217,0.0241662074174163,-0.184292268783247,0.85484784091901,999,35
a_fixed300,M3,rademacher,-0.00418474377158715,0.0229976164645362,-0.181964238687096,0.856660600272208,999,35
a_fixed300,M3,webb,-0.00418474377158715,0.0241989263988579,-0.172930968201327,0.863701891023103,999,35
b_2xSRMC,M1,rademacher,-0.0483300973081773,0.0377115552510225,-1.28157263699346,0.208418109159757,999,35
b_2xSRMC,M1,webb,-0.0483300973081773,0.038460000892622,-1.25663276615911,0.217209082223318,999,35
b_2xSRMC,M2,rademacher,-0.0483161889064292,0.0375750789091731,-1.28585728384549,0.206935285134429,999,35
b_2xSRMC,M2,webb,-0.0483161889064292,0.0383270082306076,-1.2606303266803,0.215781555502117,999,35
b_2xSRMC,M3,rademacher,-0.0480156585326456,0.0373477918159992,-1.28563580864977,0.207011736639296,999,35
b_2xSRMC,M3,webb,-0.0480156585326456,0.0381162311106774,-1.25971684853162,0.216107135171122,999,35
