variant,outcome,estimate,std.error,p.value,nobs,n_essential_rows
baseline (all months),a_fixed300,-0.0373461740854873,0.0225205436677693,0.106190866894909,946182,12249
baseline (all months),b_2xSRMC,-0.0760465375650937,0.035526132389715,0.0393530910991554,946182,12249
drop suspension window only,a_fixed300,-0.0427925693375048,0.0242165238054468,0.0859341349321898,938409,10884
drop suspension window only,b_2xSRMC,-0.068468849594697,0.0343703596162245,0.0542076641210942,938409,10884
drop pre-suspension June only,a_fixed300,-0.0369141902299767,0.0243564494788136,0.138605392399783,933579,11292
drop pre-suspension June only,b_2xSRMC,-0.0580910864127311,0.0279106123837612,0.0447845091587711,933579,11292
drop post-suspension June only,a_fixed300,-0.0343892707727384,0.0233398991744906,0.149577692386234,940638,12249
drop post-suspension June only,b_2xSRMC,-0.0634525721078994,0.0281579832944148,0.030598925222724,940638,12249
drop all of June 2022,a_fixed300,-0.0415723340023854,0.0264676900229509,0.125517364649252,920262,9927
drop all of June 2022,b_2xSRMC,-0.0421682906461091,0.0275038593977801,0.134485634541453,920262,9927
