term,estimate,std.error,statistic,p.value,sample,outcome,nobs
essentialTRUE,0.0890873233178563,0.0485745170092825,1.83403415623941,0.0815727559222457,BASE: exclude suspension window only,a_fixed300,140259
srmc,0.00431209311352573,0.000297032539600831,14.5172415093665,4.39245546425206e-12,BASE: exclude suspension window only,a_fixed300,140259
TOTALDEMAND,9.9122487680516e-05,3.43931849564314e-05,2.88203863079509,0.0092159319633769,BASE: exclude suspension window only,a_fixed300,140259
nonsync_mw,-0.000141254788202929,1.95753928868591e-05,-7.21593630428501,5.52139761984798e-07,BASE: exclude suspension window only,a_fixed300,140259
RRP,1.48888815038699e-05,7.69647002293012e-06,1.934507827551,0.0673237175633757,BASE: exclude suspension window only,a_fixed300,140259
slope_kernel,-0.000730263625836526,0.00110785985893359,-0.659166066852056,0.517307510427234,BASE: exclude suspension window only,a_fixed300,140259
saturatedTRUE,-0.0515778342500891,0.0218266460229014,-2.36306733503496,0.028365029443884,BASE: exclude suspension window only,a_fixed300,140259
essentialTRUE:comp_price_100,-0.0512106335806355,0.0161239255959784,-3.17606486558138,0.00474847491989503,BASE: exclude suspension window only,a_fixed300,140259
essentialTRUE,0.0827264623519265,0.057820251077056,1.43075238884173,0.167940896822821,BASE: exclude suspension window only,b_2xSRMC,140259
srmc,0.00507857661343611,0.000468942072158703,10.8298591978699,8.14557163302208e-10,BASE: exclude suspension window only,b_2xSRMC,140259
TOTALDEMAND,0.000104631042412886,3.35024130061783e-05,3.1230897426281,0.00535670067972825,BASE: exclude suspension window only,b_2xSRMC,140259
nonsync_mw,-0.000170734823224852,3.62287245546296e-05,-4.71269207855769,0.000133435336570409,BASE: exclude suspension window only,b_2xSRMC,140259
RRP,1.36684117274119e-05,7.63287787025309e-06,1.7907284722425,0.0884862133399584,BASE: exclude suspension window only,b_2xSRMC,140259
slope_kernel,-0.000785653007679972,0.00113735486036958,-0.690772102055008,0.497648350721146,BASE: exclude suspension window only,b_2xSRMC,140259
saturatedTRUE,-0.0510764352606556,0.0207644649563768,-2.45980021002033,0.0231312114397922,BASE: exclude suspension window only,b_2xSRMC,140259
essentialTRUE:comp_price_100,-0.055351221092399,0.0186083796962501,-2.97453201170186,0.00749296076821581,BASE: exclude suspension window only,b_2xSRMC,140259
essentialTRUE,0.0885159379066987,0.0500899884693097,1.76713831669042,0.093264091794532,(i) exclude all June 2022,a_fixed300,134636
srmc,0.0250933459149927,0.00536495085294899,4.67727414524207,0.000164130629012242,(i) exclude all June 2022,a_fixed300,134636
TOTALDEMAND,0.000100482764002751,3.52538655722522e-05,2.85026230093302,0.0102363862152138,(i) exclude all June 2022,a_fixed300,134636
nonsync_mw,-0.000139940787354226,2.06684784014007e-05,-6.77073486671096,1.81717188419375e-06,(i) exclude all June 2022,a_fixed300,134636
RRP,1.86388416685393e-05,8.53662397931716e-06,2.18339729074376,0.0417536942320761,(i) exclude all June 2022,a_fixed300,134636
slope_kernel,-0.000753630528723352,0.0011208368519784,-0.6723820040295,0.509435550438544,(i) exclude all June 2022,a_fixed300,134636
saturatedTRUE,-0.0577663091701814,0.0232435022712909,-2.48526700046968,0.0224255614061287,(i) exclude all June 2022,a_fixed300,134636
essentialTRUE:comp_price_100,-0.0511800271199339,0.0163492059488489,-3.13042891991566,0.00550820478094381,(i) exclude all June 2022,a_fixed300,134636
essentialTRUE,0.102762851212387,0.0470004622361668,2.18642213976592,0.0415004865573942,(i) exclude all June 2022,b_2xSRMC,134636
srmc,0.0338749169202593,0.00524888864004549,6.45373130262595,3.47271703702668e-06,(i) exclude all June 2022,b_2xSRMC,134636
TOTALDEMAND,9.69566423607042e-05,3.39913014988896e-05,2.85239570376179,0.0101887072052135,(i) exclude all June 2022,b_2xSRMC,134636
nonsync_mw,-0.000140963678448859,1.91642888175391e-05,-7.35553924233547,5.70060063097291e-07,(i) exclude all June 2022,b_2xSRMC,134636
RRP,1.75268812519803e-05,8.39064687667904e-06,2.08885935847145,0.0504134116804245,(i) exclude all June 2022,b_2xSRMC,134636
slope_kernel,-0.00064450377147902,0.00111424853952908,-0.578420117787555,0.569773975776277,(i) exclude all June 2022,b_2xSRMC,134636
saturatedTRUE,-0.0521829059687035,0.0231036287362711,-2.25864545194928,0.0358570768868567,(i) exclude all June 2022,b_2xSRMC,134636
essentialTRUE:comp_price_100,-0.0581460582345121,0.0156487053962423,-3.71571045413601,0.00146627495178642,(i) exclude all June 2022,b_2xSRMC,134636
essentialTRUE,0.0801875552362049,0.0516301636647575,1.55311448859382,0.136077457932862,(ii) include window at APC $300,a_fixed300,144358
comp_price_100,-0.0293162151878722,0.0113829084328902,-2.57545910702091,0.0180591631798644,(ii) include window at APC $300,a_fixed300,144358
srmc,0.00506878110040751,0.000257397748297363,19.6924065339986,1.45154574909004e-14,(ii) include window at APC $300,a_fixed300,144358
TOTALDEMAND,9.73930750236318e-05,3.40892977462893e-05,2.85699857323207,0.00974423078373858,(ii) include window at APC $300,a_fixed300,144358
nonsync_mw,-0.000139014409904764,1.87002163713585e-05,-7.43383964891875,3.5540289747601e-07,(ii) include window at APC $300,a_fixed300,144358
RRP,1.47840372820386e-05,7.69662259814264e-06,1.92084737084631,0.0691220824560111,(ii) include window at APC $300,a_fixed300,144358
slope_kernel,-0.000747937768118856,0.0010967324981701,-0.681969185163012,0.503080492403546,(ii) include window at APC $300,a_fixed300,144358
