episode_id,duid,mean_mw,median_mw,min_mw,n_intervals,instruction,floor_mw,maxavail_at_issue,declared_minload,excess_over_floor
314,OSB-AG,49.3078201282051,0,0,78,Synchronise,145,0,,-95.6921798717949
315,OSB-AG,162.247575757576,145,145,66,Remain,145,0,,17.2475757575758
316,OSB-AG,74.7688718796993,42,0,133,Remain,145,0,,-70.2311281203008
317,OSB-AG,180.947368421053,181,180,19,Remain,145,182,,35.9473684210526
318,OSB-AG,0,0,0,7,Remain,0,0,,0
319,OSB-AG,0,0,0,27,Remain,144,0,,-144
320,OSB-AG,39.9325573417721,0,0,79,Remain,146,0,,-106.067442658228
321,OSB-AG,0,0,0,28,Remain,145,0,,-145
322,OSB-AG,43.6592347435898,0,0,78,Remain,145,0,,-101.34076525641
323,OSB-AG,165.170684794521,182,141,73,Remain,141,187,,24.1706847945205
324,OSB-AG,106.984958448753,145,0,361,Synchronise,141,0,,-34.0150415512465
325,OSB-AG,185.355555555556,185,183,90,Synchronise,139,0,,46.3555555555556
326,OSB-AG,157.96604890411,145,145,73,Remain,145,0,,12.9660489041096
327,OSB-AG,152.273923924051,145,144,79,Synchronise,142,0,,10.2739239240506
328,OSB-AG,149.846537719298,145,142,228,Remain,145,0,,4.84653771929828
329,OSB-AG,139.101789308073,145,0,607,Synchronise,145,145,,-5.89821069192752
330,OSB-AG,81.5179536708861,0,0,79,Remain,144,0,,-62.4820463291139
331,OSB-AG,145.393442622951,145,145,61,Synchronise,145,0,,0.393442622950829
332,OSB-AG,0,0,0,31,Remain,145,0,,-145
333,OSB-AG,0,0,0,67,Synchronise,145,0,,-145
334,OSB-AG,164.931976222222,146,144,90,Synchronise,144,0,,20.9319762222222
335,OSB-AG,153.118524466019,144,143,103,Remain,143,0,,10.1185244660194
336,OSB-AG,160.030617889908,150,142,109,Remain,143,0,,17.0306178899083
337,OSB-AG,119.427096724566,145,0,403,Synchronise,140,0,,-20.5729032754342
338,OSB-AG,157.672314722222,146.164995,138,108,Synchronise,139,0,,18.6723147222222
339,OSB-AG,152.746961898734,141,138,79,Synchronise,139,0,,13.7469618987342
340,OSB-AG,163.771649493671,174,145,79,Remain,145,0,,18.7716494936709
341,OSB-AG,147.044999817708,145,141,384,Remain,0,145,,147.044999817708
514,PPCCGT,84.8975231140351,0,0,228,Synchronise,0,175,,84.8975231140351
515,PPCCGT,95.5032164285714,0,0,84,Remain,0,0,,95.5032164285714
516,PPCCGT,0,0,0,55,Remain,0,0,,0
517,PPCCGT,148.294381654135,167,0,133,Synchronise,167,242,,-18.7056183458646
518,PPCCGT,249.178826666667,354,0,84,Remain,354,492,,-104.821173333333
519,PPCCGT,0,0,0,42,Remain,0,0,,0
520,PPCCGT,74.8067732786885,0,0,61,Remain,0,0,,74.8067732786885
521,PPCCGT,433.872614,420.74612,405,25,Remain,361,500,,72.8726140000001
522,PPCCGT,390.918190103093,372.99311,346,97,Remain,351,487,,39.9181901030928
523,PPCCGT,125.601814875,170,0,240,Remain,0,170,,125.601814875
524,PPCCGT,0,0,0,24,Remain,0,0,,0
525,PPCCGT,0,0,0,18,Remain,0,0,,0
526,PPCCGT,77.0232877419355,0,0,217,Synchronise,170,170,,-92.9767122580645
527,PPCCGT,261.48903056872,170,162,211,Synchronise,170,232,,91.4890305687203
528,PPCCGT,197.243949367089,173,165,79,Remain,167,242,,30.2439493670886
529,PPCCGT,11.3717948717949,0,0,78,Remain,0,0,,11.3717948717949
530,PPCCGT,173.18372,173,173,3,Remain,170,245,,3.18371999999999
531,PPCCGT,394.833333333333,394,394,6,Remain,352,489,,42.8333333333333
532,PPCCGT,0,0,0,7,Remain,0,0,,0
533,PPCCGT,58.9713048181818,0,0,110,Remain,125,245,,-66.0286951818182
534,PPCCGT,56.392552244898,70,0,49,Remain,0,0,,56.392552244898
535,PPCCGT,182.841802777778,196,0,18,Remain,170,245,,12.8418027777778
536,PPCCGT,0,0,0,15,Remain,0,0,,0
537,PPCCGT,88.9479632777778,42,42,180,Remain,0,42,,88.9479632777778
538,PPCCGT,50.5281120707965,42,42,565,Remain,0,42,,50.5281120707965
539,PPCCGT,90.42977171875,86.496105,42,192,Remain,0,42,,90.42977171875
540,PPCCGT,109.610177480315,90,42,127,Remain,60,240,,49.610177480315
541,PPCCGT,163.681248508772,150,60,114,Remain,60,240,,103.681248508772
542,PPCCGT,108.571744246575,100.34605,42,73,Remain,60,236,,48.5717442465753
696,TORRB2,0,0,0,97,Remain,0,0,,0
697,TORRB2,29.6831168831169,40,0,385,Synchronise,0,40,,29.6831168831169
698,TORRB2,61.5656416521739,60,40,115,Synchronise,60,200,,1.56564165217392
699,TORRB2,37.0457774269929,40,0,1267,Synchronise,0,40,,37.0457774269929
700,TORRB2,0,0,0,96,Synchronise,60,0,,-60
701,TORRB2,0,0,0,85,Synchronise,60,0,,-60
702,TORRB2,11.9102564102564,0,0,156,Synchronise,60,0,,-48.0897435897436
703,TORRB2,59.945145462963,60,50,108,Synchronise,60,200,,-0.0548545370370377
704,TORRB2,12.8971428571429,0,0,175,Remain,0,40,,12.8971428571429
705,TORRB2,56.3383512401056,40,40,379,Synchronise,0,40,,56.3383512401056
706,TORRB2,89.4777676282051,60,40,156,Remain,40,200,,49.4777676282051
707,TORRB2,85.8662288741722,80,40,151,Remain,40,200,,45.8662288741722
708,TORRB2,90,90,90,3,Synchronise,60,200,,30
709,TORRB2,61.2434506666667,60,60,45,Synchronise,60,0,,1.24345066666667
710,TORRB2,0,0,0,109,Remain,40,0,,-40
711,TORRB2,0,0,0,79,Synchronise,60,0,,-60
712,TORRB2,0,0,0,48,Synchronise,40,0,,-40
713,TORRB2,0,0,0,48,Synchronise,40,0,,-40
714,TORRB2,68.565254047619,60,50,168,Remain,0,50,,68.565254047619
715,TORRB2,80.28226,60,40,151,Remain,50,200,,30.28226
716,TORRB2,41.0474173770492,40,40,61,Synchronise,60,190,,-18.9525826229508
717,TORRB2,66.604560794702,40,40,151,Synchronise,40,190,,26.604560794702
718,TORRB2,5.59712230215827,0,0,139,Synchronise,40,0,,-34.4028776978417
719,TORRB2,18.8375,0,0,160,Synchronise,0,40,,18.8375
720,TORRB2,73.1882984803922,60,40,204,Synchronise,0,40,,73.1882984803922
721,TORRB2,20.0439024390244,19,0,205,Remain,0,40,,20.0439024390244
722,TORRB2,181.385416666667,190,100,96,Remain,200,190,,-18.6145833333333
