episode_id,duid,n_versions,class,class_any_cut,first_exit_rel_h,first_cut_rel_h,reversed,survivor
337,OSB-AG,23,signal then direction,signal then direction,-30.5138888888889,32.0436111111111,FALSE,TRUE
524,PPCCGT,8,signal then direction,signal then direction,-33.6522222222222,,FALSE,TRUE
525,PPCCGT,9,signal then direction,signal then direction,-46.94,,FALSE,TRUE
526,PPCCGT,10,signal then direction,signal then direction,-40.0338888888889,-21.1516666666667,FALSE,FALSE
532,PPCCGT,4,no exit signal ever,no exit signal ever,,,FALSE,TRUE
533,PPCCGT,5,signal then direction,signal then direction,-45.9377777777778,-15.2366666666667,FALSE,FALSE
536,PPCCGT,12,signal then direction,signal then direction,-34.0297222222222,-5.26083333333333,FALSE,TRUE
812,TORRB2,5,signal then direction,signal then direction,-9.87805555555556,,FALSE,FALSE
817,TORRB2,5,signal then direction,signal then direction,-18.4680555555556,,FALSE,TRUE
818,TORRB2,15,signal then direction,signal then direction,-19.9033333333333,-12.6275,FALSE,FALSE
820,TORRB2,5,signal then direction,signal then direction,-10.055,,FALSE,FALSE
821,TORRB2,6,signal then direction,signal then direction,-18.6113888888889,,FALSE,FALSE
822,TORRB2,1,signal then direction,signal then direction,-9.81,,FALSE,TRUE
827,TORRB2,11,signal then direction,signal then direction,-12.6516666666667,,FALSE,FALSE
829,TORRB2,5,signal then direction,signal then direction,-17.2777777777778,-11.9027777777778,FALSE,TRUE
835,TORRB2,7,signal then direction,signal then direction,-12.4777777777778,,FALSE,TRUE
840,TORRB2,14,signal then direction,signal then direction,-13.8925,13.065,FALSE,TRUE
841,TORRB2,13,signal then direction,signal then direction,-31.2813888888889,-12.2041666666667,FALSE,TRUE
842,TORRB2,13,signal then direction,signal then direction,-14.7066666666667,12.3186111111111,FALSE,TRUE
843,TORRB2,4,no exit signal ever,no exit signal ever,,,FALSE,TRUE
844,TORRB2,7,signal then direction,signal then direction,-40.17,,FALSE,TRUE
845,TORRB2,4,signal then direction,signal then direction,-9.51888888888889,,FALSE,TRUE
846,TORRB2,3,signal then direction,signal then direction,-9.77611111111111,,FALSE,TRUE
849,TORRB2,3,signal then direction,signal then direction,-9.72666666666667,,FALSE,TRUE
854,TORRB2,7,signal then direction,signal then direction,-15.39,,FALSE,TRUE
855,TORRB2,6,signal then direction,signal then direction,-13.4730555555556,,FALSE,TRUE
858,TORRB2,10,signal then direction,signal then direction,-39.5027777777778,,FALSE,FALSE
860,TORRB2,6,signal then direction,signal then direction,-14.2663888888889,,FALSE,TRUE
872,TORRB2,4,signal then direction,signal then direction,-16.9475,,FALSE,FALSE
876,TORRB2,5,signal then direction,signal then direction,-9.92305555555556,13.0616666666667,FALSE,TRUE
880,TORRB2,8,signal then direction,signal then direction,-11.1633333333333,-11.1633333333333,TRUE,FALSE
881,TORRB2,7,signal then direction,signal then direction,-32.6769444444444,,FALSE,FALSE
882,TORRB2,9,signal then direction,signal then direction,-14.6666666666667,,FALSE,FALSE
1134,TORRB3,3,signal then direction,signal then direction,-17.8955555555556,,FALSE,TRUE
1138,TORRB3,5,signal then direction,signal then direction,-9.8875,,FALSE,FALSE
1139,TORRB3,8,signal then direction,signal then direction,-9.95833333333333,,FALSE,FALSE
1143,TORRB3,7,signal then direction,signal then direction,-19.1008333333333,,FALSE,FALSE
