episode_id,dir_unit_prior_1d,dir_unit_prior_3d,dir_unit_prior_7d,dir_station_prior_7d,pre24_short_share,pre24_shortn1_share,pre24_piv_share,pre24_pivn1_share,lobe_zero,survivor
334,0,0,0,0,0,0.888888888888889,0,0.888888888888889,FALSE,
335,1,1,1,1,0,0.368055555555556,0.0972222222222222,0.625,FALSE,
336,1,2,2,2,0,0,0,0.361111111111111,FALSE,
337,0,0,0,0,0,0.809027777777778,0,0.809027777777778,TRUE,TRUE
338,0,1,1,1,0,0.190972222222222,0,0.854166666666667,FALSE,
339,0,1,2,2,0,0.347222222222222,0.03125,0.690972222222222,FALSE,
340,1,2,3,3,0,0.458333333333333,0,0.75,FALSE,
341,1,2,4,4,0,0.267361111111111,0,0.548611111111111,FALSE,
523,0,0,1,1,0,0.600694444444445,0.572916666666667,0.920138888888889,FALSE,
524,0,0,0,0,0,0.885416666666667,0.600694444444445,0.885416666666667,TRUE,TRUE
525,0,0,0,0,0,0.479166666666667,0.131944444444444,0.545138888888889,TRUE,TRUE
526,0,0,0,0,0,0.909722222222222,0.409722222222222,0.927083333333333,TRUE,FALSE
527,0,1,1,1,0,0.996527777777778,0.208333333333333,1,FALSE,
528,0,1,2,2,0,0.722222222222222,0.722222222222222,0.979166666666667,FALSE,
529,0,1,3,3,0,0.190972222222222,0.190972222222222,0.190972222222222,FALSE,
530,0,0,1,1,0,0.510416666666667,0.256944444444444,0.517361111111111,FALSE,
531,0,1,1,1,0,0.319444444444444,0.0798611111111111,0.947916666666667,FALSE,
532,0,0,0,0,0,0.642361111111111,0.0902777777777778,0.645833333333333,TRUE,TRUE
533,0,0,0,0,0,0.559027777777778,0.09375,0.5625,TRUE,FALSE
534,0,0,0,0,0,0.732638888888889,0.440972222222222,0.739583333333333,FALSE,
535,0,0,0,0,0,0.6875,0.486111111111111,0.694444444444445,FALSE,
536,0,1,1,1,0,0.444444444444444,0.09375,0.840277777777778,TRUE,TRUE
537,0,0,0,0,0,0.958333333333333,0.503472222222222,1,FALSE,
538,1,1,1,1,0,0.822916666666667,0.822916666666667,0.822916666666667,FALSE,
539,0,1,2,2,0,1,1,1,FALSE,
540,0,1,3,3,0,1,1,1,FALSE,
541,0,2,4,4,0,1,1,1,FALSE,
542,1,2,5,5,0,1,1,1,FALSE,
811,0,0,0,6,0,0,0.364583333333333,0.815972222222222,FALSE,
812,0,0,1,4,0,0.59375,0.59375,0.861111111111111,TRUE,FALSE
813,1,1,2,5,0,0.423611111111111,0.423611111111111,0.913194444444444,FALSE,
814,0,2,3,5,0,0.381944444444444,0.381944444444444,0.784722222222222,FALSE,
815,0,2,3,4,0,0.326388888888889,0.326388888888889,0.663194444444445,FALSE,
816,0,2,4,7,0,0.701388888888889,0.701388888888889,1,FALSE,
817,1,2,5,8,0,0.795138888888889,0.795138888888889,1,TRUE,TRUE
818,0,0,0,3,0,0.173611111111111,0.170138888888889,0.395833333333333,TRUE,FALSE
819,0,0,1,1,0,0.5,0.496527777777778,0.965277777777778,FALSE,
820,0,1,2,2,0,0.621527777777778,0.621527777777778,0.684027777777778,TRUE,FALSE
821,1,2,3,3,0,0.40625,0.40625,0.670138888888889,TRUE,FALSE
822,1,2,3,3,0,0.472222222222222,0.472222222222222,0.989583333333333,TRUE,TRUE
823,0,0,0,2,0,0.569444444444445,0.569444444444445,0.711805555555556,FALSE,
824,0,0,0,1,0,0.6875,0.649305555555556,0.760416666666667,FALSE,
825,0,0,1,5,0,0.5,0.381944444444444,0.892361111111111,FALSE,
826,0,0,1,4,0,0.944444444444444,0.90625,0.996527777777778,FALSE,
827,0,1,1,3,0,0.784722222222222,0.784722222222222,0.788194444444445,TRUE,FALSE
828,1,2,2,3,0,0.40625,0.399305555555556,0.493055555555556,FALSE,
829,0,2,3,4,0,0.493055555555556,0.493055555555556,0.579861111111111,TRUE,TRUE
830,0,0,3,5,0,0.871527777777778,0.59375,0.916666666666667,FALSE,
831,0,1,2,4,0,0.677083333333333,0.677083333333333,0.788194444444445,FALSE,
832,0,1,2,4,0,0,0.0763888888888889,0.503472222222222,FALSE,
833,0,0,0,1,0,0.833333333333333,0.770833333333333,0.993055555555556,FALSE,
834,1,1,1,2,0,0.486111111111111,0.486111111111111,0.666666666666667,FALSE,
835,0,0,2,4,0,0.996527777777778,0.993055555555556,0.996527777777778,TRUE,TRUE
836,0,1,3,4,0,0.791666666666667,0.638888888888889,1,FALSE,
837,0,0,2,3,0,0.753472222222222,0.427083333333333,0.836805555555556,FALSE,
838,0,0,0,0,0,0.295138888888889,0,0.295138888888889,FALSE,
839,0,1,1,1,0.0104166666666667,0.854166666666667,0.694444444444445,0.871527777777778,FALSE,
840,1,2,2,2,0.114583333333333,0.454861111111111,0.215277777777778,0.746527777777778,TRUE,TRUE
841,0,2,3,5,0,0.319444444444444,0.3125,0.857638888888889,TRUE,TRUE
842,1,3,4,6,0,0.583333333333333,0.416666666666667,0.770833333333333,TRUE,TRUE
843,0,0,0,0,0,0,0.21875,0.274305555555556,TRUE,TRUE
844,1,1,1,3,0,0.256944444444444,0.256944444444444,0.583333333333333,TRUE,TRUE
845,1,2,2,5,0,0.430555555555556,0.430555555555556,1,TRUE,TRUE
846,1,3,3,7,0,0.659722222222222,0.618055555555556,0.756944444444445,TRUE,TRUE
847,0,2,4,8,0,0.291666666666667,0.291666666666667,0.645833333333333,FALSE,
848,1,3,5,10,0,0.177083333333333,0.177083333333333,0.232638888888889,FALSE,
849,0,2,6,13,0,0.475694444444445,0.475694444444445,0.583333333333333,TRUE,TRUE
850,0,1,4,8,0,0,0,0.256944444444444,FALSE,
851,1,2,5,9,0,0.215277777777778,0.21875,0.315972222222222,FALSE,
852,0,0,2,5,0,0.284722222222222,0.305555555555556,0.496527777777778,FALSE,
853,0,1,3,6,0,0.288194444444444,0.152777777777778,0.621527777777778,FALSE,
854,1,2,2,5,0,0.451388888888889,0.197916666666667,0.59375,TRUE,TRUE
855,0,2,3,7,0.00694444444444444,0.600694444444445,0.326388888888889,0.802083333333333,TRUE,TRUE
856,0,0,2,3,0,0.180555555555556,0.170138888888889,0.34375,FALSE,
857,1,1,3,4,0,0.253472222222222,0.246527777777778,0.357638888888889,FALSE,
858,0,0,2,2,0,0,0,0.263888888888889,TRUE,FALSE
859,1,1,3,3,0,0.0381944444444444,0.253472222222222,0.368055555555556,FALSE,
860,0,0,0,1,0,0,0,0.25,TRUE,TRUE
861,0,0,0,0,0,0.138888888888889,0.138888888888889,0.163194444444444,FALSE,
862,0,0,1,1,0,0.0972222222222222,0.0972222222222222,0.201388888888889,FALSE,
863,1,1,2,2,0,0.576388888888889,0.576388888888889,0.659722222222222,FALSE,
864,0,2,3,4,0,0.576388888888889,0.576388888888889,0.756944444444445,FALSE,
865,0,0,0,2,0,0,0,0,FALSE,
866,1,1,1,4,0,0.232638888888889,0.232638888888889,0.385416666666667,FALSE,
867,0,0,2,3,0,0.25,0.25,0.368055555555556,FALSE,
868,0,0,1,3,0,0.253472222222222,0.253472222222222,0.545138888888889,FALSE,
869,0,1,2,5,0,0.618055555555556,0.618055555555556,0.892361111111111,FALSE,
870,0,1,2,4,0,0,0,0,FALSE,
871,0,0,2,8,0,0.0555555555555556,0.0555555555555556,0.274305555555556,FALSE,
872,0,0,2,7,0,1,1,1,TRUE,FALSE
873,1,1,2,5,0,0.652777777777778,0.652777777777778,0.666666666666667,FALSE,
874,0,0,0,5,0,0.461805555555556,0.579861111111111,0.59375,FALSE,
875,1,1,1,7,0,0.277777777777778,0.329861111111111,0.399305555555556,FALSE,
876,0,0,2,6,0,0.694444444444445,0.694444444444445,0.989583333333333,TRUE,TRUE
877,0,1,1,3,0,0.277777777777778,0.277777777777778,0.729166666666667,FALSE,
878,0,1,2,5,0,0.524305555555556,0.524305555555556,0.996527777777778,FALSE,
879,0,2,3,6,0,0.538194444444445,0.524305555555556,0.958333333333333,FALSE,
880,0,1,4,6,0,0.996527777777778,0.809027777777778,1,TRUE,FALSE
881,0,1,4,6,0,0.565972222222222,0.565972222222222,0.680555555555556,TRUE,FALSE
882,1,2,5,7,0,0.260416666666667,0.260416666666667,0.385416666666667,TRUE,FALSE
