term,estimate,std.error,statistic,p.value,nobs,model
ess_n1TRUE,45.29964377146,265.318181725074,0.17073705042348,0.865576862933178,650,no loss control
dem,-0.70975959664984,0.907577265859561,-0.782037654918153,0.440321520243115,650,no loss control
ns,0.509928829931575,0.311860987293152,1.63511580707027,0.11247588834281,650,no loss control
rrp,0.0311874419679187,0.102096700713779,0.305469635648173,0.76211804253573,650,no loss control
slope_mean,190.968378496133,115.980125538586,1.64656123287777,0.110085758517214,650,no loss control
sat_share,-916.250882171059,1093.1791972866,-0.838152504589641,0.408573539606727,650,no loss control
ess_n1TRUE,42.1976754484575,275.470591740536,0.153183957611719,0.879278937896027,648,with loss control
exp_loss,-0.00507484519618065,0.0661774333586469,-0.0766854339707867,0.939382942734973,648,with loss control
dem,-0.708223868029424,0.9136979587859,-0.775118146231272,0.444336965853687,648,with loss control
ns,0.512339402423058,0.3198452640876,1.60183519954429,0.119670928605163,648,with loss control
rrp,0.0324936654006311,0.0843913287042032,0.385035594291013,0.702927434870257,648,with loss control
slope_mean,191.252506002667,116.271448547425,1.64487936111555,0.110434317144123,648,with loss control
sat_share,-920.990963913284,1104.66399356823,-0.83372950442455,0.411022810443497,648,with loss control
ess_n1TRUE:exp_loss,0.0786342636207589,1.58038819159337,0.0497562966105679,0.960646394763347,648,with loss control
n1onlyTRUE,77.5214242942659,287.383879586956,0.269748687385263,0.789200467461169,650,three-tier
ess_pexTRUE,-256.042122648159,187.625868415554,-1.36464190577963,0.18251472593628,650,three-tier
dem,-0.728248267049866,0.901436091447765,-0.80787564860006,0.42552200062122,650,three-tier
ns,0.526941387108902,0.315016478676113,1.67274229374737,0.10477666288369,650,three-tier
rrp,0.0349751921076546,0.101887230532814,0.343273557684842,0.733786705946915,650,three-tier
slope_mean,193.193109072769,115.365876447213,1.67461224256521,0.104405776456543,650,three-tier
sat_share,-925.766333522295,1088.1855364701,-0.850743097105783,0.401651538726774,650,three-tier
