DUID,yr,hh,mw_le300,avail
PPCCGT,2022,0,203.2,226.7
PPCCGT,2022,1,206.9,228.5
PPCCGT,2022,2,206.4,227.1
PPCCGT,2022,3,189.1,212.1
PPCCGT,2022,4,148.5,172
PPCCGT,2022,5,118.7,141.5
PPCCGT,2022,6,99.2,120.8
PPCCGT,2022,7,95.5,116.5
PPCCGT,2022,8,95.1,117.7
PPCCGT,2022,9,97.3,120.9
PPCCGT,2022,10,102.1,125.3
PPCCGT,2022,11,119.3,141.7
PPCCGT,2022,12,177.4,201.1
PPCCGT,2022,13,229.6,255.5
PPCCGT,2022,14,251.9,278.2
PPCCGT,2022,15,258.3,284.5
PPCCGT,2022,16,260.1,286.2
PPCCGT,2022,17,260,286
PPCCGT,2022,18,255.6,282.3
PPCCGT,2022,19,249.5,275.6
PPCCGT,2022,20,235,259.8
PPCCGT,2022,21,214.9,238.6
PPCCGT,2022,22,209.6,232.9
PPCCGT,2022,23,208,231.5
TORRB2,2022,0,16.8,59.7
TORRB2,2022,1,19,59.3
TORRB2,2022,2,21.7,58.5
TORRB2,2022,3,24.3,58.5
TORRB2,2022,4,23,58.4
TORRB2,2022,5,21.3,59.9
TORRB2,2022,6,19.1,60.2
TORRB2,2022,7,17.9,59.5
TORRB2,2022,8,17.9,60.9
TORRB2,2022,9,18.1,61.9
TORRB2,2022,10,19.9,64
TORRB2,2022,11,24.2,67.5
TORRB2,2022,12,34.4,72.6
TORRB2,2022,13,38.9,73.7
TORRB2,2022,14,41.2,73.7
TORRB2,2022,15,40.8,73.7
TORRB2,2022,16,37,73.7
TORRB2,2022,17,33.3,73.1
TORRB2,2022,18,29.3,70.3
TORRB2,2022,19,27.2,68.4
TORRB2,2022,20,25.4,64.1
TORRB2,2022,21,20.5,58.5
TORRB2,2022,22,17.2,57.1
TORRB2,2022,23,16.9,56.8
TORRB3,2022,0,25.4,86.3
TORRB3,2022,1,31.4,87.3
TORRB3,2022,2,37,87
TORRB3,2022,3,37.8,86.8
