DUID,yr,hh,pct_avail
TORRB2,2022,0,41.4
TORRB2,2022,1,41.4
TORRB2,2022,2,41.8
TORRB2,2022,3,42.5
TORRB2,2022,4,43.7
TORRB2,2022,5,46.6
TORRB2,2022,6,47.3
TORRB2,2022,7,47.5
TORRB2,2022,8,48.5
TORRB2,2022,9,48.5
TORRB2,2022,10,48.5
TORRB2,2022,11,47.8
TORRB2,2022,12,45.2
TORRB2,2022,13,43.6
TORRB2,2022,14,42.7
TORRB2,2022,15,42.7
TORRB2,2022,16,42.7
TORRB2,2022,17,42.5
TORRB2,2022,18,41.1
TORRB2,2022,19,40.1
TORRB2,2022,20,37.9
TORRB2,2022,21,35.1
TORRB2,2022,22,34.4
TORRB2,2022,23,34.2
TORRB3,2022,0,62.7
TORRB3,2022,1,63
TORRB3,2022,2,63
TORRB3,2022,3,63.9
TORRB3,2022,4,67.2
TORRB3,2022,5,68.6
TORRB3,2022,6,70
TORRB3,2022,7,70.2
TORRB3,2022,8,70.8
TORRB3,2022,9,71.5
TORRB3,2022,10,70.7
TORRB3,2022,11,67.8
TORRB3,2022,12,65.3
TORRB3,2022,13,62.6
TORRB3,2022,14,61.8
TORRB3,2022,15,61.8
TORRB3,2022,16,61.9
TORRB3,2022,17,61.8
TORRB3,2022,18,59.7
TORRB3,2022,19,58.1
TORRB3,2022,20,55.2
TORRB3,2022,21,51.9
TORRB3,2022,22,50.8
TORRB3,2022,23,50.7
TORRB4,2022,0,48.5
TORRB4,2022,1,49.3
TORRB4,2022,2,49.9
TORRB4,2022,3,51.3
TORRB4,2022,4,55.8
TORRB4,2022,5,58.8
TORRB4,2022,6,60.1
TORRB4,2022,7,60.5
TORRB4,2022,8,60.4
TORRB4,2022,9,60.8
TORRB4,2022,10,60.9
TORRB4,2022,11,57.8
TORRB4,2022,12,53
TORRB4,2022,13,50.6
TORRB4,2022,14,50.1
TORRB4,2022,15,50.1
TORRB4,2022,16,50.1
TORRB4,2022,17,49.6
TORRB4,2022,18,48.5
TORRB4,2022,19,46.7
TORRB4,2022,20,44.1
TORRB4,2022,21,41.9
TORRB4,2022,22,41.6
TORRB4,2022,23,41.6
TORRB2,2023,0,24.1
TORRB2,2023,1,24.1
TORRB2,2023,2,24.6
TORRB2,2023,3,26
TORRB2,2023,4,29.5
TORRB2,2023,5,31
TORRB2,2023,6,31
