cal_day,TORRB2,TORRB3,TORRB4,n_av,cfg,cfg_prev
2022-01-01,TRUE,TRUE,FALSE,2,110,
2022-01-02,TRUE,TRUE,FALSE,2,110,110
2022-01-03,FALSE,TRUE,TRUE,2,011,110
2022-01-04,FALSE,TRUE,TRUE,2,011,011
2022-01-05,FALSE,TRUE,TRUE,2,011,011
2022-01-06,FALSE,TRUE,TRUE,2,011,011
2022-01-07,FALSE,TRUE,TRUE,2,011,011
2022-01-08,FALSE,TRUE,TRUE,2,011,011
2022-01-09,FALSE,TRUE,TRUE,2,011,011
2022-01-10,FALSE,TRUE,TRUE,2,011,011
2022-01-11,TRUE,TRUE,TRUE,3,111,011
2022-01-12,TRUE,TRUE,TRUE,3,111,111
2022-01-13,FALSE,TRUE,FALSE,1,010,111
2022-01-14,FALSE,TRUE,FALSE,1,010,010
2022-01-15,FALSE,TRUE,TRUE,2,011,010
2022-01-16,FALSE,TRUE,TRUE,2,011,011
2022-01-17,FALSE,TRUE,TRUE,2,011,011
2022-01-18,FALSE,TRUE,TRUE,2,011,011
2022-01-19,FALSE,TRUE,TRUE,2,011,011
2022-01-20,FALSE,TRUE,TRUE,2,011,011
2022-01-21,FALSE,TRUE,TRUE,2,011,011
2022-01-22,FALSE,TRUE,TRUE,2,011,011
2022-01-23,FALSE,TRUE,TRUE,2,011,011
2022-01-24,FALSE,TRUE,TRUE,2,011,011
2022-01-25,FALSE,TRUE,TRUE,2,011,011
2022-01-26,FALSE,TRUE,TRUE,2,011,011
2022-01-27,FALSE,TRUE,TRUE,2,011,011
2022-01-28,FALSE,TRUE,FALSE,1,010,011
2022-01-29,FALSE,TRUE,TRUE,2,011,010
2022-01-30,FALSE,TRUE,TRUE,2,011,011
2022-01-31,TRUE,TRUE,TRUE,3,111,011
2022-02-01,TRUE,FALSE,TRUE,2,101,111
2022-02-02,TRUE,FALSE,TRUE,2,101,101
2022-02-03,FALSE,TRUE,TRUE,2,011,101
2022-02-04,FALSE,TRUE,TRUE,2,011,011
2022-02-05,FALSE,TRUE,TRUE,2,011,011
2022-02-06,FALSE,TRUE,TRUE,2,011,011
2022-02-07,FALSE,TRUE,TRUE,2,011,011
2022-02-08,FALSE,TRUE,TRUE,2,011,011
2022-02-09,FALSE,TRUE,TRUE,2,011,011
2022-02-10,FALSE,TRUE,TRUE,2,011,011
2022-02-11,FALSE,TRUE,TRUE,2,011,011
2022-02-12,FALSE,TRUE,TRUE,2,011,011
2022-02-13,TRUE,TRUE,FALSE,2,110,011
2022-02-14,TRUE,TRUE,FALSE,2,110,110
2022-02-15,TRUE,TRUE,FALSE,2,110,110
2022-02-16,TRUE,TRUE,TRUE,3,111,110
2022-02-17,FALSE,TRUE,TRUE,2,011,111
2022-02-18,FALSE,TRUE,TRUE,2,011,011
2022-02-19,FALSE,TRUE,TRUE,2,011,011
2022-02-20,FALSE,TRUE,TRUE,2,011,011
2022-02-21,FALSE,TRUE,TRUE,2,011,011
2022-02-22,FALSE,TRUE,TRUE,2,011,011
2022-02-23,FALSE,TRUE,FALSE,1,010,011
2022-02-24,FALSE,FALSE,FALSE,0,000,010
2022-02-25,FALSE,TRUE,TRUE,2,011,000
2022-02-26,FALSE,TRUE,TRUE,2,011,011
2022-02-27,FALSE,TRUE,FALSE,1,010,011
2022-02-28,FALSE,TRUE,FALSE,1,010,010
2022-03-01,FALSE,TRUE,FALSE,1,010,010
2022-03-02,FALSE,TRUE,FALSE,1,010,010
2022-03-03,TRUE,TRUE,TRUE,3,111,010
2022-03-04,FALSE,TRUE,FALSE,1,010,111
2022-03-05,TRUE,TRUE,FALSE,2,110,010
2022-03-06,TRUE,TRUE,FALSE,2,110,110
2022-03-07,TRUE,TRUE,FALSE,2,110,110
2022-03-08,TRUE,TRUE,FALSE,2,110,110
2022-03-09,TRUE,TRUE,FALSE,2,110,110
2022-03-10,TRUE,TRUE,FALSE,2,110,110
2022-03-11,TRUE,TRUE,FALSE,2,110,110
2022-03-12,TRUE,TRUE,FALSE,2,110,110
2022-03-13,TRUE,FALSE,FALSE,1,100,110
2022-03-14,TRUE,FALSE,FALSE,1,100,100
2022-03-15,TRUE,TRUE,FALSE,2,110,100
2022-03-16,TRUE,TRUE,FALSE,2,110,110
2022-03-17,TRUE,TRUE,TRUE,3,111,110
2022-03-18,TRUE,FALSE,TRUE,2,101,111
2022-03-19,TRUE,FALSE,TRUE,2,101,101
2022-03-20,TRUE,FALSE,TRUE,2,101,101
2022-03-21,TRUE,TRUE,TRUE,3,111,101
2022-03-22,TRUE,TRUE,FALSE,2,110,111
2022-03-23,TRUE,TRUE,FALSE,2,110,110
2022-03-24,FALSE,TRUE,TRUE,2,011,110
2022-03-25,FALSE,TRUE,TRUE,2,011,011
2022-03-26,FALSE,TRUE,TRUE,2,011,011
2022-03-27,FALSE,TRUE,TRUE,2,011,011
2022-03-28,FALSE,FALSE,TRUE,1,001,011
2022-03-29,FALSE,TRUE,FALSE,1,010,001
2022-03-30,FALSE,TRUE,TRUE,2,011,010
2022-03-31,FALSE,TRUE,TRUE,2,011,011
2022-04-01,TRUE,TRUE,TRUE,3,111,011
2022-04-02,TRUE,FALSE,TRUE,2,101,111
2022-04-03,TRUE,FALSE,TRUE,2,101,101
2022-04-04,TRUE,FALSE,TRUE,2,101,101
2022-04-05,TRUE,FALSE,TRUE,2,101,101
2022-04-06,TRUE,FALSE,FALSE,1,100,101
2022-04-07,TRUE,FALSE,TRUE,2,101,100
2022-04-08,TRUE,FALSE,TRUE,2,101,101
2022-04-09,TRUE,FALSE,TRUE,2,101,101
2022-04-10,TRUE,FALSE,TRUE,2,101,101
2022-04-11,TRUE,FALSE,TRUE,2,101,101
2022-04-12,TRUE,TRUE,FALSE,2,110,101
2022-04-13,TRUE,TRUE,FALSE,2,110,110
2022-04-14,FALSE,TRUE,TRUE,2,011,110
2022-04-15,FALSE,TRUE,TRUE,2,011,011
2022-04-16,FALSE,TRUE,TRUE,2,011,011
2022-04-17,FALSE,TRUE,TRUE,2,011,011
2022-04-18,FALSE,TRUE,TRUE,2,011,011
2022-04-19,FALSE,TRUE,TRUE,2,011,011
2022-04-20,TRUE,TRUE,TRUE,3,111,011
2022-04-21,FALSE,TRUE,TRUE,2,011,111
2022-04-22,FALSE,TRUE,TRUE,2,011,011
2022-04-23,FALSE,TRUE,FALSE,1,010,011
2022-04-24,FALSE,TRUE,TRUE,2,011,010
2022-04-25,FALSE,TRUE,TRUE,2,011,011
2022-04-26,FALSE,TRUE,TRUE,2,011,011
2022-04-27,FALSE,TRUE,TRUE,2,011,011
2022-04-28,FALSE,TRUE,TRUE,2,011,011
2022-04-29,FALSE,TRUE,TRUE,2,011,011
2022-04-30,FALSE,TRUE,TRUE,2,011,011
2022-05-01,FALSE,TRUE,TRUE,2,011,011
2022-05-02,FALSE,TRUE,TRUE,2,011,011
2022-05-03,FALSE,TRUE,TRUE,2,011,011
2022-05-04,FALSE,TRUE,TRUE,2,011,011
2022-05-05,FALSE,TRUE,TRUE,2,011,011
2022-05-06,FALSE,TRUE,TRUE,2,011,011
2022-05-07,FALSE,TRUE,TRUE,2,011,011
2022-05-08,FALSE,TRUE,TRUE,2,011,011
2022-05-09,FALSE,TRUE,TRUE,2,011,011
2022-05-10,FALSE,TRUE,TRUE,2,011,011
2022-05-11,FALSE,TRUE,TRUE,2,011,011
2022-05-12,TRUE,TRUE,TRUE,3,111,011
2022-05-13,TRUE,FALSE,TRUE,2,101,111
2022-05-14,TRUE,FALSE,TRUE,2,101,101
2022-05-15,TRUE,FALSE,TRUE,2,101,101
2022-05-16,TRUE,FALSE,TRUE,2,101,101
2022-05-17,TRUE,FALSE,TRUE,2,101,101
2022-05-18,TRUE,FALSE,TRUE,2,101,101
2022-05-19,TRUE,FALSE,TRUE,2,101,101
2022-05-20,FALSE,FALSE,TRUE,1,001,101
2022-05-21,TRUE,FALSE,TRUE,2,101,001
2022-05-22,TRUE,FALSE,TRUE,2,101,101
2022-05-23,TRUE,FALSE,TRUE,2,101,101
2022-05-24,TRUE,FALSE,FALSE,1,100,101
2022-05-25,TRUE,FALSE,FALSE,1,100,100
2022-05-26,TRUE,FALSE,FALSE,1,100,100
2022-05-27,TRUE,FALSE,FALSE,1,100,100
2022-05-28,TRUE,FALSE,TRUE,2,101,100
2022-05-29,TRUE,FALSE,TRUE,2,101,101
2022-05-30,TRUE,FALSE,TRUE,2,101,101
2022-05-31,TRUE,FALSE,TRUE,2,101,101
2022-06-01,TRUE,FALSE,TRUE,2,101,101
2022-06-02,TRUE,TRUE,FALSE,2,110,101
2022-06-03,TRUE,TRUE,FALSE,2,110,110
2022-06-04,TRUE,TRUE,FALSE,2,110,110
2022-06-05,TRUE,TRUE,FALSE,2,110,110
2022-06-06,TRUE,TRUE,FALSE,2,110,110
2022-06-07,TRUE,TRUE,FALSE,2,110,110
2022-06-08,TRUE,TRUE,FALSE,2,110,110
2022-06-09,TRUE,TRUE,FALSE,2,110,110
2022-06-10,TRUE,TRUE,FALSE,2,110,110
2022-06-11,TRUE,TRUE,FALSE,2,110,110
2022-06-12,TRUE,TRUE,FALSE,2,110,110
2022-06-13,TRUE,TRUE,FALSE,2,110,110
2022-06-14,TRUE,TRUE,FALSE,2,110,110
2022-06-15,TRUE,TRUE,FALSE,2,110,110
2022-06-16,TRUE,TRUE,FALSE,2,110,110
2022-06-17,TRUE,TRUE,FALSE,2,110,110
2022-06-18,TRUE,TRUE,FALSE,2,110,110
2022-06-19,TRUE,TRUE,FALSE,2,110,110
2022-06-20,TRUE,TRUE,FALSE,2,110,110
2022-06-21,TRUE,TRUE,FALSE,2,110,110
2022-06-22,TRUE,TRUE,TRUE,3,111,110
2022-06-23,TRUE,TRUE,FALSE,2,110,111
2022-06-24,TRUE,TRUE,FALSE,2,110,110
2022-06-25,TRUE,TRUE,FALSE,2,110,110
2022-06-26,TRUE,TRUE,FALSE,2,110,110
2022-06-27,TRUE,TRUE,FALSE,2,110,110
2022-06-28,TRUE,TRUE,FALSE,2,110,110
2022-06-29,TRUE,TRUE,TRUE,3,111,110
2022-06-30,TRUE,TRUE,TRUE,3,111,111
2022-07-01,TRUE,TRUE,TRUE,3,111,111
2022-07-02,TRUE,TRUE,FALSE,2,110,111
2022-07-03,TRUE,TRUE,FALSE,2,110,110
2022-07-04,TRUE,TRUE,FALSE,2,110,110
2022-07-05,TRUE,TRUE,TRUE,3,111,110
2022-07-06,TRUE,TRUE,TRUE,3,111,111
2022-07-07,TRUE,TRUE,TRUE,3,111,111
2022-07-08,TRUE,TRUE,FALSE,2,110,111
