cal_day,st_ev,st_ev_prev,d_st
2022-01-28,200,1400,-1200
2022-02-09,400,1450,-1050
2022-02-17,500,1590,-1090
2022-03-04,0,1500,-1500
2022-03-22,500,1700,-1200
2022-03-29,250,1000,-750
2022-04-06,400,1400,-1000
2022-04-23,1000,2000,-1000
2022-05-28,660,1000,-340
2022-06-03,1285,1450,-165
2022-06-24,1380,200,1180
2022-07-29,880,1950,-1070
2022-08-09,1200,2000,-800
2022-08-16,1300,2000,-700
2022-08-27,1000,2000,-1000
2022-09-02,1000,1200,-200
2022-09-30,1000,2000,-1000
2022-11-11,0,1000,-1000
2023-01-14,0,1400,-1400
2023-02-17,0,2300,-2300
2023-05-12,300,1000,-700
2023-05-27,0,1000,-1000
2023-05-30,500,1000,-500
2023-07-12,300,1000,-700
2023-07-26,800,1000,-200
2023-08-15,0,1000,-1000
2023-08-25,1000,2000,-1000
2023-09-01,0,1000,-1000
2023-12-13,0,1000,-1000
2024-02-22,300,1300,-1000
2024-03-01,0,975,-975
2024-03-18,300,2000,-1700
2024-04-29,700,1000,-300
2024-05-04,400,1000,-600
2024-05-25,700,1000,-300
2024-06-09,900,1900,-1000
2024-06-19,1000,1200,-200
2024-07-31,1300,2000,-700
2024-08-11,1000,2000,-1000
2024-11-26,100,2000,-1900
