episode_id,duid,instruction,pct_profit,n_iv,mean_margin
696,TORRB2,Remain,0,97,-83.54056
697,TORRB2,Synchronise,0.0051948051948052,385,-121.782106025974
698,TORRB2,Synchronise,0.0608695652173913,115,-88.5010308695652
699,TORRB2,Synchronise,0.0284135753749013,1267,-114.900980584057
700,TORRB2,Synchronise,0,96,-103.953533958333
701,TORRB2,Synchronise,0,85,-68.3422890588235
702,TORRB2,Synchronise,0.128205128205128,156,-82.9454976282051
703,TORRB2,Synchronise,0,108,-103.423991481481
704,TORRB2,Remain,0.0285714285714286,175,-99.9283462857143
705,TORRB2,Synchronise,0,379,-288.82681651715
706,TORRB2,Remain,0,156,-235.943553653846
707,TORRB2,Remain,0,151,-311.746517019868
708,TORRB2,Synchronise,0,3,-278.915723333333
709,TORRB2,Synchronise,0,45,-239.817586444444
710,TORRB2,Remain,0.0642201834862385,109,-265.444377155963
711,TORRB2,Synchronise,0,79,-383.491697974684
712,TORRB2,Synchronise,0,48,-289.755498125
713,TORRB2,Synchronise,0,48,-77.4021775
714,TORRB2,Remain,0.142857142857143,168,-124.209114166667
715,TORRB2,Remain,0.0397350993377483,151,-101.580929403974
716,TORRB2,Synchronise,0.0491803278688525,61,-218.999085409836
717,TORRB2,Synchronise,0.139072847682119,151,-249.945462317881
718,TORRB2,Synchronise,0.0647482014388489,139,-174.140526906475
719,TORRB2,Synchronise,0.025,160,-292.9984239375
720,TORRB2,Synchronise,0.352941176470588,204,12.8264506862745
721,TORRB2,Remain,0.190243902439024,205,-166.983561853659
722,TORRB2,Remain,0.114583333333333,96,-51.064
723,TORRB2,Synchronise,0.0273972602739726,73,-291.855165890411
724,TORRB2,Synchronise,0,2,-341.7676
725,TORRB2,Synchronise,0,67,-308.568277313433
726,TORRB2,Synchronise,0,192,-290.764357916667
727,TORRB2,Synchronise,0,78,-240.982716794872
728,TORRB2,Synchronise,0.0134099616858238,1044,-257.985102586207
729,TORRB2,Synchronise,0.0476190476190476,42,-186.412766904762
730,TORRB2,Remain,0.029585798816568,169,-133.680783136095
731,TORRB2,Remain,0,195,-226.910911948718
732,TORRB2,Remain,0.0253164556962025,79,-194.708005063291
733,TORRB2,Remain,0.129593810444874,517,-196.495342205029
734,TORRB2,Remain,0,187,-182.016676363636
735,TORRB2,Remain,0,379,-139.510055382586
736,TORRB2,Synchronise,0,330,-179.490827515152
737,TORRB2,Synchronise,0.00319488817891374,313,-191.48414715655
