episode_id,duid,mean_mw,median_mw,min_mw,n_intervals,instruction,floor_mw,maxavail_at_issue,declared_minload,excess_over_floor
314,OSB-AG,111.841281794872,145,0,78,Synchronise,145,179,,-33.1587182051282
315,OSB-AG,145,145,145,66,Remain,145,0,,0
316,OSB-AG,145,145,145,133,Remain,145,185,,0
317,OSB-AG,145,145,145,19,Remain,145,0,,0
318,OSB-AG,145,145,145,7,Remain,0,0,,145
319,OSB-AG,145.037037037037,145,145,27,Remain,144,0,,1.03703703703704
320,OSB-AG,144.113924050633,145,143,79,Remain,144,0,,0.113924050632903
321,OSB-AG,145,145,145,28,Remain,145,0,,0
322,OSB-AG,145,145,145,78,Remain,145,145,,0
323,OSB-AG,145.013698630137,145,145,73,Remain,141,0,,4.01369863013699
324,OSB-AG,139.401135706371,145,0,361,Synchronise,135,0,,4.40113570637121
325,OSB-AG,127.776222222222,145,0,90,Synchronise,138,0,,-10.2237777777778
326,OSB-AG,145,145,145,73,Remain,145,145,,0
327,OSB-AG,144.987341772152,145,144,79,Synchronise,142,0,,2.98734177215189
328,OSB-AG,145,145,145,228,Remain,143,0,,2
329,OSB-AG,145,145,145,607,Synchronise,141,0,,4
330,OSB-AG,145.012658227848,145,145,79,Remain,144,0,,1.01265822784811
331,OSB-AG,94.9037704918033,145,0,61,Synchronise,145,0,,-50.0962295081967
332,OSB-AG,145,145,145,31,Remain,145,0,,0
333,OSB-AG,128.284328358209,145,0,67,Synchronise,145,0,,-16.7156716417911
334,OSB-AG,108.267110888889,145,0,90,Synchronise,143,0,,-34.7328891111111
335,OSB-AG,145.009708737864,145,145,103,Remain,143,0,,2.00970873786409
336,OSB-AG,145.551743119266,145,145,109,Remain,0,145,,145.551743119266
337,OSB-AG,139.417717121588,145,0,403,Synchronise,142,0,,-2.58228287841192
338,OSB-AG,132.399259259259,145,0,108,Synchronise,140,0,,-7.60074074074075
339,OSB-AG,144.949367088608,145,141,79,Synchronise,0,145,,144.949367088608
340,OSB-AG,145,145,145,79,Remain,0,145,,145
341,OSB-AG,144.9921875,145,142,384,Remain,139,0,,5.9921875
514,PPCCGT,168.424645833333,175,0,228,Synchronise,0,0,,168.424645833333
515,PPCCGT,168.952380952381,169,165,84,Remain,0,169,,168.952380952381
516,PPCCGT,166.264342181818,167,126.53882,55,Remain,0,0,,166.264342181818
517,PPCCGT,158.333204360902,166,0,133,Synchronise,0,0,,158.333204360902
518,PPCCGT,168.059523809524,168,168,84,Remain,0,0,,168.059523809524
519,PPCCGT,173,173,173,42,Remain,0,0,,173
520,PPCCGT,134.690388032787,125,125,61,Remain,0,0,,134.690388032787
521,PPCCGT,168.12,168,168,25,Remain,0,0,,168.12
522,PPCCGT,174.282052474227,175,167,97,Remain,0,167,,174.282052474227
523,PPCCGT,170.0125,170,170,240,Remain,0,0,,170.0125
524,PPCCGT,168.833333333333,165,165,24,Remain,0,0,,168.833333333333
525,PPCCGT,160.574442777778,165,115.13005,18,Remain,0,0,,160.574442777778
526,PPCCGT,166.007390092166,170,6,217,Synchronise,0,0,,166.007390092166
527,PPCCGT,170,170,170,211,Synchronise,0,0,,170
528,PPCCGT,170.00888443038,170,170,79,Remain,0,0,,170.00888443038
529,PPCCGT,168,168,168,78,Remain,0,0,,168
530,PPCCGT,169.333333333333,170,168,3,Remain,0,0,,169.333333333333
531,PPCCGT,165.055116666667,165,165,6,Remain,0,0,,165.055116666667
532,PPCCGT,125,125,125,7,Remain,0,0,,125
533,PPCCGT,124.603281363636,125,81.36095,110,Remain,172,248,,-47.3967186363636
534,PPCCGT,129.897959183673,125,125,49,Remain,0,0,,129.897959183673
535,PPCCGT,170,170,170,18,Remain,0,0,,170
536,PPCCGT,174,170,170,15,Remain,0,0,,174
537,PPCCGT,42,42,42,180,Remain,0,0,,42
538,PPCCGT,42.1747271150443,42,42,565,Remain,0,0,,42.1747271150443
539,PPCCGT,42.09375,42,42,192,Remain,0,0,,42.09375
540,PPCCGT,42.1417322834646,42,42,127,Remain,0,0,,42.1417322834646
541,PPCCGT,42.1578947368421,42,42,114,Remain,0,0,,42.1578947368421
542,PPCCGT,42.1487603305785,42,42,121,Remain,0,0,,42.1487603305785
696,TORRB2,40,40,40,97,Remain,40,0,,0
697,TORRB2,41.948051948052,40,0,385,Synchronise,40,0,,1.94805194805195
698,TORRB2,37.5317391304348,40,0,115,Synchronise,60,0,,-22.4682608695652
699,TORRB2,40.5548539857932,40,0,1267,Synchronise,40,0,,0.554853985793216
700,TORRB2,39.1510416666667,40,0,96,Synchronise,0,40,,39.1510416666667
701,TORRB2,40.0470588235294,40,0,85,Synchronise,40,0,,0.0470588235294116
702,TORRB2,41.5865384615385,40,0,156,Synchronise,40,0,,1.58653846153846
703,TORRB2,48.9074074074074,50,2,108,Synchronise,40,0,,8.90740740740741
704,TORRB2,45.3142857142857,50,40,175,Remain,40,0,,5.31428571428572
705,TORRB2,40.7163588390501,40,0,379,Synchronise,0,0,,40.7163588390501
706,TORRB2,40.1282051282051,40,40,156,Remain,60,0,,-19.8717948717949
707,TORRB2,40.1324503311258,40,40,151,Remain,40,0,,0.132450331125831
708,TORRB2,22,26,0,3,Synchronise,40,0,,-18
709,TORRB2,38.7777777777778,40,0,45,Synchronise,40,200,,-1.22222222222222
710,TORRB2,40,40,40,109,Remain,40,0,,0
711,TORRB2,38.8164556962025,40,0,79,Synchronise,40,0,,-1.18354430379747
712,TORRB2,36.8333333333333,40,0,48,Synchronise,40,0,,-3.16666666666666
713,TORRB2,37.3333333333333,40,0,48,Synchronise,40,0,,-2.66666666666666
714,TORRB2,50.0595238095238,50,50,168,Remain,0,50,,50.0595238095238
715,TORRB2,40.1324503311258,40,40,151,Remain,40,0,,0.132450331125831
716,TORRB2,40,40,40,61,Synchronise,40,0,,0
717,TORRB2,40,40,40,151,Synchronise,40,0,,0
718,TORRB2,40,40,40,139,Synchronise,60,0,,-20
719,TORRB2,39.071875,40,0,160,Synchronise,40,0,,-0.928125000000001
720,TORRB2,40,40,40,204,Synchronise,60,0,,-20
721,TORRB2,40.1170731707317,40,40,205,Remain,60,0,,-19.8829268292683
722,TORRB2,38.7708333333333,40,0,96,Remain,40,0,,-1.22916666666666
723,TORRB2,39.2876712328767,40,0,73,Synchronise,40,0,,-0.712328767123289
724,TORRB2,12,12,0,2,Synchronise,40,0,,-28
725,TORRB2,38.3208955223881,40,0,67,Synchronise,0,40,,38.3208955223881
726,TORRB2,39.5364583333333,40,0,192,Synchronise,0,40,,39.5364583333333
727,TORRB2,37.5128205128205,40,0,78,Synchronise,60,0,,-22.4871794871795
728,TORRB2,39.8917624521073,40,0,1044,Synchronise,40,0,,-0.10823754789272
729,TORRB2,38.25,40,0,42,Synchronise,40,0,,-1.75
730,TORRB2,40.1183431952663,40,40,169,Remain,0,40,,40.1183431952663
731,TORRB2,40.1076923076923,40,40,195,Remain,40,0,,0.107692307692311
732,TORRB2,55.9493670886076,60,40,79,Remain,40,0,,15.9493670886076
733,TORRB2,40.0386847195358,40,40,517,Remain,0,0,,40.0386847195358
734,TORRB2,40.1069518716578,40,40,187,Remain,40,0,,0.106951871657756
735,TORRB2,53.4036939313984,60,40,379,Remain,40,0,,13.4036939313984
736,TORRB2,40,40,40,330,Synchronise,40,0,,0
737,TORRB2,38.7595846645367,40,0,313,Synchronise,60,0,,-21.2404153354633
738,TORRB2,54.3114754098361,60,4,61,Synchronise,40,0,,14.3114754098361
739,TORRB2,40,40,40,187,Remain,40,0,,0
740,TORRB2,40,40,40,120,Remain,40,0,,0
741,TORRB2,40,40,40,132,Remain,40,0,,0
742,TORRB2,40.0925925925926,40,40,216,Remain,40,0,,0.0925925925925952
743,TORRB2,40.1368421052632,40,40,190,Remain,40,0,,0.136842105263156
744,TORRB2,40.1142857142857,40,40,175,Remain,40,0,,0.114285714285714
745,TORRB2,40.0980392156863,40,40,204,Remain,0,40,,40.0980392156863
746,TORRB2,40.95,40,0,120,Synchronise,40,0,,0.950000000000003
747,TORRB2,40.0648148148148,40,40,540,Remain,60,200,,-19.9351851851852
748,TORRB2,40,40,40,169,Remain,60,0,,-20
749,TORRB2,40,40,40,180,Remain,60,0,,-20
750,TORRB2,40,40,40,67,Remain,40,200,,0
751,TORRB2,42.3044575273339,40,40,1189,Remain,60,200,,-17.6955424726661
752,TORRB2,48.7096774193548,40,40,186,Remain,40,0,,8.70967741935484
753,TORRB2,40.0606060606061,40,40,330,Remain,40,0,,0.0606060606060623
754,TORRB2,40,40,40,311,Remain,40,0,,0
755,TORRB2,36.2341772151899,40,0,79,Synchronise,40,0,,-3.76582278481013
756,TORRB2,40.1941747572816,40,40,103,Synchronise,40,0,,0.194174757281552
757,TORRB2,40,40,40,127,Remain,0,40,,40
758,TORRB2,40.1754385964912,40,40,114,Remain,0,40,,40.1754385964912
759,TORRB2,40.1005025125628,40,40,199,Remain,40,0,,0.100502512562812
760,TORRB2,39.7073170731707,40,0,205,Synchronise,60,0,,-20.2926829268293
761,TORRB2,39.2293233082707,40,0,133,Synchronise,40,0,,-0.770676691729321
762,TORRB2,39.2798165137615,40,0,109,Synchronise,40,0,,-0.720183486238533
763,TORRB2,36.5714285714286,40,0,84,Synchronise,40,0,,-3.42857142857143
764,TORRB2,34.3863636363636,40,0,132,Synchronise,40,0,,-5.61363636363637
765,TORRB2,39.9591836734694,40,10,1225,Synchronise,40,0,,-0.0408163265306101
766,TORRB2,38.3333333333333,40,0,57,Synchronise,0,40,,38.3333333333333
767,TORRB2,38.71875,40,0,96,Synchronise,40,0,,-1.28125
768,TORRB2,38.9271844660194,40,0,103,Synchronise,40,0,,-1.07281553398058
769,TORRB2,36.9166666666667,40,6,18,Synchronise,40,200,,-3.08333333333334
770,TORRB2,40.0595238095238,40,40,336,Synchronise,40,0,,0.0595238095238102
771,TORRB2,40,40,40,1258,Remain,40,0,,0
772,TORRB2,40,40,40,84,Synchronise,0,40,,40
773,TORRB2,39.4285714285714,40,9,91,Synchronise,0,40,,39.4285714285714
774,TORRB2,40,40,40,97,Synchronise,40,0,,0
775,TORRB2,40,40,40,451,Remain,40,0,,0
776,TORRB2,38.9633027522936,40,0,109,Synchronise,0,40,,38.9633027522936
777,TORRB2,38.8956043956044,40,0,91,Synchronise,40,0,,-1.10439560439561
778,TORRB2,38.9848484848485,40,0,66,Synchronise,40,0,,-1.01515151515152
779,TORRB2,40.0975609756098,40,40,205,Remain,40,0,,0.0975609756097526
780,TORRB2,39.2204724409449,40,0,127,Synchronise,40,0,,-0.779527559055119
781,TORRB2,38.9647058823529,40,0,85,Synchronise,40,0,,-1.03529411764706
782,TORRB2,40.1010101010101,40,40,198,Remain,40,0,,0.101010101010104
783,TORRB2,40,40,40,73,Remain,40,0,,0
784,TORRB2,40.1273885350319,40,40,157,Remain,0,40,,40.1273885350319
785,TORRB2,40.1183431952663,40,40,169,Remain,0,40,,40.1183431952663
786,TORRB2,40.0980392156863,40,40,204,Remain,40,0,,0.0980392156862777
787,TORRB2,40,40,40,348,Remain,0,40,,40
788,TORRB2,39.8228043143297,40,0,649,Synchronise,40,0,,-0.177195685670263
789,TORRB2,40.1111111111111,40,40,180,Remain,40,0,,0.111111111111114
790,TORRB2,40,40,40,523,Remain,40,0,,0
791,TORRB2,39.7523076923077,40,0,325,Synchronise,0,40,,39.7523076923077
792,TORRB2,40.2352941176471,40,40,85,Remain,40,0,,0.235294117647058
793,TORRB2,40.0329489291598,40,40,607,Remain,40,0,,0.0329489291598009
794,TORRB2,40.0152788388083,40,40,1309,Remain,40,0,,0.0152788388082499
795,TORRB2,37.6134020618557,40,0,97,Synchronise,40,0,,-2.38659793814434
796,TORRB2,40,40,40,186,Synchronise,40,0,,0
797,TORRB2,36.4796703296703,40,0,91,Synchronise,40,0,,-3.52032967032967
798,TORRB2,40,40,40,97,Synchronise,40,0,,0
799,TORRB2,40,40,40,97,Synchronise,40,0,,0
800,TORRB2,40,40,40,97,Synchronise,0,40,,40
801,TORRB2,40.0333333333333,40,40,600,Remain,40,0,,0.0333333333333314
802,TORRB2,39.4025404157044,40,0,433,Synchronise,40,0,,-0.597459584295613
803,TORRB2,39.2543859649123,40,0,114,Synchronise,40,0,,-0.745614035087719
804,TORRB2,39.1009174311927,40,0,109,Synchronise,40,0,,-0.899082568807337
805,TORRB2,39.71875,40,0,384,Synchronise,0,40,,39.71875
806,TORRB2,39.1165048543689,40,0,103,Synchronise,40,0,,-0.883495145631066
807,TORRB2,38.9895833333333,40,0,96,Synchronise,40,0,,-1.01041666666666
808,TORRB2,39.6424287856072,40,0,667,Synchronise,40,0,,-0.357571214392806
809,TORRB2,40,40,40,91,Remain,0,40,,40
810,TORRB2,40.0248756218906,40,40,804,Remain,60,0,,-19.9751243781095
811,TORRB2,39.7168737060041,40,0,966,Synchronise,40,0,,-0.283126293995856
812,TORRB2,40,40,40,96,Synchronise,40,0,,0
813,TORRB2,40.1941747572816,40,40,103,Remain,0,40,,40.1941747572816
814,TORRB2,40.2380952380952,40,40,84,Remain,40,0,,0.238095238095241
815,TORRB2,40.1036269430052,40,40,193,Remain,40,0,,0.103626943005182
816,TORRB2,39.2552083333333,40,0,192,Synchronise,40,0,,-0.744791666666664
817,TORRB2,40.1923076923077,40,40,104,Remain,0,40,,40.1923076923077
818,TORRB2,40,40,40,631,Remain,40,0,,0
819,TORRB2,40,40,40,199,Remain,40,0,,0
820,TORRB2,40.2083333333333,40,40,96,Synchronise,0,40,,40.2083333333333
821,TORRB2,40,40,40,109,Remain,40,0,,0
822,TORRB2,40,40,40,115,Remain,40,0,,0
823,TORRB2,40.0106157112527,40,40,1884,Remain,0,40,,40.0106157112527
824,TORRB2,40.0598006644518,40,40,301,Synchronise,60,0,,-19.9401993355482
825,TORRB2,37.0984848484849,40,0,66,Synchronise,40,0,,-2.90151515151515
826,TORRB2,39.987012987013,40,36.5,385,Remain,0,40,,39.987012987013
827,TORRB2,40,40,40,114,Remain,40,0,,0
828,TORRB2,40.1149425287356,40,40,174,Remain,0,40,,40.1149425287356
829,TORRB2,40.1234567901235,40,40,162,Remain,40,0,,0.123456790123456
830,TORRB2,39.3271341463415,40,0,492,Synchronise,40,0,,-0.672865853658543
831,TORRB2,40,40,40,169,Remain,40,0,,0
832,TORRB2,40.1234567901235,40,40,162,Remain,40,0,,0.123456790123456
833,TORRB2,37.360989010989,40,0,91,Synchronise,40,0,,-2.639010989011
834,TORRB2,40.2061855670103,40,40,97,Remain,0,40,,40.2061855670103
835,TORRB2,37.4463541666667,40,0,96,Synchronise,40,0,,-2.55364583333334
836,TORRB2,39.8963480128894,40,0,931,Synchronise,40,0,,-0.103651987110631
837,TORRB2,40.219298245614,40,0,456,Synchronise,40,0,,0.219298245614034
838,TORRB2,39.4508421052632,40,0,475,Synchronise,40,0,,-0.549157894736837
839,TORRB2,38.3360655737705,40,0,61,Synchronise,40,0,,-1.66393442622951
840,TORRB2,40,40,40,109,Remain,40,0,,0
841,TORRB2,38.6089743589744,40,0,78,Synchronise,0,40,,38.6089743589744
842,TORRB2,38.8131868131868,40,0,91,Synchronise,40,0,,-1.18681318681319
843,TORRB2,40,40,40,12,Synchronise,40,0,,0
844,TORRB2,38.8705882352941,40,0,85,Synchronise,40,0,,-1.12941176470589
845,TORRB2,39.2058823529412,40,0,85,Synchronise,40,0,,-0.794117647058826
846,TORRB2,38.5223880597015,40,0,67,Synchronise,40,0,,-1.47761194029851
847,TORRB2,38.1636363636364,40,0,55,Synchronise,40,0,,-1.83636363636364
848,TORRB2,40,40,40,439,Synchronise,60,0,,-20
849,TORRB2,38.134328358209,40,0,67,Synchronise,40,0,,-1.86567164179105
850,TORRB2,36.6828767123288,40,0,73,Synchronise,40,0,,-3.31712328767124
851,TORRB2,40.2061855670103,40,40,97,Remain,40,0,,0.206185567010309
852,TORRB2,34.5666666666667,40,0,42,Synchronise,40,11,,-5.43333333333333
853,TORRB2,37.8484848484849,40,0,66,Synchronise,40,0,,-2.15151515151515
854,TORRB2,40.2352941176471,40,40,85,Synchronise,40,0,,0.235294117647058
855,TORRB2,38.6772151898734,40,0,79,Synchronise,40,0,,-1.32278481012659
856,TORRB2,37.0569620253165,40,0,79,Synchronise,0,40,,37.0569620253165
857,TORRB2,40.2222222222222,40,40,90,Synchronise,40,0,,0.222222222222221
858,TORRB2,40,40,40,67,Remain,40,0,,0
859,TORRB2,40.1142857142857,40,40,175,Synchronise,40,0,,0.114285714285714
860,TORRB2,40,40,40,61,Remain,40,0,,0
861,TORRB2,40,40,40,205,Synchronise,40,0,,0
862,TORRB2,40.1226993865031,40,40,163,Remain,40,0,,0.122699386503065
863,TORRB2,40.1891877889447,40,40,199,Synchronise,40,0,,0.189187788944722
864,TORRB2,40,40,40,199,Remain,40,0,,0
865,TORRB2,40,40,40,48,Synchronise,40,0,,0
866,TORRB2,40,40,40,181,Remain,40,0,,0
867,TORRB2,40.0443458980044,40,40,451,Remain,40,0,,0.0443458980044369
868,TORRB2,40,40,40,439,Synchronise,60,0,,-20
869,TORRB2,40.1142857142857,40,40,175,Remain,40,0,,0.114285714285714
870,TORRB2,40.0519480519481,40,40,385,Remain,40,0,,0.0519480519480524
871,TORRB2,40.0106609808102,40,40,469,Synchronise,40,0,,0.0106609808102363
872,TORRB2,38.4548872180451,40,0,133,Synchronise,60,0,,-21.5451127819549
873,TORRB2,40.0104493207942,40,40,1914,Synchronise,40,0,,0.0104493207941516
874,TORRB2,40.2222222222222,40,40,90,Remain,0,40,,40.2222222222222
875,TORRB2,40.0152207001522,40,40,1314,Remain,60,0,,-19.9847792998478
876,TORRB2,38.5569620253165,40,0,79,Synchronise,40,0,,-1.44303797468354
877,TORRB2,39.8381944444445,40,20,360,Synchronise,0,40,,39.8381944444445
878,TORRB2,40.1075268817204,40,40,186,Remain,40,0,,0.107526881720432
879,TORRB2,39.7537313432836,40,0,402,Synchronise,0,0,,39.7537313432836
880,TORRB2,38.3736263736264,40,0,91,Synchronise,0,40,,38.3736263736264
881,TORRB2,40.253164556962,40,40,79,Remain,40,0,,0.253164556962027
882,TORRB2,40.2061855670103,40,40,97,Remain,40,0,,0.206185567010309
883,TORRB2,40.0121580547112,40,40,1645,Synchronise,60,0,,-19.9878419452888
884,TORRB2,39.7520775623269,40,0,361,Synchronise,40,0,,-0.247922437673132
885,TORRB2,36.6161111111111,40,0,90,Synchronise,40,0,,-3.38388888888889
886,TORRB2,40.0947867298578,40,40,211,Remain,0,40,,40.0947867298578
887,TORRB2,39.5762830482115,40,0,643,Synchronise,40,0,,-0.423716951788492
888,TORRB2,40.0975609756098,40,40,205,Remain,40,0,,0.0975609756097526
889,TORRB2,40.2777777777778,40,40,72,Remain,40,0,,0.277777777777779
890,TORRB2,40.0496277915633,40,40,403,Synchronise,40,0,,0.0496277915632746
891,TORRB2,40.0270635994587,40,40,739,Remain,60,0,,-19.9729364005413
892,TORRB2,39.9033306255077,40,0,1231,Synchronise,40,0,,-0.0966693744922793
964,TORRB3,40,40,40,265,Remain,0,40,,40
965,TORRB3,40.2471606273662,40,40,1849,Remain,0,40,,40.2471606273662
966,TORRB3,40.0466321243523,40,40,772,Remain,40,0,,0.0466321243523282
967,TORRB3,40,40,40,198,Remain,40,0,,0
968,TORRB3,40.025706940874,40,40,778,Remain,40,0,,0.0257069408740378
969,TORRB3,40,40,40,160,Remain,60,0,,-20
970,TORRB3,40,40,40,451,Remain,60,0,,-20
971,TORRB3,45.765306122449,50,40,196,Remain,60,0,,-14.234693877551
972,TORRB3,40.1492537313433,40,40,134,Synchronise,60,0,,-19.8507462686567
973,TORRB3,37.8171052631579,40,0,114,Synchronise,40,0,,-2.18289473684211
974,TORRB3,38.8252427184466,40,0,103,Synchronise,40,0,,-1.1747572815534
975,TORRB3,38.4536082474227,40,0,97,Synchronise,40,0,,-1.54639175257732
976,TORRB3,39.4201183431953,40,0,169,Synchronise,40,0,,-0.579881656804737
977,TORRB3,39.05,40,7,60,Synchronise,40,0,,-0.950000000000003
978,TORRB3,40.8791208791209,40,40,91,Remain,40,0,,0.879120879120876
979,TORRB3,40,40,40,126,Synchronise,40,0,,0
980,TORRB3,46.0869565217391,50,40,253,Remain,0,50,,46.0869565217391
981,TORRB3,40.2857142857143,40,40,70,Remain,40,0,,0.285714285714285
982,TORRB3,40,40,40,16,Remain,60,0,,-20
983,TORRB3,40.6086956521739,40,0,115,Synchronise,40,0,,0.608695652173914
984,TORRB3,41.4444444444445,40,40,90,Remain,40,0,,1.44444444444444
985,TORRB3,41.3186813186813,40,40,91,Remain,0,40,,41.3186813186813
986,TORRB3,44.9197860962567,40,40,187,Remain,40,0,,4.91978609625669
987,TORRB3,48.5833333333333,50,0,84,Synchronise,40,0,,8.58333333333334
