episode_id,duid,window_hours,n_intervals_window,n_intervals_nobid_at_tau,nobid_day0,n_day0,nobid_day1plus,n_day1plus,excess_at_issue_mw,floor_first_interval,floor_task1,window_floor_mwh,window_output_mwh,window_excess_mwh,covered_excess_mwh,n_intervals_covered,window_excess_capped_mwh,window_excess_priceaware_mwh,share_intervals_excess_le0,mean_maxavail,survivor,survivor_covered
337,OSB-AG,33.5002777777778,403,0,0,85,0,318,-20.5729032754342,140,140,4750.16666666667,4010.75999833333,-739.406668333333,-739.406668333333,403,4010.75999833333,4010.75999833333,0.245657568238213,0,TRUE,TRUE
524,PPCCGT,1.91666666666667,23,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,1,0,TRUE,TRUE
525,PPCCGT,1.5,18,0,0,18,0,0,0,0,0,13.5,0,-13.5,-13.5,18,-13.5,-13.5,1,9,TRUE,TRUE
526,PPCCGT,18,216,0,0,204,0,12,-92.9767122580645,170,170,1020,1378.67112,358.67112,358.67112,216,358.67112,358.67112,0.875,56.6666666666667,FALSE,FALSE
532,PPCCGT,0.5,6,0,0,6,0,0,0,0,0,0.5,0,-0.5,-0.5,6,-0.5,-0.5,1,1,TRUE,TRUE
533,PPCCGT,9.16666666666667,110,0,0,110,0,0,-66.0286951818182,125,125,356.5,540.570294166667,184.070294166667,184.070294166667,110,184.070294166667,184.070294166667,0.545454545454545,55.7181818181818,FALSE,FALSE
536,PPCCGT,1.24972222222222,14,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,1,0,TRUE,TRUE
812,TORRB2,7.99972222222222,95,0,0,72,0,23,-1.25,60,60,405,466.666666666667,61.6666666666667,61.6666666666667,95,466.666666666667,466.666666666667,0.557894736842105,0,FALSE,FALSE
817,TORRB2,8.66638888888889,103,0,0,78,0,25,-60,60,60,445,0,-445,-445,103,0,0,1,0,TRUE,TRUE
818,TORRB2,52.5,630,0,0,54,0,576,-4.7543307290016,60,60,2660,2901.66810916667,241.668109166667,241.668109166667,630,2901.66810916667,2901.66810916667,0.861904761904762,0,FALSE,FALSE
820,TORRB2,7.99972222222222,95,0,0,72,0,23,-3.54166666666666,60,60,405,446.666666666667,41.6666666666667,41.6666666666667,95,446.666666666667,446.666666666667,0.621052631578947,0,FALSE,FALSE
821,TORRB2,9,108,0,0,78,0,30,-2.01834862385321,60,60,470,521.666666666667,51.6666666666667,51.6666666666667,108,521.666666666667,521.666666666667,0.601851851851852,0,FALSE,FALSE
822,TORRB2,9.50027777777778,115,0,0,85,0,30,-60,60,60,505,0,-505,-505,115,0,0,1,0,TRUE,TRUE
827,TORRB2,9.49972222222222,113,0,0,72,0,41,-7.19298245614035,60,60,495,496.666666666667,1.66666666666667,1.66666666666667,113,496.666666666667,496.666666666667,0.734513274336283,0,FALSE,FALSE
829,TORRB2,13.5,162,0,0,157,0,5,-29.1358024691358,40,40,730,146.666666666667,-583.333333333333,-583.333333333333,162,146.666666666667,146.666666666667,1,0,TRUE,TRUE
835,TORRB2,7.99972222222222,95,0,0,72,0,23,-60,60,60,405,0,-405,-405,95,0,0,1,0,TRUE,TRUE
840,TORRB2,9,108,0,0,72,0,36,-60,60,60,470,0,-470,-470,108,-470,-775.833333333333,1,200,TRUE,TRUE
