episode_id,duid,s,c,window_hours,window_output_mwh,mwh_reported,comp,addl,rta,P,gas_gj,ever_sync,ever_cleared
524,PPCCGT,2023-11-28T09:30:00Z,2023-11-28T11:25:00Z,1.91666666666667,0,325.362919,58919.97100171,0,19151.05322104,186.840043,11.23,FALSE,FALSE
525,PPCCGT,2024-01-03T23:29:59Z,2024-01-04T00:59:59Z,1.5,0,247.119611,44451.87562668,0,14095.52696118,178.56087,11.65,FALSE,FALSE
532,PPCCGT,2024-08-02T00:35:00Z,2024-08-02T01:05:00Z,0.5,0,64.247904,14259.17981376,0,-2109.85157129,221.896944,12.78,FALSE,FALSE
536,PPCCGT,2024-10-27T08:00:00Z,2024-10-27T09:14:59Z,1.24972222222222,0,210.993225,47144.326194,0,-9777.38643199,221.743223,13.55,FALSE,FALSE
817,TORRB2,2023-11-13T07:30:00Z,2023-11-13T16:09:59Z,8.66638888888889,0,327.5153525,62155.86359745,29947.1214470259,-3858.53757828,186.840043,11.23,FALSE,FALSE
822,TORRB2,2023-12-17T06:59:59Z,2023-12-17T16:30:00Z,9.50027777777778,0,361.231538,65028.90147076,29902.7370105265,-17547.14169656,180.025787,11.23,FALSE,FALSE
835,TORRB2,2024-03-21T08:00:00Z,2024-03-21T15:59:59Z,7.99972222222222,0,286.2415775,50959.588042325,45513.99,-11203.89826517,179.062355,11.65,FALSE,FALSE
840,TORRB2,2024-04-07T08:00:00Z,2024-04-07T17:00:00Z,9,0,341.1201245,60640.924532365,26134.9051522312,4053.12596184,178.54827,13.86,FALSE,FALSE
841,TORRB2,2024-04-08T09:30:00Z,2024-04-08T15:59:59Z,6.49972222222222,0,241.8591344,42995.298322288,33241.045876212,1109.4688708,178.54827,13.86,FALSE,FALSE
842,TORRB2,2024-04-09T08:00:00Z,2024-04-09T15:30:00Z,7.5,0,279.0761063,49611.359416951,36530.2488293809,-2685.97037907,178.54827,13.86,FALSE,FALSE
843,TORRB2,2024-04-18T09:00:00Z,2024-04-18T09:59:59Z,0.999722222222222,0,37.7360955,6746.836514445,0,9748.94234196,178.54827,13.86,FALSE,FALSE
844,TORRB2,2024-04-19T08:29:59Z,2024-04-19T15:30:00Z,7.00027777777778,0,260.8657825,46496.7170728,41241.942451675,-894.119551170001,178.54827,13.86,FALSE,FALSE
845,TORRB2,2024-04-20T08:29:59Z,2024-04-20T15:30:00Z,7.00027777777778,0,260.2539255,46296.570807195,35285.6410883819,-9884.59307888,178.54827,13.86,FALSE,FALSE
846,TORRB2,2024-04-21T08:29:59Z,2024-04-21T14:00:00Z,5.50027777777778,0,202.8406605,36058.984217085,30762.0036440494,1113.33945904,178.54827,13.86,FALSE,FALSE
849,TORRB2,2024-04-25T08:29:59Z,2024-04-25T14:00:00Z,5.50027777777778,0,202.8368317,36058.303571309,35592.7283106472,-2935.84372069,178.54827,13.86,FALSE,FALSE
854,TORRB2,2024-05-05T08:29:59Z,2024-05-05T15:30:00Z,7.00027777777778,0,268.187692,47195.67003816,21879.66,-2281.0736824,175.97,13.86,FALSE,FALSE
860,TORRB2,2024-05-26T09:59:59Z,2024-05-26T15:00:00Z,5.00027777777778,0,187.356569,32969.13544693,15506.2074396061,3788.17063317,175.97,13.86,FALSE,FALSE
876,TORRB2,2024-09-23T09:00:00Z,2024-09-23T15:30:00Z,6.5,0,237.6499303,52166.536200153,9682.64752234357,-3354.67490273,220.036945,12.78,FALSE,FALSE
1154,TORRB3,2024-01-19T07:30:00Z,2024-01-19T15:59:59Z,8.49972222222222,0,312.5935245,55801.070058495,42796.7371412606,-2099.87602404,178.56087,11.65,FALSE,FALSE
1159,TORRB3,2024-03-07T07:30:00Z,2024-03-07T09:30:00Z,2,120,40.7903366,7269.653788852,39357.52,-648.92174999,179.062355,11.65,TRUE,TRUE
1175,TORRB3,2024-05-05T09:00:00Z,2024-05-05T17:00:00Z,8,0,287.9731266,50677.510819068,50408.35,-6037.23126484,175.97,13.86,FALSE,FALSE
1184,TORRB3,2024-07-26T09:00:00Z,2024-07-26T15:30:00Z,6.5,0,231.3013407,49979.593698456,34221.98,-17763.44218132,215.965026,12.78,FALSE,FALSE
1185,TORRB3,2024-07-27T09:30:00Z,2024-07-27T15:00:00Z,5.5,0,193.8626068,41895.647955548,27239.72,-8435.61592062,215.965026,12.78,FALSE,FALSE
1204,TORRB3,2024-10-17T05:00:00Z,2024-10-17T05:19:59Z,0.333055555555556,0,2.7330914,605.215759616,24034.6456716566,131.10611328,221.743223,13.55,FALSE,FALSE
1205,TORRB3,2024-10-17T08:00:00Z,2024-10-17T12:30:00Z,4.5,0,165.9859625,36815.6864825,20434.7147307229,118849.0503367,221.743223,13.55,FALSE,FALSE
1431,TORRB4,2023-11-24T09:30:00Z,2023-11-24T14:29:59Z,4.99972222222222,0,177.2594321,32426.067914053,30754.7765681283,5999.62655908,186.840043,11.23,FALSE,FALSE
1432,TORRB4,2023-11-29T12:00:00Z,2023-11-29T18:59:59Z,6.99972222222222,0,241.2892102,43695.063075118,43420.3420063576,-14278.03795268,186.840043,11.23,FALSE,FALSE
1436,TORRB4,2023-12-06T06:59:59Z,2023-12-06T15:30:00Z,8.50027777777778,0,322.568896,57917.2452768,29122.1187237358,4853.94741037,180.025787,11.23,FALSE,FALSE
1445,TORRB4,2024-02-23T00:30:00Z,2024-02-23T09:45:00Z,9.25,0,338.7632215,60581.026900845,23254.7004457109,12111.47826319,179.119686,11.65,FALSE,FALSE
1446,TORRB4,2024-02-28T01:30:00Z,2024-02-28T14:00:00Z,12.5,699.9779925,465.5682195,82764.062380515,31988.6397382152,15195.19608371,179.119686,11.65,TRUE,TRUE
1450,TORRB4,2024-06-11T21:30:00Z,2024-06-12T04:30:00Z,7,381.25,258.7753895,45539.29304421,24696.79,1200.21235342,177.77,13.86,TRUE,TRUE
1452,TORRB4,2024-06-26T00:04:59Z,2024-06-26T05:29:59Z,5.41666666666667,0,199.6807835,38901.81024147,15879.2677563891,4533.69974366,177.77,13.86,FALSE,FALSE
1485,TORRB4,2024-11-04T09:00:00Z,2024-11-04T17:00:00Z,8,0,265.9342067,59412.361118847,37657.1746383002,-10500.19027388,223.44,13.55,FALSE,FALSE
1486,TORRB4,2024-11-06T02:29:59Z,2024-11-06T17:00:00Z,14.5002777777778,184.583333333333,538.1240665,120222.297696765,28092.70268155,-1343.81446084,223.44,13.55,TRUE,TRUE
1490,TORRB4,2024-11-14T08:29:59Z,2024-11-14T18:00:00Z,9.50027777777778,0,357.1902665,79810.59314676,0,4087.56060737,223.44,13.55,FALSE,FALSE
