DUID,yr,n_days,p25,median,p75,pct_le0,pct_gt300
OSB-AG,2022,81,-999.9,-999.9,-999.9,98.8,0
OSB-AG,2023,33,-999.9,-999.9,-999.2,100,0
OSB-AG,2024,45,-999.4,-999.2,-999.2,91.1,8.9
PPCCGT,2022,105,-998.7,-998.7,-998.3,94.3,5.7
PPCCGT,2023,85,-998.4,-998.3,-998.3,98.8,1.2
PPCCGT,2024,74,-998.7,-998.4,-998.4,90.5,4.1
TORRB2,2022,110,-999.9,-999.4,15098.5,61.8,38.2
TORRB2,2023,48,-999.4,15490.7,16595,35.4,64.6
TORRB2,2024,111,-999.8,-999.7,17496.5,53.2,46.8
TORRB3,2022,164,-999.9,-999.4,15098.5,56.7,43.3
TORRB3,2023,60,-999.4,15490.7,16595,45,55
TORRB3,2024,170,-999.7,16595,17496.5,42.9,57.1
TORRB4,2022,131,-999.4,-999.4,15098.5,65.6,34.4
TORRB4,2023,63,-999.4,15490.7,16595,47.6,52.4
TORRB4,2024,102,-999.7,16595,17496.5,42.2,57.8
