episode_id,duid,H,K,n_horizon,n_beyond_data,n_bid,n_not_yet_bid,share_exit_of_bid,class
314,OSB-AG,84,12,84,0,84,0,0.642857142857143,withdrawn
315,OSB-AG,84,12,84,0,84,0,0.357142857142857,withdrawn
318,OSB-AG,84,12,84,0,84,0,1,withdrawn
319,OSB-AG,84,12,84,0,84,0,1,withdrawn
320,OSB-AG,84,12,84,0,84,0,1,withdrawn
321,OSB-AG,84,12,84,0,84,0,1,withdrawn
322,OSB-AG,84,12,84,0,84,0,0.642857142857143,withdrawn
323,OSB-AG,84,12,84,0,84,0,0.571428571428571,withdrawn
324,OSB-AG,84,12,84,0,84,0,1,withdrawn
329,OSB-AG,84,12,84,0,84,0,1,withdrawn
330,OSB-AG,84,12,84,0,84,0,1,withdrawn
331,OSB-AG,84,12,84,0,84,0,1,withdrawn
332,OSB-AG,84,12,84,0,84,0,1,withdrawn
333,OSB-AG,84,12,84,0,84,0,1,withdrawn
334,OSB-AG,84,12,84,0,84,0,1,withdrawn
337,OSB-AG,84,12,84,0,84,0,1,withdrawn
514,PPCCGT,84,12,84,0,84,0,1,withdrawn
515,PPCCGT,84,12,84,0,84,0,1,withdrawn
516,PPCCGT,84,12,84,0,84,0,0.797619047619048,withdrawn
517,PPCCGT,84,12,84,0,84,0,1,withdrawn
518,PPCCGT,84,12,84,0,84,0,0.511904761904762,withdrawn
519,PPCCGT,84,12,84,0,84,0,1,withdrawn
520,PPCCGT,84,12,84,0,84,0,0.238095238095238,withdrawn
521,PPCCGT,84,12,84,0,84,0,0.297619047619048,withdrawn
522,PPCCGT,84,12,84,0,84,0,0.571428571428571,priced_out
523,PPCCGT,84,12,84,0,84,0,1,withdrawn
524,PPCCGT,84,12,84,0,84,0,1,withdrawn
525,PPCCGT,84,12,84,0,84,0,1,withdrawn
526,PPCCGT,84,12,84,0,84,0,1,withdrawn
529,PPCCGT,84,12,84,0,84,0,1,withdrawn
530,PPCCGT,84,12,84,0,84,0,0.380952380952381,withdrawn
531,PPCCGT,84,12,84,0,84,0,0.452380952380952,withdrawn
532,PPCCGT,84,12,84,0,84,0,1,withdrawn
533,PPCCGT,84,12,84,0,84,0,0,committed_cheap
534,PPCCGT,84,12,84,0,84,0,1,withdrawn
535,PPCCGT,84,12,84,0,84,0,0.678571428571429,withdrawn
536,PPCCGT,84,12,84,0,84,0,0.857142857142857,withdrawn
537,PPCCGT,84,12,84,0,84,0,1,withdrawn
696,TORRB2,84,12,84,0,84,0,1,withdrawn
697,TORRB2,84,12,84,0,84,0,1,withdrawn
698,TORRB2,84,12,84,0,84,0,1,withdrawn
699,TORRB2,84,12,84,0,84,0,1,withdrawn
704,TORRB2,84,12,84,0,84,0,1,withdrawn
705,TORRB2,84,12,84,0,84,0,1,withdrawn
706,TORRB2,84,12,84,0,84,0,1,withdrawn
708,TORRB2,84,12,84,0,84,0,0.285714285714286,withdrawn
710,TORRB2,84,12,84,0,84,0,1,withdrawn
712,TORRB2,84,12,84,0,84,0,1,withdrawn
714,TORRB2,84,12,84,0,84,0,1,priced_out
716,TORRB2,84,12,84,0,84,0,0.154761904761905,withdrawn
717,TORRB2,84,12,84,0,84,0,1,withdrawn
718,TORRB2,84,12,84,0,84,0,1,withdrawn
721,TORRB2,84,12,84,0,84,0,1,withdrawn
723,TORRB2,84,12,84,0,84,0,1,withdrawn
724,TORRB2,84,12,84,0,84,0,1,withdrawn
730,TORRB2,84,12,84,0,84,0,1,priced_out
731,TORRB2,84,12,84,0,84,0,1,withdrawn
732,TORRB2,84,12,84,0,84,0,1,withdrawn
733,TORRB2,84,12,84,0,84,0,1,withdrawn
735,TORRB2,84,12,84,0,84,0,1,withdrawn
736,TORRB2,84,12,84,0,84,0,1,withdrawn
737,TORRB2,84,12,84,0,84,0,1,withdrawn
746,TORRB2,84,12,84,0,84,0,1,withdrawn
747,TORRB2,84,12,84,0,84,0,0,committed_cheap
748,TORRB2,84,12,84,0,84,0,1,withdrawn
755,TORRB2,84,12,84,0,84,0,1,withdrawn
759,TORRB2,84,12,84,0,84,0,1,withdrawn
770,TORRB2,84,12,84,0,84,0,1,withdrawn
771,TORRB2,84,12,84,0,84,0,1,withdrawn
774,TORRB2,84,12,84,0,84,0,1,withdrawn
779,TORRB2,84,12,84,0,84,0,1,withdrawn
784,TORRB2,84,12,84,0,84,0,1,priced_out
787,TORRB2,84,12,84,0,84,0,1,priced_out
