DUID,cal_day,contam,clean,essential_day
PPCCGT,2022-01-01,clean,TRUE,FALSE
PPCCGT,2022-01-02,clean,TRUE,FALSE
PPCCGT,2022-01-03,clean,TRUE,FALSE
PPCCGT,2022-01-04,clean,TRUE,FALSE
PPCCGT,2022-01-05,clean,TRUE,FALSE
PPCCGT,2022-01-06,clean,TRUE,FALSE
PPCCGT,2022-01-07,clean,TRUE,FALSE
PPCCGT,2022-01-08,clean,TRUE,FALSE
PPCCGT,2022-01-09,clean,TRUE,FALSE
PPCCGT,2022-01-10,clean,TRUE,FALSE
PPCCGT,2022-01-11,clean,TRUE,FALSE
PPCCGT,2022-01-12,clean,TRUE,FALSE
PPCCGT,2022-01-13,clean,TRUE,FALSE
PPCCGT,2022-01-14,clean,TRUE,FALSE
PPCCGT,2022-01-15,clean,TRUE,FALSE
PPCCGT,2022-01-16,clean,TRUE,FALSE
PPCCGT,2022-01-17,clean,TRUE,FALSE
PPCCGT,2022-01-18,clean,TRUE,FALSE
PPCCGT,2022-01-19,clean,TRUE,FALSE
PPCCGT,2022-01-20,clean,TRUE,FALSE
PPCCGT,2022-01-21,clean,TRUE,FALSE
PPCCGT,2022-01-22,clean,TRUE,FALSE
PPCCGT,2022-01-23,clean,TRUE,FALSE
PPCCGT,2022-01-24,clean,TRUE,FALSE
PPCCGT,2022-01-25,clean,TRUE,FALSE
PPCCGT,2022-01-26,clean,TRUE,FALSE
PPCCGT,2022-01-27,clean,TRUE,FALSE
PPCCGT,2022-01-28,clean,TRUE,FALSE
PPCCGT,2022-01-29,clean,TRUE,FALSE
PPCCGT,2022-01-30,clean,TRUE,FALSE
PPCCGT,2022-01-31,clean,TRUE,FALSE
PPCCGT,2022-02-01,clean,TRUE,FALSE
PPCCGT,2022-02-02,clean,TRUE,FALSE
PPCCGT,2022-02-03,clean,TRUE,FALSE
PPCCGT,2022-02-04,clean,TRUE,FALSE
PPCCGT,2022-02-05,clean,TRUE,FALSE
PPCCGT,2022-02-06,clean,TRUE,FALSE
PPCCGT,2022-02-07,clean,TRUE,FALSE
PPCCGT,2022-02-08,clean,TRUE,FALSE
PPCCGT,2022-02-09,clean,TRUE,FALSE
PPCCGT,2022-02-10,clean,TRUE,FALSE
PPCCGT,2022-02-11,clean,TRUE,FALSE
PPCCGT,2022-02-12,clean,TRUE,FALSE
PPCCGT,2022-02-13,clean,TRUE,FALSE
PPCCGT,2022-02-14,clean,TRUE,FALSE
PPCCGT,2022-02-15,clean,TRUE,FALSE
PPCCGT,2022-02-16,clean,TRUE,FALSE
PPCCGT,2022-02-17,clean,TRUE,FALSE
PPCCGT,2022-02-18,clean,TRUE,FALSE
PPCCGT,2022-02-19,clean,TRUE,FALSE
PPCCGT,2022-02-20,clean,TRUE,FALSE
PPCCGT,2022-02-21,clean,TRUE,FALSE
PPCCGT,2022-02-22,clean,TRUE,FALSE
PPCCGT,2022-02-23,clean,TRUE,FALSE
PPCCGT,2022-02-24,clean,TRUE,FALSE
PPCCGT,2022-02-25,clean,TRUE,FALSE
PPCCGT,2022-02-26,clean,TRUE,FALSE
PPCCGT,2022-02-27,clean,TRUE,FALSE
PPCCGT,2022-02-28,clean,TRUE,FALSE
PPCCGT,2022-03-01,clean,TRUE,FALSE
PPCCGT,2022-03-02,clean,TRUE,FALSE
PPCCGT,2022-03-03,clean,TRUE,FALSE
PPCCGT,2022-03-04,clean,TRUE,FALSE
PPCCGT,2022-03-05,clean,TRUE,FALSE
PPCCGT,2022-03-06,clean,TRUE,FALSE
PPCCGT,2022-03-07,clean,TRUE,FALSE
PPCCGT,2022-03-08,clean,TRUE,FALSE
PPCCGT,2022-03-09,clean,TRUE,FALSE
PPCCGT,2022-03-10,clean,TRUE,FALSE
PPCCGT,2022-03-11,clean,TRUE,FALSE
PPCCGT,2022-03-12,clean,TRUE,FALSE
PPCCGT,2022-03-13,clean,TRUE,FALSE
PPCCGT,2022-03-14,clean,TRUE,FALSE
PPCCGT,2022-03-15,clean,TRUE,FALSE
PPCCGT,2022-03-16,clean,TRUE,FALSE
PPCCGT,2022-03-17,clean,TRUE,FALSE
PPCCGT,2022-03-18,clean,TRUE,FALSE
PPCCGT,2022-03-19,clean,TRUE,FALSE
PPCCGT,2022-03-20,clean,TRUE,FALSE
PPCCGT,2022-03-21,clean,TRUE,FALSE
PPCCGT,2022-03-22,clean,TRUE,FALSE
PPCCGT,2022-03-23,clean,TRUE,FALSE
