episode_id,duid,matched,entrytype,participant,rebid_category,mentions_direction,explanation
812,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~#110854
822,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~10 AEMO Direction as per Participant Notice #112421
833,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~PN #115650
845,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~PN #116204
846,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~PN# 116215
847,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~PN# 116230
848,TORRB2,TRUE,DAILY,TIPSCO,A,TRUE,010 AEMO direction~As Per Participant Notices #116261 and #116262
849,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~As Per Participant Notice #116314
865,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~MN #117569
868,TORRB2,TRUE,DAILY,TIPSCO,F,FALSE,11:02~F~00 Initial Bid
875,TORRB2,TRUE,DAILY,TIPSCO,F,FALSE,00 Initial Bid
876,TORRB2,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~Market Notice# 118370
891,TORRB2,TRUE,DAILY,TIPSCO,F,FALSE,00 Initial Bid
892,TORRB2,TRUE,DAILY,TIPSCO,F,FALSE,11:47~F~00 Initial Bid~
1170,TORRB3,TRUE,DAILY,TIPSCO,F,FALSE,00 Initial Bid
1181,TORRB3,TRUE,DAILY,TIPSCO,F,FALSE,12:22~F~00 Initial Bid
1191,TORRB3,TRUE,REBID,TIPSCO,A,TRUE,050 Chg in AEMO PD~50 PD (08:01) DEMAND_AND_NONSCHEDGEN change [SA] [72MW avg] for PE 10:0
1201,TORRB3,TRUE,DAILY,TIPSCO,F,FALSE,08:59~F~00 Initial Bid~
1206,TORRB3,TRUE,DAILY,TIPSCO,A,TRUE,010 AEMO direction~10 Notice - 119025 119026
1208,TORRB3,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~119239
1222,TORRB3,TRUE,DAILY,TIPSCO,F,FALSE,11:47~F~00 Initial Bid~
1426,TORRB4,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~PN #111394
1428,TORRB4,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~10 Notice 111487
1431,TORRB4,TRUE,REBID,TIPSCO,A,TRUE,010 AEMO direction~As Per Participant Notice #111627
1440,TORRB4,TRUE,DAILY,TIPSCO,F,FALSE,09:32~F~00 Initial Bid
1457,TORRB4,TRUE,REBID,TIPSCO,P,TRUE,010 Unexpected/plant limits~112 redist across portfolio - TIPS direction
