term,estimate,std.error,statistic,p.value,nobs,outcome,spec
essential_dayTRUE,1240.20056682407,1893.10015544886,0.655116193009883,0.523816538608878,131,composite,"clean matched, base"
srmc,11.8741424518105,69.56013791738,0.170703262059572,0.867085284104498,131,composite,"clean matched, base"
dem,5.9775571549905,7.75727358024261,0.770574492849529,0.454736161984859,131,composite,"clean matched, base"
ns,-3.35912523270831,2.00263292243402,-1.67735444428108,0.117338420892899,131,composite,"clean matched, base"
rrp,-6.82523616421127,7.09576761837639,-0.961874251143102,0.353663662958059,131,composite,"clean matched, base"
slope_mean,-285.802637589627,372.122350977461,-0.768034053420612,0.456192168671193,131,composite,"clean matched, base"
sat_share,366.024139618716,19751.5461653571,0.0185314170624626,0.985496317450801,131,composite,"clean matched, base"
essential_dayTRUE:comp_price_100,33.9234452890642,684.029956287788,0.0495935082626582,0.961200191703438,131,composite,"clean matched, base"
essential_dayTRUE,0.0290039990566947,0.0579142063522035,0.500809747444482,0.624876785105739,131,rank,"clean matched, base"
srmc,-0.00203973851638304,0.00234364818066031,-0.870326243168613,0.399908001713986,131,rank,"clean matched, base"
dem,0.000334973421480983,0.000265687270220946,1.26078084660367,0.229546408853563,131,rank,"clean matched, base"
ns,-9.36835805243302e-05,7.26429397095141e-05,-1.28964467708705,0.219646042238974,131,rank,"clean matched, base"
rrp,-0.000139054867194879,0.000240150952961015,-0.579031086407774,0.57246508390281,131,rank,"clean matched, base"
slope_mean,-0.0177071348635871,0.0142128491555331,-1.24585399238503,0.23480399333045,131,rank,"clean matched, base"
sat_share,0.571466191984587,0.557771191806311,1.02455307907518,0.324261970832202,131,rank,"clean matched, base"
essential_dayTRUE:comp_price_100,0.00649352116161689,0.0182591985018044,0.355630131354078,0.727821750330712,131,rank,"clean matched, base"
essential_dayTRUE,0.0566240163245774,0.114700985932266,0.493666343530956,0.629777114560676,131,A_withdrawal,"clean matched, base"
srmc,0.00130922450620982,0.00415914702003487,0.314781973299623,0.75792253261552,131,A_withdrawal,"clean matched, base"
dem,0.00027903409680568,0.000439300797506676,0.635177760635499,0.536332872461368,131,A_withdrawal,"clean matched, base"
ns,-0.000224463856974159,0.000128063562697101,-1.75275349402129,0.103178692375075,131,A_withdrawal,"clean matched, base"
rrp,-0.00041773283612085,0.000404593592911144,-1.0324751638185,0.320675980197175,131,A_withdrawal,"clean matched, base"
slope_mean,-0.0148939125567827,0.0216441547057518,-0.688126321367714,0.503467747844187,131,A_withdrawal,"clean matched, base"
sat_share,-0.16552680661098,1.14561596384011,-0.144487168331815,0.887331739753161,131,A_withdrawal,"clean matched, base"
essential_dayTRUE:comp_price_100,0.0113824323383038,0.0406888029711712,0.279743602837577,0.784075728765641,131,A_withdrawal,"clean matched, base"
essential_dayTRUE,427.245941068339,986.802687957603,0.432959847274651,0.680174629494811,39,B_pricing,"clean matched, base"
dem,2.99126102195633,4.41858928018826,0.676971954684344,0.523651693135771,39,B_pricing,"clean matched, base"
ns,1.23232994625136,2.06113515797762,0.597888955259256,0.571774998186416,39,B_pricing,"clean matched, base"
rrp,0.759622616388809,2.3424721270438,0.324282456819434,0.756731203857969,39,B_pricing,"clean matched, base"
slope_mean,-171.108160750277,462.33344784726,-0.370096867416794,0.724022967132667,39,B_pricing,"clean matched, base"
sat_share,9682.18802103651,13306.4572202098,0.727630793140885,0.494242554265678,39,B_pricing,"clean matched, base"
essential_dayTRUE:comp_price_100,-329.540117119803,460.685696250219,-0.715325263627927,0.501282417684195,39,B_pricing,"clean matched, base"
