term,estimate,std.error,statistic,p.value,nobs,sample,outcome,loss
essential_dayTRUE,-1341.85284573603,1272.7160358583,-1.05432225879916,0.308422751139315,458,BASE: exclude suspension days,composite,no loss control
srmc,-183.130718405663,66.2547460089824,-2.76403924906505,0.0144714986187131,458,BASE: exclude suspension days,composite,no loss control
dem,-3.74213281636648,2.58189589154436,-1.44937401566882,0.167817590901082,458,BASE: exclude suspension days,composite,no loss control
ns,2.1810186007699,1.34125443353473,1.62610355368747,0.124747681755952,458,BASE: exclude suspension days,composite,no loss control
rrp,-4.56502233348956,4.04278885986017,-1.1291765391991,0.276558750450327,458,BASE: exclude suspension days,composite,no loss control
slope_mean,-268.644549862976,194.237636934408,-1.38307155144033,0.186885253895023,458,BASE: exclude suspension days,composite,no loss control
sat_share,9998.20083091618,9601.00654277322,1.04137006743756,0.314198519349047,458,BASE: exclude suspension days,composite,no loss control
essential_dayTRUE:comp_price_100,665.521974704755,492.148219132033,1.35227955488387,0.19632282297525,458,BASE: exclude suspension days,composite,no loss control
essential_dayTRUE,-1027.55716953729,1220.85266695948,-0.841671724481232,0.413189701794592,458,BASE: exclude suspension days,composite,with loss control
srmc,-185.51035222661,68.3818895622743,-2.71285794256487,0.0160396783075813,458,BASE: exclude suspension days,composite,with loss control
dem,-3.83817269903389,2.33014076149625,-1.64718490936543,0.120303779229268,458,BASE: exclude suspension days,composite,with loss control
ns,2.96579768561865,1.24960667634139,2.37338495525803,0.0314151661075965,458,BASE: exclude suspension days,composite,with loss control
rrp,-2.18900316553959,2.2404236968449,-0.977048746905451,0.344040484524617,458,BASE: exclude suspension days,composite,with loss control
slope_mean,-222.425417040668,196.111323940102,-1.13417936594321,0.274520444588219,458,BASE: exclude suspension days,composite,with loss control
sat_share,10242.6624907665,9445.23043925734,1.08442695566164,0.295298304058189,458,BASE: exclude suspension days,composite,with loss control
exp_loss,6.09743614729425,5.55243846391093,1.09815465527905,0.289452223313846,458,BASE: exclude suspension days,composite,with loss control
essential_dayTRUE:comp_price_100,471.179375708623,577.628030225678,0.815714181191197,0.427427353311024,458,BASE: exclude suspension days,composite,with loss control
essential_dayTRUE:exp_loss,1.96682668706232,7.9638834646584,0.246968290757966,0.808280968125733,458,BASE: exclude suspension days,composite,with loss control
essential_dayTRUE,-0.0415782172031064,0.0376423021920935,-1.10456095354974,0.286753614540389,458,BASE: exclude suspension days,rank,no loss control
srmc,-0.00348477189618185,0.00124894334213402,-2.79017612618644,0.0137290910949187,458,BASE: exclude suspension days,rank,no loss control
dem,-2.87560272852208e-05,4.16012857905703e-05,-0.691229291084529,0.499980251349258,458,BASE: exclude suspension days,rank,no loss control
