hh,PPCCGT,TORRB2,TORRB3,TORRB4
0,29.7,49,39.3,44.2
1,29.7,48,38.5,43.3
2,30.3,47.1,37.7,43.3
3,40.6,47.1,37.6,43.3
4,61.4,46.1,33.5,43.3
5,81.1,43.1,33.6,44.2
6,91.2,39.1,32.4,43.3
7,92.5,35.3,29,40.8
8,92.2,31.4,28.7,38.9
9,91.6,22.5,24.7,28.3
10,89.9,12.3,22.1,18.3
11,81.6,8.8,22.4,11.4
12,48.4,11.8,19.7,8.3
13,23.5,11.8,18.9,10
14,14.4,13.7,19.7,10
15,11.9,13.7,19.7,10
16,11.4,13.7,19.7,10
17,11.4,16.7,20.5,13.3
18,12.1,21.6,32.8,24.2
19,13.5,35.3,46.7,35
20,19.4,49,62.3,50.8
21,27.5,67.6,74.6,74.2
22,30.3,72.5,78.7,78.3
23,30.9,72.5,80.3,78.3
