DUID,cal_day,dir,gas_gj,exp_loss_wk,essential_pm3,directions_prior7d,contam_day
PPCCGT,2022-01-05,ENTER absent state,10.17,48.7,0,1,clean
PPCCGT,2022-01-06,EXIT absent state,10.17,56.4,0,1,clean
PPCCGT,2022-01-19,ENTER absent state,10.17,49,0,0,clean
PPCCGT,2022-01-20,EXIT absent state,10.17,52.5,0,0,clean
PPCCGT,2022-02-25,ENTER absent state,10.17,17.6,0,0,clean
PPCCGT,2022-02-26,EXIT absent state,10.17,14,0,0,clean
PPCCGT,2022-03-08,ENTER absent state,10.17,61.5,0,0,clean
PPCCGT,2022-03-10,EXIT absent state,10.17,60.6,0,0,clean
PPCCGT,2022-03-31,ENTER absent state,10.17,86.1,1,0,clean
PPCCGT,2022-05-11,EXIT absent state,29.85,-211.8,0,0,clean
PPCCGT,2022-06-14,ENTER absent state,29.85,-103.2,1,0,clean
PPCCGT,2022-06-15,EXIT absent state,29.85,-96.9,1,0,clean
PPCCGT,2022-06-19,ENTER absent state,29.85,3.1,0,0,clean
PPCCGT,2022-06-20,EXIT absent state,29.85,-9.2,0,0,clean
PPCCGT,2022-07-16,ENTER absent state,27.29,-231.1,0,0,clean
PPCCGT,2022-07-17,EXIT absent state,27.29,-218.6,0,0,clean
PPCCGT,2022-08-02,ENTER absent state,27.29,122.2,0,0,clean
PPCCGT,2022-08-05,EXIT absent state,27.29,132.8,0,0,clean
PPCCGT,2022-08-28,ENTER absent state,27.29,-146.3,0,0,clean
PPCCGT,2022-08-29,EXIT absent state,27.29,-144.5,0,0,clean
PPCCGT,2022-09-08,ENTER absent state,27.29,-18.2,0,0,clean
PPCCGT,2022-09-09,EXIT absent state,27.29,-28.6,0,0,clean
PPCCGT,2022-09-14,ENTER absent state,27.29,97.1,0,0,clean
PPCCGT,2022-09-15,EXIT absent state,27.29,115.5,0,0,clean
PPCCGT,2022-09-16,ENTER absent state,27.29,137.9,0,0,clean
PPCCGT,2022-09-17,EXIT absent state,27.29,153.7,0,1,continuation-active
PPCCGT,2022-09-20,ENTER absent state,27.29,131.6,0,1,clean
PPCCGT,2022-09-21,EXIT absent state,27.29,109.9,0,1,clean
PPCCGT,2022-10-27,ENTER absent state,18.59,65.7,0,0,clean
PPCCGT,2022-10-28,EXIT absent state,18.59,79.2,0,0,clean
PPCCGT,2022-10-30,ENTER absent state,18.59,113.5,0,0,clean
PPCCGT,2022-11-02,EXIT absent state,18.59,98.9,0,0,clean
PPCCGT,2022-11-20,ENTER absent state,18.59,115.8,0,0,clean
PPCCGT,2022-11-21,EXIT absent state,18.59,128.7,0,0,clean
PPCCGT,2022-12-01,ENTER absent state,18.59,69.8,0,0,clean
PPCCGT,2022-12-02,EXIT absent state,18.59,63.1,0,0,clean
PPCCGT,2022-12-12,ENTER absent state,18.59,129.4,0,0,clean
PPCCGT,2022-12-13,EXIT absent state,18.59,133.8,0,0,clean
PPCCGT,2022-12-14,ENTER absent state,18.59,143.2,0,0,clean
PPCCGT,2022-12-15,EXIT absent state,18.59,151.2,0,0,clean
PPCCGT,2022-12-16,ENTER absent state,18.59,157.9,0,0,clean
PPCCGT,2022-12-19,EXIT absent state,18.59,138.6,0,0,clean
PPCCGT,2023-01-03,ENTER absent state,12.59,83.2,0,0,clean
PPCCGT,2023-01-07,EXIT absent state,12.59,73.4,0,0,clean
PPCCGT,2023-01-15,ENTER absent state,12.59,6.4,0,0,clean
PPCCGT,2023-01-16,EXIT absent state,12.59,17.9,0,0,clean
PPCCGT,2023-01-19,ENTER absent state,12.59,63.3,0,0,clean
PPCCGT,2023-01-21,EXIT absent state,12.59,58.9,0,0,clean
PPCCGT,2023-03-07,ENTER absent state,12.59,70.2,0,0,clean
PPCCGT,2023-03-08,EXIT absent state,12.59,64.7,0,0,clean
PPCCGT,2023-04-15,ENTER absent state,15.18,51.8,0,0,clean
PPCCGT,2023-04-17,EXIT absent state,15.18,28.8,0,0,clean
PPCCGT,2023-04-26,ENTER absent state,15.18,45.4,0,0,clean
PPCCGT,2023-04-27,EXIT absent state,15.18,38.1,0,1,continuation-active
PPCCGT,2023-06-07,ENTER absent state,15.18,78.9,0,0,clean
PPCCGT,2023-06-09,EXIT absent state,15.18,60.4,0,0,clean
PPCCGT,2023-06-12,ENTER absent state,15.18,61.5,0,0,clean
PPCCGT,2023-06-13,EXIT absent state,15.18,57.7,0,0,clean
PPCCGT,2023-06-16,ENTER absent state,15.18,105.6,0,0,clean
PPCCGT,2023-06-18,EXIT absent state,15.18,70,0,0,clean
PPCCGT,2023-06-24,ENTER absent state,15.18,29.3,0,0,clean
PPCCGT,2023-06-26,EXIT absent state,15.18,-30.5,0,0,clean
PPCCGT,2023-07-05,ENTER absent state,10.8,-17,0,0,clean
PPCCGT,2023-07-09,EXIT absent state,10.8,37.4,0,0,clean
PPCCGT,2023-07-13,ENTER absent state,10.8,24.3,0,0,clean
PPCCGT,2023-07-15,EXIT absent state,10.8,18.5,0,1,boundary
PPCCGT,2023-07-27,ENTER absent state,10.8,-0.5,0,0,clean
PPCCGT,2023-07-28,EXIT absent state,10.8,10.8,0,0,clean
PPCCGT,2023-08-03,ENTER absent state,10.8,0.9,0,0,clean
PPCCGT,2023-08-04,EXIT absent state,10.8,-9.5,0,0,clean
PPCCGT,2023-08-09,ENTER absent state,10.8,-227.6,0,0,clean
PPCCGT,2023-08-10,EXIT absent state,10.8,-247.8,0,0,clean
PPCCGT,2023-09-03,ENTER absent state,10.8,-21,0,0,clean
PPCCGT,2023-09-04,EXIT absent state,10.8,40.2,0,0,clean
PPCCGT,2023-09-07,ENTER absent state,10.8,67.5,0,1,clean
PPCCGT,2023-09-08,EXIT absent state,10.8,52.7,0,1,clean
PPCCGT,2023-09-30,ENTER absent state,10.8,57,0,0,clean
PPCCGT,2023-10-01,EXIT absent state,11.23,62.1,0,0,clean
PPCCGT,2023-10-11,ENTER absent state,11.23,61.2,0,0,clean
PPCCGT,2023-10-13,EXIT absent state,11.23,68.2,0,0,clean
PPCCGT,2023-10-20,ENTER absent state,11.23,63.9,0,0,clean
PPCCGT,2023-10-22,EXIT absent state,11.23,73.9,0,0,clean
PPCCGT,2023-10-24,ENTER absent state,11.23,91.8,2,0,clean
PPCCGT,2023-10-26,EXIT absent state,11.23,87.8,3,0,clean
PPCCGT,2023-11-04,ENTER absent state,11.23,75.7,0,1,clean
PPCCGT,2023-11-05,EXIT absent state,11.23,68.9,0,1,clean
