DUID,cal_day,exit_day,atype
PPCCGT,2022-01-01,FALSE,
PPCCGT,2022-01-02,TRUE,partial
PPCCGT,2022-01-03,TRUE,partial
PPCCGT,2022-01-04,TRUE,partial
PPCCGT,2022-01-05,TRUE,full exit
PPCCGT,2022-01-06,TRUE,partial
PPCCGT,2022-01-07,TRUE,partial
PPCCGT,2022-01-08,TRUE,partial
PPCCGT,2022-01-09,TRUE,partial
PPCCGT,2022-01-10,FALSE,
PPCCGT,2022-01-11,FALSE,
PPCCGT,2022-01-12,FALSE,
PPCCGT,2022-01-13,TRUE,partial
PPCCGT,2022-01-14,TRUE,partial
PPCCGT,2022-01-15,TRUE,partial
PPCCGT,2022-01-16,TRUE,partial
PPCCGT,2022-01-17,TRUE,partial
PPCCGT,2022-01-18,TRUE,partial
PPCCGT,2022-01-19,TRUE,full exit
PPCCGT,2022-01-20,TRUE,partial
PPCCGT,2022-01-21,TRUE,partial
PPCCGT,2022-01-22,TRUE,partial
PPCCGT,2022-01-23,TRUE,partial
PPCCGT,2022-01-24,FALSE,
PPCCGT,2022-01-25,FALSE,
PPCCGT,2022-01-26,FALSE,
PPCCGT,2022-01-27,FALSE,
PPCCGT,2022-01-28,FALSE,
PPCCGT,2022-01-29,TRUE,partial
PPCCGT,2022-01-30,TRUE,partial
PPCCGT,2022-01-31,FALSE,
PPCCGT,2022-02-01,TRUE,partial
PPCCGT,2022-02-02,TRUE,partial
PPCCGT,2022-02-03,TRUE,partial
PPCCGT,2022-02-04,TRUE,partial
PPCCGT,2022-02-05,TRUE,partial
PPCCGT,2022-02-06,TRUE,partial
PPCCGT,2022-02-07,TRUE,partial
PPCCGT,2022-02-08,FALSE,
PPCCGT,2022-02-09,FALSE,
PPCCGT,2022-02-10,TRUE,partial
PPCCGT,2022-02-11,TRUE,partial
PPCCGT,2022-02-12,TRUE,partial
PPCCGT,2022-02-13,TRUE,partial
PPCCGT,2022-02-14,FALSE,
PPCCGT,2022-02-15,FALSE,
PPCCGT,2022-02-16,FALSE,
PPCCGT,2022-02-17,TRUE,partial
PPCCGT,2022-02-18,TRUE,partial
PPCCGT,2022-02-19,TRUE,partial
PPCCGT,2022-02-20,TRUE,partial
PPCCGT,2022-02-21,TRUE,partial
PPCCGT,2022-02-22,TRUE,partial
PPCCGT,2022-02-23,FALSE,
PPCCGT,2022-02-24,FALSE,
PPCCGT,2022-02-25,TRUE,full exit
PPCCGT,2022-02-26,TRUE,partial
PPCCGT,2022-02-27,FALSE,
PPCCGT,2022-02-28,FALSE,
PPCCGT,2022-03-01,FALSE,
PPCCGT,2022-03-02,FALSE,
PPCCGT,2022-03-03,FALSE,
PPCCGT,2022-03-04,FALSE,
PPCCGT,2022-03-05,TRUE,partial
PPCCGT,2022-03-06,TRUE,partial
PPCCGT,2022-03-07,TRUE,partial
PPCCGT,2022-03-08,TRUE,full exit
PPCCGT,2022-03-09,TRUE,full exit
PPCCGT,2022-03-10,TRUE,partial
PPCCGT,2022-03-11,TRUE,partial
PPCCGT,2022-03-12,TRUE,partial
PPCCGT,2022-03-13,FALSE,
PPCCGT,2022-03-14,FALSE,
PPCCGT,2022-03-15,FALSE,
PPCCGT,2022-03-16,FALSE,
PPCCGT,2022-03-17,FALSE,
PPCCGT,2022-03-18,TRUE,partial
PPCCGT,2022-03-19,TRUE,partial
PPCCGT,2022-03-20,TRUE,partial
PPCCGT,2022-03-21,FALSE,
PPCCGT,2022-03-22,FALSE,
PPCCGT,2022-03-23,TRUE,partial
PPCCGT,2022-03-24,TRUE,partial
PPCCGT,2022-03-25,TRUE,partial
