cat,DUID,example
other,TORRB3,010 Change in f/cast fuel consumpt~010 conserve gas for limits - MAP limit
other,PPCCGT,Revised Tolling Nomination - SL
other,PPCCGT,"Respond to 30 MPD, $172.00. PE 0330-0700"
other,PPCCGT,Revised Tolling Nomination - SL
other,TORRB3,12:31~F~001 Primary Response to D+1 Predispatch~P30 Published
other,PPCCGT,update commissioning profile.SL
other,TORRB2,001 Primary Response to D+1 Predispatch~P30 Published
other,PPCCGT,Updated commissioning profile. SL.
other,PPCCGT,Revised Tolling Nomination # 3495 - SL
other,PPCCGT,Update Avail - SL
other,PPCCGT,Energy - FCAS co-optimisation - SL
other,PPCCGT,Primary Response to Predispatch D+1 - SL
other,TORRB3,12:30~F~001 Primary Response to D+1 Predispatch
other,PPCCGT,Revised Tolling Nomination #3780 - SL
other,PPCCGT,Revised Tolling Nomination #3266 - SL
other,TORRB3,001 Primary Response to D+1 Predispatch~P30 Published
other,PPCCGT,Energy - FCAS co-optimisation - SL
other,PPCCGT,Respond to SA AVG $419.89 DI1540- SL
other,TORRB4,12:32~F~001 Primary Response to D+1 Predispatch
other,PPCCGT,Update avail: revised commissioning plan. SL.
direction/RTS,PPCCGT,Update RTS Profile
direction/RTS,PPCCGT,Update RTS Profile - SL
direction/RTS,PPCCGT,AEMO 5MPD vs 30MPD - SA Price Decrease $134.36 DI 15:50. SL.
direction/RTS,TORRB3,010 AEMO direction~MN #119265
direction/RTS,TORRB4,010 AEMO direction~MN #117384
direction/RTS,TORRB2,17:00~A~010 AEMO direction~#102348
direction/RTS,PPCCGT,Update RTS Profile-SL
direction/RTS,TORRB2,010 AEMO direction~10 as per PN#96805
direction/RTS,TORRB3,"010 AEMO direction~AEMO direction ended, redist portfolio"
direction/RTS,TORRB3,010 AEMO direction~PN #106083
direction/RTS,TORRB3,040 Chg in AEMO DISP~45 Price increase vs PD [SA] $826.36 15:05 vs $560 15:30
direction/RTS,TORRB2,010 AEMO direction~PN#s 102785 & 102786
direction/RTS,TORRB3,050 Chg in AEMO PD~50 PD AVAILABLEGENERATION decrease [MAINLAND] [130MW] PE1100-1600 in PD 1001
direction/RTS,PPCCGT,Change in AEMO PD - SA Price Decrease $32.05 DI2300 vs D1 2232 for P30 0130-0230
direction/RTS,TORRB3,010 AEMO direction~10 B3 119112 B4 119114
