grp,cat,hh,N
quiet,other,13,471
quiet,other,16,25
quiet,other,23,6
quiet,other,14,209
quiet,other,21,13
quiet,other,15,59
quiet,other,20,15
quiet,other,22,19
quiet,other,17,17
quiet,other,19,26
quiet,plant/technical,13,19
quiet,other,12,171
quiet,direction/RTS,20,12
quiet,direction/RTS,22,17
quiet,direction/RTS,14,34
quiet,direction/RTS,19,21
quiet,direction/RTS,15,21
quiet,plant/technical,17,12
quiet,direction/RTS,18,10
quiet,other,18,23
quiet,direction/RTS,17,17
quiet,direction/RTS,16,32
quiet,direction/RTS,21,10
quiet,price/forecast,17,4
quiet,price/forecast,13,16
quiet,price/forecast,21,12
quiet,plant/technical,19,7
quiet,plant/technical,18,14
quiet,price/forecast,18,7
quiet,plant/technical,20,3
quiet,price/forecast,22,8
quiet,price/forecast,14,11
quiet,direction/RTS,23,6
quiet,plant/technical,22,9
quiet,price/forecast,16,14
quiet,plant/technical,16,16
D-3,other,13,42
D-1,other,13,59
quiet,direction/RTS,13,10
quiet,price/forecast,19,3
quiet,price/forecast,15,18
quiet,plant/technical,23,6
quiet,direction/RTS,12,2
D-2,other,13,35
D-2,other,18,1
quiet,price/forecast,23,6
D-3,other,14,20
D-3,other,16,3
D-3,other,19,1
D-3,other,21,1
D-2,other,12,11
D-2,direction/RTS,18,1
D-1,other,22,1
D-3,other,15,7
D-2,other,14,31
D-1,plant/technical,16,9
D-2,price/forecast,15,1
D-2,plant/technical,15,6
D-1,other,12,12
D-1,other,14,45
D-3,other,12,6
D-2,direction/RTS,17,8
D-1,other,17,2
D-1,price/forecast,13,2
D-3,other,18,2
D-2,price/forecast,14,1
quiet,plant/technical,15,10
D-1,price/forecast,16,2
D-1,plant/technical,15,6
quiet,plant/technical,12,9
quiet,price/forecast,20,2
quiet,plant/technical,21,7
quiet,plant/technical,14,20
D-3,price/forecast,13,1
D-2,direction/RTS,14,4
D-1,direction/RTS,14,8
D-1,price/forecast,14,1
D-1,direction/RTS,22,8
D-3,direction/RTS,15,2
D-3,direction/RTS,14,8
D-1,direction/RTS,16,15
D-2,direction/RTS,15,6
quiet,price/forecast,12,1
D-2,other,15,6
D-3,plant/technical,17,4
D-3,plant/technical,22,1
D-1,other,15,6
D-1,direction/RTS,19,5
D-1,direction/RTS,20,3
D-3,direction/RTS,21,2
D-3,direction/RTS,22,7
D-1,other,16,2
D-3,price/forecast,15,1
D-3,plant/technical,13,1
D-1,direction/RTS,17,9
D-3,plant/technical,14,3
D-2,plant/technical,18,1
D-1,direction/RTS,18,4
D-3,plant/technical,21,2
D-1,direction/RTS,13,1
D-3,direction/RTS,19,1
D-1,direction/RTS,23,7
D-3,direction/RTS,13,1
D-2,direction/RTS,19,1
D-3,plant/technical,19,4
D-2,other,16,2
D-1,plant/technical,17,1
D-1,plant/technical,19,7
D-3,plant/technical,20,1
D-3,direction/RTS,18,3
D-3,direction/RTS,20,1
D-1,direction/RTS,15,5
D-1,plant/technical,14,4
D-1,plant/technical,13,3
D-2,other,17,1
D-1,direction/RTS,12,1
D-3,plant/technical,16,2
D-2,direction/RTS,20,2
D-2,other,20,1
D-2,plant/technical,16,2
D-1,plant/technical,18,1
D-1,plant/technical,23,1
D-1,plant/technical,20,1
D-3,direction/RTS,16,1
D-2,direction/RTS,22,3
D-3,direction/RTS,23,1
D-2,direction/RTS,13,1
D-1,direction/RTS,21,2
D-2,direction/RTS,21,1
D-3,plant/technical,23,1
D-2,plant/technical,12,1
D-3,plant/technical,12,1
D-2,direction/RTS,16,1
