grp,band,price_med,gross_mwh,net_mwh,nd,gross_per_day,net_per_day
D-1,1,-1000,63011,6024,182,346.2,33.1
D-1,2,0,1275,-165,182,7,-0.91
D-1,3,100,37430,-10338,182,205.7,-56.8
D-1,4,176,36608,3787,182,201.1,20.81
D-1,5,230,45129,9668,182,248,53.12
D-1,6,350,39902,13453,182,219.2,73.92
D-1,7,561,14314,-3476,182,78.6,-19.1
D-1,8,3998,26172,11932,182,143.8,65.56
D-1,9,12919,37908,-6898,182,208.3,-37.9
D-1,10,15491,195918,-23986,182,1076.5,-131.79
D-2,1,-1000,50370,-6245,155,325,-40.29
D-2,2,0,1970,-530,155,12.7,-3.42
D-2,3,100,26492,7397,155,170.9,47.72
D-2,4,176,27971,-8686,155,180.5,-56.04
D-2,5,230,29385,1405,155,189.6,9.06
D-2,6,350,29533,-3391,155,190.5,-21.88
D-2,7,561,13914,6204,155,89.8,40.03
D-2,8,3998,32492,8100,155,209.6,52.26
D-2,9,12919,34440,-10110,155,222.2,-65.23
D-2,10,16573,161931,5856,155,1044.7,37.78
D-3,1,-1000,43240,-14911,130,332.6,-114.7
D-3,2,0,1295,265,130,10,2.04
D-3,3,100,22040,4680,130,169.5,36
D-3,4,176,24448,1832,130,188.1,14.09
D-3,5,230,19526,3178,130,150.2,24.45
D-3,6,350,31007,-11374,130,238.5,-87.49
D-3,7,561,9696,-3246,130,74.6,-24.97
D-3,8,3998,15360,-6042,130,118.2,-46.48
D-3,9,12919,26342,-8358,130,202.6,-64.29
D-3,10,16573,129486,33975,130,996,261.35
pre-essential-onset D-1,1,-1000,12245,-5409,32,382.7,-169.03
pre-essential-onset D-1,2,0,0,0,32,0,0
pre-essential-onset D-1,3,100,904,828,32,28.2,25.88
pre-essential-onset D-1,4,176,4701,-14,32,146.9,-0.44
pre-essential-onset D-1,5,230,8878,-1288,32,277.4,-40.25
pre-essential-onset D-1,6,350,2782,-1332,32,86.9,-41.62
pre-essential-onset D-1,7,561,3503,2502,32,109.5,78.19
pre-essential-onset D-1,8,3968,5448,3442,32,170.2,107.56
pre-essential-onset D-1,9,12921,7880,2245,32,246.2,70.16
pre-essential-onset D-1,10,15491,32410,-974,32,1012.8,-30.44
quiet,1,-999,1158210,6583,1760,658.1,3.74
quiet,2,0,33296,-942,1760,18.9,-0.54
quiet,3,100,342268,-6953,1760,194.5,-3.95
quiet,4,176,308737,10298,1760,175.4,5.85
quiet,5,230,343092,-287,1760,194.9,-0.16
quiet,6,350,376068,13020,1760,213.7,7.4
quiet,7,561,211387,-371,1760,120.1,-0.21
quiet,8,3998,162943,1510,1760,92.6,0.86
quiet,9,12919,317644,-10728,1760,180.5,-6.1
quiet,10,15491,2025781,-12129,1760,1151,-6.89
