grp,hh,net_dma,gross_dma,nd,net_per_day,gross_per_day
D-1,0,-94.4166666666667,8609.58333333334,182,-0.52,47.31
D-1,1,82.0833333333333,8784.08333333333,182,0.45,48.26
D-1,2,240,8940,182,1.32,49.12
D-1,3,479.166666666667,8153.16666666667,182,2.63,44.8
D-1,4,-300.833333333333,7420.16666666667,182,-1.65,40.77
D-1,5,-292.666666666667,6653.33333333333,182,-1.61,36.56
D-1,6,-28,6223,182,-0.15,34.19
D-1,7,-426.75,6590.08333333333,182,-2.34,36.21
D-1,8,-660.416666666667,6467.08333333333,182,-3.63,35.53
D-1,9,-492.333333333333,6649.66666666667,182,-2.71,36.54
D-1,10,-89.75,6941.91666666667,182,-0.49,38.14
D-1,11,-79.75,7793.41666666667,182,-0.44,42.82
D-1,12,328.333333333333,8989.5,182,1.8,49.39
D-1,13,1187,9486.83333333334,182,6.52,52.13
D-1,14,1150.08333333333,9588.58333333333,182,6.32,52.68
D-1,15,1583.25,9827.58333333333,182,8.7,54
D-1,16,1909.16666666667,9909.16666666667,182,10.49,54.45
D-1,17,1850.5,10224.5,182,10.17,56.18
D-1,18,-39,11380,182,-0.21,62.53
D-1,19,-613,12757,182,-3.37,70.09
D-1,20,-2396.5,13402.5,182,-13.17,73.64
D-1,21,-4984.5,13456.5,182,-27.39,73.94
D-1,22,-5036.5,13159.5,182,-27.67,72.3
D-1,23,-5011.5,12935.5,182,-27.54,71.07
D-2,0,-2208.33333333333,6422.66666666667,155,-14.25,41.44
D-2,1,-2277.5,6354.5,155,-14.69,41
D-2,2,-2357.5,6274.5,155,-15.21,40.48
D-2,3,-2634.16666666667,5998.83333333333,155,-16.99,38.7
D-2,4,-2114.66666666667,4813.33333333333,155,-13.64,31.05
D-2,5,-2113.33333333333,4774.66666666667,155,-13.63,30.8
D-2,6,-1418,4092,155,-9.15,26.4
D-2,7,-930.583333333333,4194.41666666667,155,-6,27.06
D-2,8,-795.25,4526.75,155,-5.13,29.2
D-2,9,-674,5001,155,-4.35,32.26
D-2,10,-499,5098.33333333333,155,-3.22,32.89
D-2,11,24.25,5325.75,155,0.16,34.36
D-2,12,56.8333333333333,6074.5,155,0.37,39.19
D-2,13,485.666666666667,7127.33333333333,155,3.13,45.98
D-2,14,9.33333333333333,7582.33333333333,155,0.06,48.92
D-2,15,-441.583333333333,7364.75,155,-2.85,47.51
D-2,16,-606,7478,155,-3.91,48.25
D-2,17,-632.5,7113.5,155,-4.08,45.89
D-2,18,-205,7095,155,-1.32,45.77
D-2,19,-632.5,7488.5,155,-4.08,48.31
D-2,20,-1334.5,7974.5,155,-8.61,51.45
D-2,21,-1236,7677,155,-7.97,49.53
D-2,22,-989.5,7033.5,155,-6.38,45.38
D-2,23,-748.5,6793.5,155,-4.83,43.83
D-3,0,871.833333333333,3481.83333333333,130,6.71,26.78
D-3,1,901.916666666667,3510.91666666667,130,6.94,27.01
D-3,2,836.833333333333,3444.83333333333,130,6.44,26.5
D-3,3,553.5,3188.5,130,4.26,24.53
D-3,4,719.666666666667,3266.33333333333,130,5.54,25.13
D-3,5,649.5,4074.5,130,5,31.34
D-3,6,83,3873,130,0.64,29.79
D-3,7,142.5,4032.5,130,1.1,31.02
D-3,8,293.5,4062.5,130,2.26,31.25
D-3,9,449.25,4219.25,130,3.46,32.46
D-3,10,498.833333333333,4304.5,130,3.84,33.11
D-3,11,-265.666666666667,4769.5,130,-2.04,36.69
D-3,12,-1059.83333333333,5070,130,-8.15,39
D-3,13,-1181.83333333333,4796.83333333333,130,-9.09,36.9
D-3,14,-705.416666666667,4351.58333333333,130,-5.43,33.47
D-3,15,-592.833333333333,4482.16666666667,130,-4.56,34.48
D-3,16,-354.5,4521.5,130,-2.73,34.78
D-3,17,-528,4700,130,-4.06,36.15
D-3,18,-1057,4835,130,-8.13,37.19
D-3,19,-852,4836,130,-6.55,37.2
D-3,20,-668.5,4837.5,130,-5.14,37.21
