grp,station,hh,net,nd,net_per_day
D-1,PPCCGT,0,170.666666666667,21,8.13
D-1,PPCCGT,1,258,21,12.29
D-1,PPCCGT,2,375,21,17.86
D-1,PPCCGT,3,611.5,21,29.12
D-1,PPCCGT,4,-7.5,21,-0.36
D-1,PPCCGT,5,366.5,21,17.45
D-1,PPCCGT,6,620.5,21,29.55
D-1,PPCCGT,7,495.666666666667,21,23.6
D-1,PPCCGT,8,360.416666666667,21,17.16
D-1,PPCCGT,9,285,21,13.57
D-1,PPCCGT,10,407.666666666667,21,19.41
D-1,PPCCGT,11,101.666666666667,21,4.84
D-1,PPCCGT,12,317.333333333333,21,15.11
D-1,PPCCGT,13,1061,21,50.52
D-1,PPCCGT,14,850.083333333333,21,40.48
D-1,PPCCGT,15,1283.25,21,61.11
D-1,PPCCGT,16,1609.16666666667,21,76.63
D-1,PPCCGT,17,1695.5,21,80.74
D-1,PPCCGT,18,988.5,21,47.07
D-1,PPCCGT,19,1112,21,52.95
D-1,PPCCGT,20,1108.5,21,52.79
D-1,PPCCGT,21,-154.5,21,-7.36
D-1,PPCCGT,22,-31.5,21,-1.5
D-1,PPCCGT,23,93.5,21,4.45
D-1,Torrens,0,-265.083333333333,161,-1.65
D-1,Torrens,1,-175.916666666667,161,-1.09
D-1,Torrens,2,-135,161,-0.84
D-1,Torrens,3,-132.333333333333,161,-0.82
D-1,Torrens,4,-293.333333333333,161,-1.82
D-1,Torrens,5,-659.166666666667,161,-4.09
D-1,Torrens,6,-648.5,161,-4.03
D-1,Torrens,7,-922.416666666667,161,-5.73
D-1,Torrens,8,-1020.83333333333,161,-6.34
D-1,Torrens,9,-777.333333333333,161,-4.83
D-1,Torrens,10,-497.416666666667,161,-3.09
D-1,Torrens,11,-181.416666666667,161,-1.13
D-1,Torrens,12,11,161,0.07
D-1,Torrens,13,126,161,0.78
D-1,Torrens,14,300,161,1.86
D-1,Torrens,15,300,161,1.86
D-1,Torrens,16,300,161,1.86
D-1,Torrens,17,155,161,0.96
D-1,Torrens,18,-1027.5,161,-6.38
D-1,Torrens,19,-1725,161,-10.71
D-1,Torrens,20,-3505,161,-21.77
D-1,Torrens,21,-4830,161,-30
D-1,Torrens,22,-5005,161,-31.09
D-1,Torrens,23,-5105,161,-31.71
D-2,PPCCGT,0,-1457,19,-76.68
D-2,PPCCGT,1,-1455.5,19,-76.61
D-2,PPCCGT,2,-1455.5,19,-76.61
D-2,PPCCGT,3,-1705.5,19,-89.76
