DUID,d0,d1,ma1,ch1,ab1,ma0,ch0,ab0,d_ma,d_ch,d_ab,reg,material,grp
PPCCGT,2022-09-13,2022-09-15,57.2916666666667,54.9583333333333,18.5,124.545138888889,123.982638888889,12.0833333333333,-67.2534722222222,-69.0243055555555,6.41666666666667,478,TRUE,pre-direction
PPCCGT,2023-02-04,2023-02-06,154.388888888889,154.388888888889,8.58333333333333,184.375,184.375,14.5833333333333,-29.9861111111111,-29.9861111111111,-6,478,TRUE,pre-direction
PPCCGT,2023-04-04,2023-04-06,333.652777777778,333.600694444444,3,401.861111111111,401.861111111111,0,-68.2083333333333,-68.2604166666666,3,478,TRUE,pre-direction
PPCCGT,2023-04-23,2023-04-25,241.916666666667,241.916666666667,7.58333333333333,291.791666666667,291.791666666667,0,-49.875,-49.875,7.58333333333333,478,TRUE,pre-direction
PPCCGT,2023-05-24,2023-05-26,491.277777777778,491.277777777778,0,129.125,129.125,17.5,362.152777777778,362.152777777778,-17.5,478,TRUE,pre-direction
PPCCGT,2023-07-11,2023-07-13,0,0,24,435.861111111111,435.861111111111,0,-435.861111111111,-435.861111111111,24,478,TRUE,pre-direction
PPCCGT,2023-07-16,2023-07-18,369.631944444444,369.631944444444,0,432.652777777778,432.045138888889,0,-63.0208333333333,-62.4131944444445,0,478,TRUE,pre-direction
PPCCGT,2023-09-02,2023-09-04,214.760416666667,212.809027777778,11.75,286.854166666667,286.611111111111,9.08333333333333,-72.09375,-73.8020833333333,2.66666666666667,478,TRUE,pre-direction
PPCCGT,2023-10-24,2023-10-26,244.833333333333,243.961805555556,8.58333333333333,0,0,24,244.833333333333,243.961805555556,-15.4166666666667,478,TRUE,pre-direction
PPCCGT,2023-10-27,2023-10-29,227.333333333333,226.857638888889,12.0833333333333,259.229166666667,259.1875,8.58333333333333,-31.8958333333333,-32.3298611111111,3.5,478,TRUE,pre-direction
PPCCGT,2023-11-25,2023-11-27,0,0,24,263.125,263.125,9.08333333333333,-263.125,-263.125,14.9166666666667,478,TRUE,pre-direction
PPCCGT,2023-12-31,2024-01-02,166.701388888889,164.444444444444,12.0833333333333,0,0,24,166.701388888889,164.444444444444,-11.9166666666667,478,TRUE,pre-direction
PPCCGT,2024-03-19,2024-03-21,156.572916666667,156.572916666667,8.66666666666667,39.7916666666667,33.6875,20,116.78125,122.885416666667,-11.3333333333333,478,TRUE,pre-direction
PPCCGT,2024-04-01,2024-04-03,242.666666666667,230.833333333333,0,44.9791666666667,40.0208333333333,19.5,197.6875,190.8125,-19.5,478,TRUE,pre-direction
PPCCGT,2024-04-04,2024-04-06,202.572916666667,191.114583333333,8.16666666666667,141.895833333333,137.291666666667,10.1666666666667,60.6770833333333,53.8229166666667,-2,478,TRUE,pre-direction
PPCCGT,2024-07-30,2024-08-01,143.875,138.6875,10.1666666666667,426.840277777778,384.173611111111,0,-282.965277777778,-245.486111111111,10.1666666666667,478,TRUE,pre-direction
PPCCGT,2024-09-19,2024-09-21,115.256944444444,115.256944444444,13.3333333333333,0,0,24,115.256944444444,115.256944444444,-10.6666666666667,478,TRUE,pre-direction
PPCCGT,2024-10-14,2024-10-16,61.3263888888889,61.3263888888889,16.8333333333333,41.25,41.25,19.5,20.0763888888889,20.0763888888889,-2.66666666666667,478,FALSE,pre-direction
PPCCGT,2024-10-22,2024-10-24,128.822916666667,128.791666666667,11.6666666666667,114.84375,114.84375,12.6666666666667,13.9791666666667,13.9479166666667,-1,478,FALSE,pre-direction
PPCCGT,2024-12-22,2024-12-24,141.111111111111,113.027777777778,15.0833333333333,0,0,24,141.111111111111,113.027777777778,-8.91666666666667,478,TRUE,pre-direction
TORRB2,2022-01-29,2022-01-31,97.3958333333333,71.2083333333333,11.5,0,0,24,97.3958333333333,71.2083333333333,-12.5,200,TRUE,pre-direction
TORRB2,2022-03-02,2022-03-04,0,0,24,0,0,24,0,0,0,200,FALSE,pre-direction
TORRB2,2022-03-20,2022-03-22,163.333333333333,93.125,3.5,200,71.0416666666667,0,-36.6666666666667,22.0833333333333,3.5,200,TRUE,pre-direction
TORRB2,2022-03-29,2022-03-31,0,0,24,0,0,24,0,0,0,200,FALSE,pre-direction
TORRB2,2022-04-06,2022-04-08,200,200,0,175,91.7708333333333,3,25,108.229166666667,-3,200,TRUE,pre-direction
TORRB2,2022-05-11,2022-05-13,200,49.5833333333333,0,0,0,24,200,49.5833333333333,-24,200,TRUE,pre-direction
TORRB2,2022-06-11,2022-06-13,190,57.9166666666667,0,190,50.8333333333333,0,0,7.08333333333333,0,200,FALSE,pre-direction
TORRB2,2022-06-22,2022-06-24,166.25,57.1875,3,190,0,0,-23.75,57.1875,3,200,TRUE,pre-direction
TORRB2,2022-07-27,2022-07-29,166.25,46.6666666666667,3,190,50.4166666666667,0,-23.75,-3.75,3,200,TRUE,pre-direction
TORRB2,2022-10-08,2022-10-10,105.729166666667,54.2291666666667,10.5,0,0,24,105.729166666667,54.2291666666667,-13.5,200,TRUE,pre-direction
TORRB2,2022-11-16,2022-11-18,52.7916666666667,52.7916666666667,17.5,0,0,24,52.7916666666667,52.7916666666667,-6.5,200,TRUE,pre-direction
TORRB2,2022-11-23,2022-11-25,200,146.041666666667,0,200,116.875,0,0,29.1666666666667,0,200,TRUE,pre-direction
TORRB2,2023-02-07,2023-02-09,72,32.0833333333333,14.5,0,0,24,72,32.0833333333333,-9.5,200,TRUE,pre-direction
