DUID,cal_day,hh,ma,ma0,grp,drop,case,pre,before_bin
TORRB2,2022-01-12,20,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-01-12,21,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-01-12,22,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-01-12,23,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-03-04,19,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-03-04,20,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-03-04,21,0,100,D-1,100,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-03-22,20,100,200,D-1,100,1 trim headroom,pre-direction,ample (>=100)
TORRB2,2022-03-22,21,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-03-22,22,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-03-22,23,0,200,D-1,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-04-06,21,0,200,D-3,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-04-06,22,0,200,D-3,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-04-06,23,0,200,D-3,200,2 floor-crossing,pre-direction,ample (>=100)
TORRB2,2022-04-21,19,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-04-21,20,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-04-21,21,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-04-21,22,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-04-21,23,0,200,quiet,200,2 floor-crossing,quiet,ample (>=100)
TORRB2,2022-05-18,21,100,200,D-3,100,1 trim headroom,pre-direction,ample (>=100)
TORRB2,2022-05-18,22,0,200,D-3,200,2 floor-crossing,pre-direction,ample (>=100)
