term,estimate,std.error,statistic,p.value,nobs,model
ess_n1TRUE,-0.162470355819851,0.0658638638362127,-2.46676016797124,0.0200173474139127,473,no loss control
dem,-0.000342030971436052,0.000236710472558942,-1.44493383726774,0.159575665088014,473,no loss control
ns,0.000319073588276383,8.10344166837723e-05,3.93750706593634,0.000496737438421398,473,no loss control
rrp,8.22473764530552e-05,8.65145256467483e-05,0.950677078076848,0.349902867065588,473,no loss control
slope_mean,0.0130548837455891,0.025821019325898,0.505591339397484,0.617100739461215,473,no loss control
sat_share,-0.0625997043900246,0.658274733669034,-0.0950966233218642,0.924915398234836,473,no loss control
ess_n1TRUE,-0.123855771162912,0.0651081119523908,-1.90230936589713,0.067462619641068,473,with loss control
exp_loss,-0.000257979505470103,8.47255057961013e-05,-3.04488598853516,0.00502547364231562,473,with loss control
dem,-0.000339072489138782,0.000232646989823337,-1.45745487356729,0.156115983297713,473,with loss control
ns,0.000290083219704837,8.1458127190999e-05,3.56113293673772,0.0013442484921055,473,with loss control
rrp,2.72361822046194e-05,9.89152325673504e-05,0.275348715235285,0.785070153839138,473,with loss control
slope_mean,0.0180197759258171,0.024256404560159,0.742887342644942,0.463737559119542,473,with loss control
sat_share,-0.00547103978537158,0.655864831239343,-0.00834171848341576,0.993403499982979,473,with loss control
ess_n1TRUE:exp_loss,-0.000652227951231563,0.000168378484706593,-3.87358249700429,0.000589151617703205,473,with loss control
n1onlyTRUE,-0.190431499160213,0.0608856622416807,-3.12769036500433,0.00408599517380962,473,three-tier (N-0 context only)
ess_pexTRUE,-0.001066865946119,0.106076332034662,-0.0100575305127479,0.992046706108527,473,three-tier (N-0 context only)
dem,-0.000327732721096978,0.000236425844116414,-1.38619668387693,0.176627500353283,473,three-tier (N-0 context only)
ns,0.000309123940034419,8.07287552226748e-05,3.8291676761491,0.000663080899424207,473,three-tier (N-0 context only)
rrp,7.81988505809253e-05,8.69585633434862e-05,0.899265668316528,0.376180113428106,473,three-tier (N-0 context only)
slope_mean,0.011068363774003,0.0257072372342491,0.430554387200227,0.67008859391341,473,three-tier (N-0 context only)
sat_share,-0.084487763530388,0.655738846113641,-0.128843615154296,0.898402436649489,473,three-tier (N-0 context only)
