spell_start,spell_end,gap_to_prev_h
2022-01-01T20:59:59Z,2022-01-02T19:00:00Z,
2022-01-02T20:30:00Z,2022-01-09T06:30:00Z,1.5
2022-01-12T14:59:59Z,2022-01-15T07:19:59Z,80.5
2022-01-15T14:59:59Z,2022-01-16T07:29:59Z,7.7
2022-01-17T14:59:59Z,2022-01-20T07:45:00Z,31.5
2022-01-20T15:30:00Z,2022-01-21T04:45:00Z,7.8
2022-01-21T16:00:00Z,2022-01-23T05:30:00Z,11.2
2022-01-28T15:30:00Z,2022-01-29T07:45:00Z,130
2022-01-29T14:30:00Z,2022-01-30T03:09:59Z,6.8
2022-01-31T22:29:59Z,2022-02-03T07:29:59Z,43.3
2022-02-03T08:00:00Z,2022-02-06T06:15:00Z,0.5
2022-02-06T22:00:00Z,2022-02-07T02:59:59Z,15.8
2022-02-09T23:30:00Z,2022-02-10T07:00:00Z,68.5
2022-02-10T07:10:00Z,2022-02-10T07:35:00Z,0.2
2022-02-10T20:59:59Z,2022-02-11T07:29:59Z,13.4
2022-02-11T08:30:00Z,2022-02-12T05:30:00Z,1
2022-02-12T16:29:59Z,2022-02-13T02:00:00Z,11
2022-02-17T22:29:59Z,2022-02-18T04:19:59Z,116.5
2022-02-18T06:09:59Z,2022-02-18T07:29:59Z,1.8
2022-02-18T21:30:00Z,2022-02-19T07:00:00Z,14
2022-02-19T23:00:00Z,2022-02-20T07:29:59Z,16
2022-02-20T22:29:59Z,2022-02-21T07:00:00Z,15
2022-02-21T14:59:59Z,2022-02-22T06:30:00Z,8
2022-02-22T21:30:00Z,2022-02-23T04:29:59Z,15
2022-02-24T13:00:00Z,2022-02-26T06:15:00Z,32.5
2022-02-26T16:00:00Z,2022-02-27T05:30:00Z,9.8
2022-03-04T20:59:59Z,2022-03-10T07:15:00Z,135.5
2022-03-10T22:29:59Z,2022-03-11T06:40:00Z,15.2
2022-03-11T21:30:00Z,2022-03-12T10:29:59Z,14.8
2022-03-12T20:59:59Z,2022-03-13T05:59:59Z,10.5
2022-03-17T22:29:59Z,2022-03-17T23:04:59Z,112.5
2022-03-17T23:24:59Z,2022-03-18T05:30:00Z,0.3
2022-03-18T22:00:00Z,2022-03-19T04:29:59Z,16.5
2022-03-19T22:00:00Z,2022-03-20T02:59:59Z,17.5
2022-03-22T14:30:00Z,2022-03-23T06:50:00Z,59.5
2022-03-23T22:00:00Z,2022-03-24T07:05:00Z,15.2
2022-03-24T07:25:00Z,2022-03-24T07:29:59Z,0.3
2022-03-24T21:30:00Z,2022-03-25T07:00:00Z,14
2022-03-25T14:59:59Z,2022-03-26T06:44:59Z,8
2022-03-26T21:30:00Z,2022-03-27T05:30:00Z,14.8
