term,estimate,std.error,statistic,p.value,spec,nobs
essentialTRUE,0.135495050920194,0.077697739611201,1.7438737806043,0.0965330302364015,anchor: pex spec (Table 4),140259
srmc,0.00583616533208278,0.000512873146269868,11.3793544749404,3.4543911171142e-10,anchor: pex spec (Table 4),140259
TOTALDEMAND,0.000138029763848168,4.34081098801207e-05,3.17981511356661,0.00470805948792715,anchor: pex spec (Table 4),140259
nonsync_mw,-0.000255778608270942,4.08372228409573e-05,-6.26336931056955,4.08107661815026e-06,anchor: pex spec (Table 4),140259
RRP,2.39374411865675e-05,1.0781361284743e-05,2.22026148223435,0.0381189242548706,anchor: pex spec (Table 4),140259
slope_kernel,-0.000214850142483995,0.00111783028101402,-0.192202829117402,0.849521462083573,anchor: pex spec (Table 4),140259
saturatedTRUE,-0.0450692639544745,0.0229212860684436,-1.96626244355995,0.0633025356743999,anchor: pex spec (Table 4),140259
essentialTRUE:comp_price_100,-0.0855212674475338,0.0254939320773029,-3.35457344077859,0.00315481633270366,anchor: pex spec (Table 4),140259
pi2_8h,-0.395176184513701,0.113022882256675,-3.496426357419,0.00227385787637657,primary: pi2_8h x d_t,140259
srmc,0.00681281452094241,0.00037541647099795,18.1473511346805,6.84850912171395e-14,primary: pi2_8h x d_t,140259
TOTALDEMAND,9.86832619390017e-05,2.84872442910848e-05,3.46412102661279,0.00245031818354735,primary: pi2_8h x d_t,140259
nonsync_mw,-0.000182901212387711,3.60467693374568e-05,-5.07399735813925,5.79933536368277e-05,primary: pi2_8h x d_t,140259
RRP,2.83650185001868e-05,1.08724915037375e-05,2.60887934384094,0.0168009803491339,primary: pi2_8h x d_t,140259
slope_kernel,0.000674431788006261,0.00104143168385029,0.647600604499388,0.52460817261709,primary: pi2_8h x d_t,140259
saturatedTRUE,-0.0125699749332736,0.0154019730765441,-0.816127574746677,0.424041435740681,primary: pi2_8h x d_t,140259
pi2_8h:comp_price_100,0.0209834322350122,0.0356137947878874,0.589193944649473,0.562328073615332,primary: pi2_8h x d_t,140259
pi2_slow,-2.01328784809607,2.43277775007448,-0.827567519488552,0.417681124189494,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
pi2_fast,-0.336117216395444,0.124787234598571,-2.69352243822618,0.013974607495789,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
srmc,0.00656321898272092,0.000276317834718639,23.7524262210723,3.96018718308862e-16,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
TOTALDEMAND,8.98701979317822e-05,2.87779959325363e-05,3.12287895732778,0.00535926570188839,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
nonsync_mw,-0.000179954032149583,3.15209334996197e-05,-5.70903244828564,1.37875735091034e-05,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
RRP,2.78464393920407e-05,1.29226032870442e-05,2.15486297718036,0.0435396749957259,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
slope_kernel,0.000651609531777398,0.000925005184981785,0.704438788405526,0.489281836648194,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
saturatedTRUE,-0.00848446691494727,0.0134563427392845,-0.630518044860564,0.535494596916581,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
pi2_slow:comp_price_100,0.28223672182115,0.850530546132816,0.331836079379419,0.743465326753789,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
comp_price_100:pi2_fast,0.0068454476868669,0.0442055701232795,0.154854867107844,0.878487855560538,slow/fast: pi2_slow x d_t + pi2_fast x d_t,138945
pi_flagTRUE,-0.0452130577299852,0.0579673351701898,-0.779974749524736,0.444538902435867,robustness: pi > 0.855 (pex-matched incidence),140259
srmc,0.00565426196028718,0.000440553970385727,12.8344365057852,4.10780832089785e-11,robustness: pi > 0.855 (pex-matched incidence),140259
TOTALDEMAND,0.000139011034273037,4.26198172650565e-05,3.26165251738445,0.00390506066635063,robustness: pi > 0.855 (pex-matched incidence),140259
nonsync_mw,-0.000253910172504482,4.5134125559006e-05,-5.62568055456248,1.66089340011367e-05,robustness: pi > 0.855 (pex-matched incidence),140259
RRP,2.72783272150964e-05,1.1325526400571e-05,2.40857036134948,0.0257792418851433,robustness: pi > 0.855 (pex-matched incidence),140259
slope_kernel,-0.000182363699397878,0.00112254597021385,-0.162455439898943,0.872577368184175,robustness: pi > 0.855 (pex-matched incidence),140259
saturatedTRUE,-0.0416335276224678,0.0219622940262036,-1.89568209827234,0.0725463940267529,robustness: pi > 0.855 (pex-matched incidence),140259
pi_flagTRUE:comp_price_100,-0.0194795981556308,0.01683216950677,-1.15728386336628,0.260791696141824,robustness: pi > 0.855 (pex-matched incidence),140259
pi_da_8h,-0.317737046395338,0.11069417151479,-2.87040448514388,0.00945788162035597,robustness: day-ahead pi x d_t,140259
srmc,0.0073000507735789,0.00029674445746409,24.6004620809549,2.00742285606487e-16,robustness: day-ahead pi x d_t,140259
TOTALDEMAND,0.00011814319618638,3.0320377662822e-05,3.896494875499,0.000896078841934602,robustness: day-ahead pi x d_t,140259
nonsync_mw,-0.000190236278645815,3.73940196033091e-05,-5.08734499965283,5.62461350082866e-05,robustness: day-ahead pi x d_t,140259
RRP,2.64640532730989e-05,1.02400317615799e-05,2.58437218646047,0.0177151932457207,robustness: day-ahead pi x d_t,140259
